date,result ranking,race name,distance
2022-06-26,DNF,National Championships Switzerland - Road Race (NC) ,
2022-06-23,5,National Championships Switzerland - ITT (NC) ,38.0
2022-06-18,DNF,Stage 2 - Pont-de-Roide › Pont-de-Roide ,161.7
2022-06-17,56,Stage 1 - Mandeure › Mathay ,4.1
2022-06-10,DNF,Grosser Preis des Kantons Aargau (1.1) ,173.8
2022-05-29,118,Stage 4 - Baccarat › Damelevières ,165.8
2022-05-28,57,Stage 3 - Breuches › Saint-Amarin ,155.7
2022-05-27,96,Stage 2 - Pont-à-Mousson › Pagny-sur-Moselle ,175.4
2022-05-26,5,Stage 1 - Vandœuvre-lès-Nancy › Vandœuvre-lès-Nancy ,2.6
2022-03-27,DNF,Stage 7 - Ducey-les-Chéris › Caen ,142.5
2022-03-26,115,Stage 6 - Carentan-les-Marais › Carentan-les-Marais ,175.9
2022-03-25,99,Stage 5 - Les Monts d'Aunay › Bagnoles-de-l'Orne ,156.7
2022-03-24,122,Stage 4 - Gacé › Argentan ,160.6
2022-03-23,110,Stage 3 - Nonancourt › Elbeuf-sur-Seine ,181.4
2022-03-22,78,Stage 2 - Le Neubourg › Forges-les-Eaux ,187.5
2022-03-21,134,Stage 1 - Ouistreham › Vimoutiers ,148.2
2022-03-06,99,Trofej Poreč - Poreč Trophy (1.2) ,155.5
2022-03-02,126,Trofej Umag - Umag Trophy (1.2) ,154.0
2022-03-27,DNF,Stage 7 - Ducey-les-Chéris › Caen,142.5
2022-03-26,115,Stage 6 - Carentan-les-Marais › Carentan-les-Marais,175.9
2022-03-25,99,Stage 5 - Les Monts d'Aunay › Bagnoles-de-l'Orne,156.7
2022-03-24,122,Stage 4 - Gacé › Argentan,160.6
2022-03-23,110,Stage 3 - Nonancourt › Elbeuf-sur-Seine,181.4
2022-03-22,78,Stage 2 - Le Neubourg › Forges-les-Eaux,187.5
2022-03-21,134,Stage 1 - Ouistreham › Vimoutiers,148.2
2022-03-06,99,Trofej Poreč - Poreč Trophy (1.2),155.5
2022-03-02,126,Trofej Umag - Umag Trophy (1.2),154.0
2021-09-24,121,World Championships U23 - Road Race (WC),161.1
2021-09-19,82,Grand Prix d'Isbergues - Pas de Calais (1.1),199.3
2021-08-29,DNF,Stage 3 - Etupes › Etupes,164.7
2021-08-28,100,Stage 2 - Hérimoncourt › Hérimoncourt,146.4
2021-08-27,1,Prologue - Béthoncourt › Béthoncourt,3.6
