date,result ranking,race name,distance
1998-06-27,1,National Championships Belarus - Road Race (NC) ,
1998-06-06,4,Stage 7 - Bad Hofgastein  › Gröbming ,133.0
1998-04-16,75,Veenendaal - Veenendaal (1.2) ,209.0
1998-06-27,1,National Championships Belarus - Road Race (NC) ,
1998-06-06,4,Stage 7 - Bad Hofgastein  › Gröbming ,133.0
1998-04-16,75,Veenendaal - Veenendaal (1.2) ,209.0
1997-08-10,DNF,Stage 5 - Slagelse › Frederiksberg ,153.0
1997-08-09,50,Stage 4 - Kolding › Odense ,235.0
1997-08-08,50,Stage 3a - Nordborg › Haderslev ,118.0
1997-08-08,63,Stage 3b (ITT) - Middelfart  › Middelfart  ,19.0
1997-08-07,70,Stage 2 - Ribe › Sønderborg ,169.0
1997-08-06,76,Stage 1 - Horsens  › Esbjerg ,163.0
1996-07-31,DNF,Olympic Games Road Race (Olympics) ,221.85
1993-09-08,6,Stage 7 - Wadowice › Częstochowa ,183.0
1993-09-05,7,Stage 4 - Zamość  › Rzeszów ,200.0
