date,result ranking,race name,distance
2000-05-27,DNF,Stage 4a - Bilbao › Mendaro ,105.0
2000-05-26,116,Stage 3 - Laguardia › Bilbao ,175.0
2000-05-25,138,Stage 2 - Zizur Menor › Laguardia ,147.0
2000-05-24,122,Stage 1 - Eibar › Zizur Mayor ,180.0
2000-04-14,78,Stage 3 - Benasque › Sabiñánigo ,159.0
2000-04-13,99,Stage 2 - Fraga › Cerler ,170.0
2000-04-12,53,Stage 1 - Bronchales › Alcañiz ,174.5
2000-03-05,103,Stage 5 (ITT) - Murcia › Murcia ,12.9
2000-03-04,110,Stage 4 - Murcia › Aledo ,157.2
2000-03-03,121,Stage 3 - Murcia › Lorca ,185.0
2000-03-02,120,Stage 2 - Murcia › La Atalaya ,156.2
2000-03-01,110,Stage 1 - Murcia › Caravaca ,200.0
2000-02-27,81,Clasica de Almeria (1.4) ,176.0
2000-05-27,DNF,Stage 4a - Bilbao › Mendaro ,105.0
2000-05-26,116,Stage 3 - Laguardia › Bilbao ,175.0
2000-05-25,138,Stage 2 - Zizur Menor › Laguardia ,147.0
2000-05-24,122,Stage 1 - Eibar › Zizur Mayor ,180.0
2000-04-14,78,Stage 3 - Benasque › Sabiñánigo ,159.0
2000-04-13,99,Stage 2 - Fraga › Cerler ,170.0
2000-04-12,53,Stage 1 - Bronchales › Alcañiz ,174.5
2000-03-05,103,Stage 5 (ITT) - Murcia › Murcia ,12.9
2000-03-04,110,Stage 4 - Murcia › Aledo ,157.2
2000-03-03,121,Stage 3 - Murcia › Lorca ,185.0
2000-03-02,120,Stage 2 - Murcia › La Atalaya ,156.2
2000-03-01,110,Stage 1 - Murcia › Caravaca ,200.0
2000-02-27,81,Clasica de Almeria (1.4) ,176.0
1999-10-03,98,Paris - Tours (CDM) ,254.5
1999-09-18,49,Giro del Lazio (1.HC) ,206.0
1999-09-04,56,Coppa Placci (1.1) ,200.6
1999-08-17,53,Tre Valli Varesine (1.1) ,200.0
1999-08-14,85,Stage 5 - Frederikssund › Frederiksberg ,160.0
1999-08-13,73,Stage 4a - Odense › Sorø ,120.0
1999-08-12,50,Stage 3 - Esbjerg › Vejle ,190.0
1999-08-12,75,Stage 2 - Odder › Grindsted ,170.0
1999-08-11,73,Stage 1 - Aalborg › Århus ,185.0
1999-05-27,129,Stage 13 - Sassuolo › Rapallo ,243.0
1999-05-26,128,Stage 12 - Cesenatico › Sassuolo ,168.0
1999-05-25,62,Stage 11 - Sansepolcro › Cesenatico ,125.0
1999-05-24,136,Stage 10 - Ancona › Sansepolcro ,189.0
1999-05-23,107,Stage 9 (ITT) - Ancona › Ancona ,32.0
1999-05-22,143,Stage 8 - Pescara › Gran Sasso d'italia ,253.0
1999-05-21,146,Stage 7 - Foggia › Lanciano ,153.0
1999-05-20,106,Stage 6 - Lauria › Foggia ,257.0
1999-05-19,145,Stage 5 - Terme Luigiane › Monte Sirino ,147.0
1999-05-18,5,Stage 4 - Vibo Valentia › Terme Luigiane ,186.0
1999-05-17,9,Stage 3 - Catania › Messina ,176.0
1999-05-16,33,Stage 2 - Noto › Catania ,133.0
1999-05-15,122,Stage 1 - Agrigento › Modica ,175.0
1999-05-08,3,Stage 6 - Comines › Westouter ,181.6
1999-05-05,2,Stage 2 - Grande-Synthe › Boulogne-sur-Mer ,174.3
1999-05-01,5,Rund um den Henninger Turm (1.1) ,206.0
1999-04-29,1,Stage 4 - Riva del Garda › Arco ,155.0
1999-04-28,111,Stage 3 - Fondo › Melcesine ,161.0
1999-04-27,74,Stage 2 - Lienz › Passo Mendola ,176.0
1999-04-26,65,Stage 1 - Lienz › Lienz ,205.0
1999-04-01,34,Stage 3B (ITT) - De Panne › De Panne ,14.0
1999-03-31,34,Stage 2 - Zottegem › Koksijde ,240.0
1999-03-30,8,Stage 1 - Mouscron › Zottegem ,173.0
1999-03-27,26,E3-Prijs Harelbeke (1.1) ,206.0
1999-03-20,11,Milano-Sanremo (CDM) ,294.0
1999-03-16,63,Stage 7 - Alba Adriatica › Civitanova Marche ,160.0
1999-03-15,144,Stage 6 - Teramo › Alba Adriatica ,170.0
1999-03-14,135,Stage 5 - Paglieta › Torricella Sicura ,198.0
1999-03-13,19,Stage 4 - Luco dei Marsi › Paglieta ,197.0
1999-03-12,93,Stage 3 - Santa Maria Capua Vetere › Santa Maria Capua Vetere ,214.0
1999-03-11,102,Stage 2 - Sorrente › Santa Maria Capua Vetere ,178.0
1999-03-10,154,Stage 1 - Sorrente › Sorrente ,131.0
1999-03-07,48,Stage 5 (ITT) - Murcia › Murcia ,13.0
1999-03-06,44,Stage 4 - Murcia › Aledo ,179.0
1999-03-05,135,Stage 3 - Murcia › Alcantarilla ,156.0
1999-03-04,61,Stage 2 - Murcia › Moratalla ,162.0
1999-03-03,15,Stage 1 - Murcia › Cartagena ,158.0
1999-02-28,12,Clasica de Almeria (1.4) ,188.0
1998-09-13,23,GP de Fourmies / La Voix du Nord () ,208.0
1998-09-06,54,Giro di Romagna (1.3) ,195.0
1998-09-05,16,Coppa Placci () ,200.0
1998-08-30,9,Trofeo Melinda (1.3) ,200.0
1998-08-29,9,Giro del Veneto (1.1) ,199.6
1998-08-23,26,GP de Suisse (CDM) ,243.0
1998-08-16,89,HEW Cyclassics (CDM) ,253.0
1998-08-15,53,Stage 5 - Hundige › Frederiksberg ,148.0
1998-08-14,31,Stage 4a - Odense › Ringsted ,125.0
1998-08-14,21,Stage 4b (ITT) - Roskilde › Roskilde ,20.2
1998-08-13,17,Stage 3 - Odder  › Svendborg   ,215.0
1998-08-12,39,Stage 2 - Randers › Aarhus ,203.0
1998-08-11,90,Stage 1 - Herning  › Randers ,184.0
1998-08-08,100,Clasica Ciclista San Sebastian (CDM) ,232.0
1998-06-18,144,Stage 2 - Aigle › Ulrichen/Obergoms ,159.0
1998-06-16,81,Prologue - Biel › Biel ,5.6
1998-05-31,52,Stage 15 (ITT) - Trieste › Trieste ,40.0
1998-05-30,77,Stage 14 - Schio › Piancavallo ,165.0
1998-05-29,78,Stage 13 - Carpi › Schio ,166.0
1998-05-28,113,Stage 12 - San Marino › Carpi ,202.0
1998-05-27,100,Stage 11 - Macerata › San Marino ,214.0
1998-05-26,133,Stage 10 - Vasto › Macerata ,212.0
1998-05-25,55,Stage 9 - Foggia › Vasto ,169.0
1998-05-24,125,Stage 8 - Matera › Lecce ,191.0
1998-05-23,56,Stage 7 - Montella › Matera ,235.0
1998-05-22,135,Stage 6 - Maddaloni › Lago di Laceno ,160.0
1998-05-21,17,Stage 5 - Orbetello › Frascati ,206.0
1998-05-20,129,Stage 4 - Viareggio › Monte Argentario ,239.0
1998-05-19,125,Stage 3 - Rapallo › Forte dei Marmi ,196.0
1998-05-18,155,Stage 2 - Alba › Imperia ,160.0
1998-05-17,56,Stage 1 - Nice › Cuneo ,162.0
1998-05-16,82,Prologue - Nice › Nice ,7.0
1998-05-08,104,Stage 5 - Gravelines › Loon-Plage ,187.3
1998-05-07,1,Stage 3 - Haucourt › Boulogne-sur-Mer ,107.2
1998-05-06,61,Stage 2 - Audruicq › Amiens ,187.0
1998-05-05,84,Stage 1 - Dunkerque › Grande-Synthe ,180.0
1998-04-25,74,Amstel Gold Race (CDM) ,257.3
1998-04-19,94,Liège - Bastogne - Liège (CDM) ,265.5
1998-04-16,51,Veenendaal - Veenendaal (1.2) ,209.0
1998-04-15,86,La Flèche Wallonne () ,201.0
1998-04-02,85,Stage 3A - De Panne › Panne ,115.0
1998-04-02,54,Stage 3B (ITT) - De Panne › De Panne ,14.3
1998-04-01,162,Stage 2 - Zottegem › Koksijde ,230.0
1998-03-31,131,Stage 1 - Harelbeke › Zottegem ,177.0
1998-03-11,DNF,Stage 1 - Sorrente › Sorrente ,133.0
1998-02-22,5,Giro della Provincia di reggio Calabria (1.3) ,194.2
1998-02-17,48,Trofeo Laigueglia () ,169.5
1998-02-15,19,Stage 6 - Le Grau-du-Roi › Marseille ,144.0
1998-02-14,56,Stage 5 - Arles › Béziers ,154.0
1998-02-13,45,Stage 3 - Trets › Rognac ,105.0
1998-02-12,141,Stage 2 - La Londe › Gréoux-les-Bains ,115.0
1998-02-11,65,Stage 1 - Antibes › Toulon ,140.0
1997-10-12,DNF,World Championships - Road Race (WC) ,265.5
1997-09-27,1,Giro dell'Emilia (1.1) ,205.9
1997-09-14,18,GP de Fourmies / La Voix du Nord () ,208.0
1997-09-13,7,Paris-Bruxelles () ,255.7
1997-08-31,5,GP Ouest France - Plouay (1.1) ,209.0
1997-08-24,7,Tre Valli Varesine (1.1) ,202.0
1997-08-24,10,GP de Suisse (CDM) ,237.0
1997-08-17,9,Wincanton Classic (CDM) ,242.0
1997-08-09,2,Clasica Ciclista San Sebastian (CDM) ,234.0
1997-08-06,1,G.P. Camaiore () ,198.2
1997-08-03,5,Trofeo Matteotti (1.3) ,203.0
1997-07-22,DNF,Stage 16 - Morzine-Avoriaz › Fribourg ,181.0
1997-07-21,134,Stage 15 - Courchevel › Morzine-Avoriaz ,208.5
1997-07-20,145,Stage 14 - Bourg d'Oisans › Courchevel ,148.0
1997-07-19,71,Stage 13 - Saint-Etienne › l'alpe d'huez ,203.5
1997-07-18,35,Stage 12 (ITT) - Saint-Etienne › Saint-Etienne ,55.0
1997-07-16,151,Stage 11 - Andorra › Perpignan ,192.0
1997-07-15,66,Stage 10 - Luchon › Andorra Arcalis ,252.5
1997-07-14,164,Stage 9 - Pau › Loudenvielles ,182.0
1997-07-13,91,Stage 8 - Sauternes › Pau ,161.5
1997-07-12,163,Stage 7 - Marennes › Bordeaux ,194.0
1997-07-11,68,Stage 6 - Le Blanc › Marennes ,217.5
1997-07-10,132,Stage 5 - Chantonney › La Châtre ,261.3
1997-07-09,19,Stage 4 - Plumelec › Puy-du-Fou ,223.0
1997-07-08,37,Stage 3 - Vire › Plumelec ,224.0
1997-07-07,14,Stage 2 - St Valery-en-Caux › Vire ,262.0
1997-07-06,131,Stage 1 - Rouen › Forges-les-Eaux ,192.0
1997-07-05,18,Prologue - Rouen › Rouen ,7.3
1997-06-29,3,National Championships Russia - Road Race (NC) ,201.0
1997-06-13,DNF,Stage 2 - Dudelange › Bertrange ,194.0
1997-06-12,120,Stage 1 - Luxembourg › Dippach ,179.0
1997-05-16,10,Stage 4 - Llanes › Gijón ,160.0
1997-05-15,53,Stage 3 - Oviedo › Llanes ,176.0
1997-05-13,23,Prologue - Avilés › Avilés ,5.8
1997-04-26,32,Amstel Gold Race (CDM) ,258.0
1997-04-16,95,La Flèche Wallonne () ,200.5
1997-04-06,79,Ronde van Vlaanderen / Tour des Flandres (CDM) ,256.0
1997-04-01,4,Stage 1 - Harelbeke › Zottegem ,174.0
1997-03-28,1,Stage 3 - Oristano  › Alghero ,158.0
1997-02-27,12,Stage 2 - Elche › Calpe ,180.0
1997-02-26,17,Stage 1 - Elche › Elche ,151.0
1997-02-23,51,Trofeo Luis Puig (1.2) ,185.8
1997-02-16,1,Stage 6 - Hyères › Marseille ,124.0
1996-09-15,5,Telekom Grand Prix (1.2) ,84.0
1996-09-08,17,Josef Voegeli Memorial () ,29.6
1996-08-10,166,Clasica Ciclista San Sebastian (CDM) ,234.0
1996-07-05,DNS,Stage 6 - Arc-et-Senans › Aix les Bains ,207.0
1996-07-04,174,Stage 5 - Lac De Madine › Besançon ,242.0
1996-07-03,144,Stage 4 - Soissons › Lac de Madine ,232.0
1996-07-02,91,Stage 3 - Wasquehal › Nogent-sur-Oise ,195.0
1996-07-01,168,Stage 2 - 's-Hertogenbosch › Wasquehal ,247.5
1996-06-30,88,Stage 1 - 's-Hertogenbosch › 's-Hertogenbosch ,209.0
1996-06-29,10,Prologue - 's-Hertogenbosch › 's-Hertogenbosch ,9.4
1996-06-06,3,Stage 19 (ITT) - Vicenza › Marostica ,62.0
1996-06-03,1,Stage 16 - Aosta › Lausanne ,180.0
1996-05-28,7,Stage 10 - Arezzo › Prato ,164.0
1996-05-27,17,Stage 9 - Napoli › Fiuggi ,184.0
1996-05-24,8,Stage 6 - Crotone › Catanzaro ,179.0
1996-05-22,22,Stage 4 - Ostuni › Ostuni ,147.0
1996-05-20,17,Stage 3 - Messolongi › Ioanina ,199.0
1996-05-12,3,Stage 7 - Orbe › Genève ,174.4
1996-05-11,2,Stage 6 (ITT) - Orbe › Orbe ,29.8
1996-05-10,1,Stage 4 - Martigny › Les Diablerets ,160.2
1996-05-08,6,Stage 2 - La Chaux-de-Fonds › Bulle ,188.0
1996-05-07,10,Stage 1 - Basel › Vue des Alpes ,155.8
1996-05-06,4,Prologue - Basel › Basel ,4.3
1996-05-05,20,GP du canton d'Argovie (1.1) ,196.0
1996-04-27,4,Amstel Gold Race (CDM) ,253.0
1996-04-17,7,La Flèche Wallonne () ,200.5
1996-04-12,3,Stage 5a - Lecumberri  › Orio ,97.0
1996-04-10,8,Stage 3 - Galdako › Vitoria ,199.0
1996-04-09,11,Stage 2 - Lasarte › Galdako ,190.0
1996-04-09,8,Ronde van Vlaanderen / Tour des Flandres (CDM) ,269.0
1996-04-08,4,Stage 1 - Lasarte › Lasarte ,126.0
