date,result ranking,race name,distance
2021-06-20,DNF,National Championships Greece - Road Race (NC) ,160.0
2021-06-20,DNF,National Championships Greece - Road Race (NC) ,160.0
2020-09-06,DNF,National Championships Greece - Road Race (NC) ,
2009-06-26,5,National Championships Greece - ITT (NC) ,40.0
2009-04-23,81,Stage 2 - Almendralejo › Almendralejo ,156.9
2009-04-22,92,Stage 1 - Moraleja › Montanchez ,155.1
2009-04-19,57,Stage 10 - Rabat › Casablanca ,120.0
2009-04-18,60,Stage 9 - Meknes › Rabat ,136.0
2009-04-17,61,Stage 8 - Khénifra › Meknès ,148.0
2009-04-16,66,Stage 7 - Errachidia › Midelt ,136.0
2009-04-15,49,Stage 6 - Tinghir › Errachidia ,136.0
2009-04-14,53,Stage 5 - Ouarzazate › Tinghir ,168.0
2009-04-13,76,Stage 4 - Aoulouze › Ouarzazate ,175.0
2009-04-12,56,Stage 3 - Essaouira › Agadir ,167.0
2009-04-11,91,Stage 2 - Safi › Essaouira ,147.0
2009-04-10,54,Stage 1 - El Jadida › Safi ,146.0
2008-06-29,3,National Championships Greece - Road Race (NC) ,
2008-05-10,DNF,Stage 3 - Ouranoupoli › Marmaras ,155.1
2008-05-09,46,Stage 2 - Kallikratia › Ouranoupoli ,143.7
2008-05-08,43,Stage 1 - Moudania › Polygyros ,149.6
2006-06-25,4,National Championships Greece - Road Race (NC) ,172.4
2006-04-09,57,Stage 5 - Olympia › Sparti ,168.0
2006-04-08,90,Stage 4 - Antirrion Patras › Olympia ,129.0
2006-04-07,92,Stage 3 - Arta › Messonlonghi ,158.0
2006-04-06,60,Stage 2 - Kalabaka › Ioannina ,122.0
2006-04-05,62,Stage 1 - Volos › Kalabaka ,149.0
2006-03-25,DNF,Stage 3 - Budva › Cetinje ,158.0
2006-03-24,105,Stage 2 - Bar › Budva ,148.0
2006-03-23,135,Stage 1 - Herceg Novi › Bar ,147.0
2006-03-18,OTL,Stage 2 - Porec › Porec ,189.0
2006-03-17,158,Stage 1 - Porec › Labin ,149.0
2006-03-16,187,Prologue - Pazin › Pazin ,1.45
2005-09-04,DNF,Stage 5 - Lucenec › Lucenec ,128.2
2005-09-03,85,Stage 4b - Revúca › Lucenec ,109.1
2005-09-03,65,Stage 4a (ITT) - Revúca › Jelsava ,16.6
2005-09-02,51,Stage 3 - Dedinky › Revúca ,178.6
2005-09-01,91,Stage 2 - Kosice › Dedinky ,189.9
2005-08-31,56,Stage 1 - Kosice › Kosice ,172.8
2005-05-03,35,Stage 2 - Kusadasi › Bodrum ,165.0
2005-05-01,34,Prologue - Izmir › Izmir ,6.0
2005-04-20,DSQ,Stage 2 - Kozani › Kalambaka ,138.0
2005-04-19,31,Stage 1 - Paralia › Kozani ,144.0
2005-04-18,4,Prologue - Paralia › Paralia ,4.6
2003-04-06,63,Stage 4 - Olympia › Megalopolis ,129.0
2003-03-25,25,Sacrifice Cup (1.5) ,118.0
2002-04-28,39,Stage 6 - Nikaia  › Nikaia  ,110.0
2002-04-27,27,Stage 5 - Itea › Nikaia  ,170.4
2002-04-26,31,Stage 4 - Lamía › Itea ,161.5
2002-04-25,43,Stage 3 - Volos › Lamia ,136.3
2002-04-24,65,Stage 2 - Lárissa › Volos ,162.0
2002-04-23,43,Stage 1 - Thessaloniki › Litóchoro ,151.0
2002-04-22,24,Prologue - Thessaloniki › Thessaloniki ,3.6
