date,result ranking,race name,distance
2014-03-27,DNF,Stage 2 - Sousel › Montemor-o-Novo ,192.7
2014-03-26,128,Stage 1 - Castelo de Vide › Marvão ,167.0
2014-03-27,DNF,Stage 2 - Sousel › Montemor-o-Novo ,192.7
2014-03-26,128,Stage 1 - Castelo de Vide › Marvão ,167.0
1994-08-28,43,World Championships - Road Race (WC) ,251.8
1994-07-06,1,Stage 1 ,58.0
1994-05-09,5,Stage 15 - Santo Domingo de la Calzada  › Santander ,209.3
1994-04-29,15,Stage 5 - Córdoba  › Granada ,166.9
1994-04-28,12,Stage 4 - Almendralejo  › Córdoba ,235.6
1994-04-27,93,Stage 3 - Salamanca  › Cáceres ,239.0
1994-04-26,102,Stage 2 - Valladolid  › Salamanca ,178.4
1994-04-25,66,Stage 1 (ITT) - Valladolid › Valladolid ,9.0
1993-08-16,5,Stage 13 - Mondim de Basto › Vagos ,170.3
1993-08-10,1,Stage 7 - Tondela › Marco de Canaveses ,191.2
1993-05-30,9,Stage 8 - Agrigento › Palermo ,140.0
1993-05-07,1,Stage 6 ,
1992-09-08,9,Trofeo Masferrer () ,133.0
1992-09-06,50,World Championships - Road Race (WC) ,261.6
1992-06-25,4,Stage 3 ,191.0
1992-05-06,10,Stage 10 - Luz-Saint-Sauveur › Sabiñánigo ,196.0
1992-04-27,127,Stage 1 (ITT) - Jerez de la Frontera › Jerez de la Frontera ,9.2
1991-09-05,2,Trofeo Masferrer () ,165.0
1991-05-19,12,Stage 21 - Collado Villalba › Madrid ,169.6
1991-05-16,8,Stage 18 - León › Valladolid ,137.5
1991-05-13,3,Stage 15 - Santo Domingo de la Calzada › Santander ,219.5
1991-05-11,6,Stage 13 - Benasque › Zaragoza ,219.0
1991-03-15,14,Stage 4b - Mazarron › Torre Pacheco ,83.0
1991-02-05,14,Stage 1 - Chiclana  › Chiclana  ,189.0
1990-03-04,23,Kuurne-Bruxelles-Kuurne () ,198.0
1989-09-21,1,Stage 4 - Logroño › Logroño ,154.0
1989-08-27,DNF,World Championships - Road Race (WC) ,259.35
1989-05-01,10,Stage 8 - Toledo › Albacete ,235.5
1989-04-27,3,Stage 4 - Orense › Ponferrada ,160.5
1989-04-06,2,Stage 4 - Vera de Bidasoa  › Vitoria ,178.0
1989-04-04,9,Stage 2 - Galdácano  › La arboleda ,35.0
1988-09-02,4,Stage 1 - Salou  › Salou  ,156.8
1988-09-01,7,Trofeo Masferrer () ,151.0
1988-08-14,5,Stage 17b ,
1988-08-13,2,Stage 16 - Mondim de Basto › Marco de Canaveses ,89.0
1988-07-29,3,Stage 1 - Santa Maria da Feira › Águeda ,139.5
1988-05-01,7,Stage 7 - Valladolid › León ,160.0
1988-04-30,5,Stage 6 - Béjar › Valladolid ,202.0
1988-04-08,5,Stage 5a - Salvatierra › Zegama ,124.0
1988-04-07,8,Stage 4 - Bera de Bidasoa  › Salvatierra ,194.0
1988-03-24,9,Stage 4a - Cambrils  › Lleida  ,107.0
1988-03-22,4,Stage 2b - Montjuich › Montjuich ,37.0
1988-03-22,9,Stage 2a - Lloret de Mar  › Cornellá ,120.0
1987-09-17,7,Stage 9 - Luxembourg › Aix-la-Chapelle  ,191.0
1987-09-10,6,Stage 2 - Perugia › Firenze ,168.0
1987-09-06,DNF,World Championships - Road Race (WC) ,276.0
1987-07-28,2,Prologue - Águeda › Águeda ,4.5
1987-07-08,1,Stage 6 ,
1986-09-16,4,Stage 6 - Pamplona › Pau ,194.0
1986-08-07,1,Stage 10 - Monfortinho › Manteigas ,194.0
1986-06-20,1,Stage 3 ,
1985-08-09,1,Stage 12 - Valença › Matosinhos ,126.0
1979-08-08,1,Stage 6a - Leiria › Seia ,160.0
