date,result ranking,race name,distance
2008-06-01,5,Riga GP (1.2) ,169.2
2008-05-23,46,E.O.S. Tallinn (1.1) ,186.0
2008-06-01,5,Riga GP (1.2) ,169.2
2008-05-23,46,E.O.S. Tallinn (1.1) ,186.0
2007-08-09,DNF,GP Città di Camaiore (1.1) ,193.7
2007-06-03,7,Riga GP (1.2) ,178.0
2007-05-20,DNF,Stage 4 - Porto › Lordelo ,149.3
2007-05-19,107,Stage 3 - Maia › Rebordosa ,148.3
2007-05-18,104,Stage 2 - Vigo › Maia ,194.9
2007-05-17,14,Stage 1 - Santiago de Compostela › Vigo ,191.7
2007-04-22,DNF,Stage 4 - Sant'Egidio alla Vibrata › Sant'Egidio alla Vibrata ,141.0
2007-04-21,113,Stage 3 - Notaresco › Notaresco ,152.0
2007-04-20,137,Stage 2 - Chieti › Ortona ,166.0
2007-04-19,129,Stage 1 - Megalò › Cepagatti ,154.0
2007-04-13,65,Stage 3 - Angers › Mamers ,180.6
2007-04-11,13,Stage 2a - Riaillé › Angers ,99.8
2007-04-11,73,Stage 2b (ITT) - Angers › Angers ,8.8
2007-04-10,5,Stage 1 - La Roche-sur-Yon › Riaillé ,190.9
2007-04-06,DNF,Route Adélie de Vitré (1.1) ,197.8
2007-03-04,DNF,GP Lugano (1.1) ,172.0
2007-02-17,101,Stage 5 - La Crau › La Garde ,145.0
2007-02-16,125,Stage 4 - Gréasque › Toulon ,98.0
2007-02-15,122,Stage 3 - Saint-Cannat › Marseille ,158.0
2007-02-14,62,Stage 2 - Gruissan › Agde ,107.0
2007-02-14,125,Stage 1 (TTT) - Gruissan › Gruissan ,26.2
2007-02-10,16,GP Costa Degli Etruschi (1.1) ,193.0
2006-08-25,89,Stage 4b - Ingrandes-sur-Vienne › Poitiers ,102.0
2006-08-25,101,Stage 4a (ITT) - Saint-Gervais-les-Trois-Clochers › Saint-Gervais-les-Trois-Clochers ,23.3
2006-08-24,97,Stage 3 - Parthenay › Chauvigny ,164.8
