date,result ranking,race name,distance
2022-06-11,DNF,Stage 4 - Sint Willebrord › Mierlo ,196.5
2022-06-10,30,Stage 3 - Heythuysen › Buchten ,192.5
2022-06-09,53,Stage 2 - Veere › Goes ,183.2
2022-06-08,16,Stage 1 - Kapelle › Kapelle ,100.9
2022-05-04,DNF,Stage 2 - Béthune › Maubeuge ,181.5
2022-05-03,9,Stage 1 - Dunkerque › Aniche ,161.1
2022-04-17,DNF,Paris-Roubaix (1.UWT) ,257.2
2022-04-13,DNF,De Brabantse Pijl - La Flèche Brabançonne (1.Pro) ,205.1
2022-04-06,DNF,Scheldeprijs (1.Pro) ,198.7
2022-04-03,81,Ronde van Vlaanderen - Tour des Flandres ME (1.UWT) ,272.5
2022-03-27,80,Gent-Wevelgem in Flanders Fields ME (1.UWT) ,248.8
2022-03-23,27,Minerva Classic Brugge-De Panne (1.UWT) ,207.9
2022-03-18,26,Bredene Koksijde Classic (1.Pro) ,200.9
2022-03-16,46,Danilith Nokere Koerse (1.Pro) ,189.8
2022-03-06,39,Grote Prijs Jean-Pierre Monseré (1.1) ,203.2
2022-03-01,63,Le Samyn (1.1) ,209.0
2022-02-26,119,Omloop Het Nieuwsblad ME (1.UWT) ,204.2
2022-02-06,104,Stage 5 (ITT) - Alès › Alès l'Ermitage ,10.64
2022-02-05,62,Stage 4 - Saint-Hilaire-de-Brethmas › Le Mont Bouquet ,146.71
2022-02-04,67,Stage 3 - Bessèges › Bessèges ,155.65
2022-02-03,61,Stage 2 - Saint-Christol-lèz-Alès › Rousson ,156.21
2022-02-02,22,Stage 1 - Bellegarde › Bellegarde ,160.86
2022-01-30,102,Grand Prix Cycliste de Marseille La Marseillaise (1.1) ,174.3
2022-04-17,DNF,Paris-Roubaix (1.UWT),257.2
2022-04-13,DNF,De Brabantse Pijl - La Flèche Brabançonne (1.Pro),205.1
2022-04-06,DNF,Scheldeprijs (1.Pro),198.7
2022-04-03,81,Ronde van Vlaanderen - Tour des Flandres ME (1.UWT),272.5
2022-03-27,80,Gent-Wevelgem in Flanders Fields ME (1.UWT),248.8
2022-03-23,27,Minerva Classic Brugge-De Panne (1.UWT),207.9
2022-03-18,26,Bredene Koksijde Classic (1.Pro),200.9
2022-03-16,46,Danilith Nokere Koerse (1.Pro),189.8
2022-03-06,39,Grote Prijs Jean-Pierre Monseré (1.1),203.2
2022-03-01,63,Le Samyn (1.1),209.0
2022-02-26,119,Omloop Het Nieuwsblad ME (1.UWT),204.2
2022-02-06,104,Stage 5 (ITT) - Alès › Alès l'Ermitage,10.64
2022-02-05,62,Stage 4 - Saint-Hilaire-de-Brethmas › Le Mont Bouquet,146.71
2022-02-04,67,Stage 3 - Bessèges › Bessèges,155.65
2022-02-03,61,Stage 2 - Saint-Christol-lèz-Alès › Rousson,156.21
2022-02-02,22,Stage 1 - Bellegarde › Bellegarde,160.86
2022-01-30,102,Grand Prix Cycliste de Marseille La Marseillaise (1.1),174.3
2021-10-24,5,Ronde van Drenthe (1.1),188.5
2021-10-17,DNF,Boucles de l'Aulne - Châteaulin (1.1),177.6
2021-10-16,1,Grand Prix du Morbihan (1.Pro),176.9
2021-10-10,7,Paris - Tours Elite (1.Pro),212.3
2021-10-07,12,Paris - Bourges (1.1),198.0
2021-10-03,43,Sparkassen Münsterland Giro (1.Pro),188.5
2021-09-29,53,Eurométropole Tour (1.Pro),177.6
2021-09-26,4,Dorpenomloop Rucphen (1.2),193.3
2021-09-23,8,Omloop van het Houtland Middelkerke-Lichtervelde (1.1),190.0
2021-09-19,4,Gooikse Pijl (1.1),199.0
2021-09-18,DNF,Stage 5 - Mersch › Luxembourg-City,183.7
2021-09-17,79,Stage 4 (ITT) - Dudelange › Dudelange,25.4
2021-09-16,7,Stage 3 - Mondorf-les-Bains  › Mamer,189.3
2021-09-15,80,Stage 2 - Steinfort › Eschdorf,186.1
2021-09-14,106,Stage 1 - Luxembourg-City › Luxembourg-City,140.0
2021-09-12,30,Antwerp Port Epic / Sels Trophy (1.1),183.4
2021-09-05,70,Stage 7 - Namur › Geraardsbergen,177.9
2021-09-04,112,Stage 6 - Ottignies-Louvain-la-Neuve › Houffalize,207.6
2021-09-03,75,Stage 5 - Riemst › Bilzen,192.0
2021-09-02,34,Stage 4 - Aalter › Ardooie,166.1
2021-09-01,80,Stage 3 - Essen › Hoogerheide,168.3
2021-08-31,116,Stage 2 (ITT) - Lelystad › Lelystad,11.1
2021-08-30,36,Stage 1 - Surhuisterveen › Dokkum,169.6
2021-08-28,27,Brussels Cycling Classic (1.Pro),205.3
2021-08-15,5,Grote Prijs Jef Scherens - Rondom Leuven (1.1),190.0
2021-08-08,24,Stage 4 - Gratangen › Harstad,163.5
2021-08-07,44,Stage 3 - Finnsnes › Målselv ,184.5
2021-08-06,6,Stage 2 - Nordkjosbotn › Kilpisjärvi,177.6
2021-08-05,35,Stage 1 - Tromsø › Tromsø,142.4
2021-06-20,70,National Championships Belgium - Road Race (NC),221.3
2021-06-13,29,Stage 5 - Turnhout › Beringen,178.7
2021-06-12,106,Stage 4 - Hamoir › Hamoir,152.7
2021-06-11,83,Stage 3 - Gingelom › Scherpenheuvel-Zichem,174.4
2021-06-10,75,Stage 2 (ITT) - Knokke-Heist › Knokke-Heist,11.2
2021-06-09,56,Stage 1 - Beveren › Maarkedal,175.3
2021-06-05,67,Dwars door het Hageland (1.Pro),177.0
2021-05-24,12,Ronde van Limburg (1.1),199.8
2021-05-16,25,Stage 5 - Budapest › Budapest,92.4
2021-05-15,66,Stage 4 - Balassagyarmat › Gyöngyös-Kékestető,202.2
2021-05-14,22,Stage 3 - Veszprém › Tata,141.9
2021-05-13,16,Stage 2 - Balatonfüred › Nagykanizsa,182.6
2021-05-12,18,Stage 1 - Siófok › Kaposvár,173.0
2021-04-21,DNF,La Flèche Wallonne (1.UWT),193.6
2021-04-07,DNF,Scheldeprijs ME (1.Pro),193.8
2021-04-04,DNF,Ronde van Vlaanderen - Tour des Flandres ME (1.UWT),254.3
2021-03-28,DNF,Gent-Wevelgem in Flanders Fields ME (1.UWT),250.0
2021-03-24,21,Oxyclean Classic Brugge-De Panne ME (1.UWT),203.9
2021-03-17,82,Danilith Nokere Koerse ME (1.Pro),195.0
2021-03-07,9,Grote Prijs Jean-Pierre Monseré (1.1),202.1
2021-02-28,104,Kuurne - Bruxelles - Kuurne (1.Pro),197.0
2020-10-17,2,National Championships Belgium U23 - Road Race (NC),160.0
2020-10-11,8,Paris-Tours Espoirs (1.2U),178.0
2020-09-12,10,Stage 4 - Kielce › Łódź,200.0
2020-09-11,43,Stage 3 - Sucha Beskidzka › Jaworzno,156.6
2020-09-10,60,Stage 2 - Krosno › Nowy Sącz,154.7
2020-09-09,2,Stage 1 - Nisko › Sędziszów Małopolski,176.0
2020-09-05,94,Stage 8 - Aprica › Aprica,120.9
2020-09-04,84,Stage 7 - Barzio › Montespluga,116.5
2020-09-03,3,Stage 6 - Colico › Colico,157.2
2020-09-02,7,Stage 5 - Marostica › Rosà,145.8
2020-09-01,87,Stage 4 - Bonferraro di Sorgà › Bolca,159.6
2020-08-31,8,Stage 3 - Riccione ›  Mordano,149.4
2020-08-30,5,Stage 2 - Gradara  ›  Riccione,103.9
2020-08-29,40,Stage 1 - Urbino › Urbino,149.0
2020-08-16,28,Stage 4 - Płock › Płońsk,151.0
2020-08-15,48,Stage 3 - Nasielsk › Nasielsk,122.0
2020-08-13,1,Stage 1 - Radzymin › Radzymin,147.0
2020-08-12,138,Prologue - Warsaw › Warsaw,1.6
2020-03-08,7,Dorpenomloop Rucphen (1.2),201.4
2019-10-13,DNF,Paris-Tours Espoirs (1.2U),183.0
2019-09-14,8,De Kustpijl (1.2),199.6
2019-09-08,DNF,Gylne Gutuer (1.2),173.5
2019-09-07,DNF,Lillehammer GP (1.2),134.1
2019-09-06,21,Hafjell TT (1.2),22.0
2019-08-17,19,National Championships Belgium U23 - Road Race (NC),175.0
2019-08-11,3,Antwerpse Havenpijl (1.2),181.0
2019-06-16,21,Stage 5 - Tongeren › Beringen,158.5
2019-06-15,69,Stage 4 - Seraing › Seraing,151.6
2019-06-14,37,Stage 3 (ITT) - Grimbergen › Grimbergen,9.2
2019-06-13,30,Stage 2 - Knokke-Heist › Zottegem,179.9
2019-06-12,9,Stage 1 - Sint-Niklaas › Knokke-Heist,183.4
2019-06-09,8,Memorial Philippe Van Coningsloo (1.2),180.1
2019-05-19,1,Grand Prix Criquielion (1.2),193.3
2019-05-01,24,Stage 7 - Plounévez-Lochrist › Saint-Pol-de-Léon,150.9
2019-04-30,10,Stage 6 - Le Ferré › Plurien,171.6
2019-04-29,119,Stage 5 - Rougé › Le Ferré,191.5
2019-04-28,4,Stage 4 - Ploërmel › Châteaubriant,152.7
2019-04-27,4,Stage 3 - Port-Louis › Guégon,172.4
2019-04-26,121,Stage 2 - Bannalec › Quimperlé,169.4
2019-04-25,8,Stage 1 - Lorient › Inzinzac-Lochrist,150.5
2019-04-13,42,Ronde van Vlaanderen Beloften (1.Ncup),167.5
2019-04-07,6,Stage 3 - Ath › Tournai,157.4
2019-04-06,37,Stage 2b - Wodecq › Celles,112.7
2019-04-06,12,Stage 2a (ITT) - Celles › Celles,11.4
2019-04-05,4,Stage 1 - Frasnes › Chièvres,147.1
2019-03-22,22,Youngster Coast Challenge (1.2U),162.0
2019-03-17,48,Paris-Troyes (1.2),184.0
2019-02-23,5,Ster van Zwolle (NAT),
2018-10-13,21,De Kustpijl (1.2),199.1
2018-10-07,37,Paris-Tours Espoirs (1.2U),182.0
2018-09-09,45,Stage 5 - České Velenice › Jindřichův Hradec,150.0
2018-09-08,13,Stage 4 - Třeboň › Protivín,176.0
2018-09-07,91,Stage 3 (ITT) - Český Krumlov › Kleť,10.7
2018-09-06,10,Stage 2 - Litschau › Nová Bystřice,158.0
2018-09-05,1,Stage 1 (TTT) - Jindřichův Hradec › Jindřichův Hradec,2.4
2018-08-26,29,Ronde van Midden Nederland (1.2),191.6
2018-08-12,DNF,National Championships Belgium U23 - Road Race (NC),176.0
2018-08-05,11,Antwerpse Havenpijl (1.2),179.8
2018-07-22,82,Grand Prix de la ville de Pérenchies (1.2),163.2
2018-07-07,13,Stage 5 - Kielce › Lodz,185.0
2018-07-06,16,Stage 4 - Nowy Sacz › Jaworzno,197.9
2018-07-05,36,Stage 3 - Jaslo › Stalowa Wola,145.6
2018-07-04,8,Stage 2 - Strzyzow › Krosno,100.3
2018-07-04,22,Stage 1 - Sanok › Sedziszow Malopolski,91.5
2018-06-30,DNF,Omloop Het Nieuwsblad Beloften/Circuit Het Nieuwsblad Espoirs (1.2),176.7
2018-06-27,28,Internationale Wielertrofee Jong Maar Moedig I.W.T. (1.2),179.0
2018-06-10,21,Midden-Brabant Poort Omloop (1.2),197.2
2018-06-03,20,Memorial Philippe Van Coningsloo (1.2),179.9
2018-05-27,8,Circuit de Wallonie (1.2),176.9
2018-05-20,93,Stage 3 - Hermies › Arras,192.6
2018-05-19,62,Stage 2 - Lens › Liévin,189.6
2018-05-18,28,Stage 1 - Le Cateau-Cambrésis › Villers-lès-Cagnicourt,121.7
2018-05-12,30,Ronde van Overijssel (1.2),199.0
2018-05-01,23,National Championships Belgium U23 - ITT (NC),27.4
2018-04-21,91,Arno Wallaard Memorial (1.2),184.0
2018-03-11,22,Rabobank Dorpenomloop Rucphen (1.2),187.5
2017-08-04,70,European Continental Championships MJ - Road Race (CC),120.6
2017-07-30,8,Stage 3 - Wallenhorst › Wallenhorst,114.3
2017-07-29,1,Stage 2b - Wallenhorst › Wallenhorst,94.2
2017-07-29,9,Stage 2a (ITT) - Bramsche › Bramsche,10.5
2017-07-28,25,Stage 1 - Wallenhorst › Wallenhorst,66.3
2017-07-11,12,Menen-Kemmel-Menen (1.1),127.0
2017-05-28,14,National Championships Belgium MJ - Road Race (NC),130.0
2017-05-21,26,Stage 3 - Pluméliau › Locminé,95.5
2017-05-21,50,Stage 2 (ITT) - Réguiny  › Naizin,7.2
2017-05-20,85,Stage 1 - Saint-Jean-Brévelay  › Saint-Jean-Brévelay,101.7
2017-05-01,6,National Championships Belgium MJ - ITT (NC),28.8
2017-04-23,4,Record Bank E3 Harelbeke - Junioren (1.1),115.0
2017-04-09,17,Paris - Roubaix Juniors (1.Ncup),111.0
2017-04-02,5,Ronde van Vlaanderen Juniores - Tour des Flandres Juniors (1.1),127.0
2017-03-26,30,Gent-Wevelgem/Grote Prijs A. Noyelle-Ieper (1.Ncup),129.2
2017-03-11,1,Danilith - Nokere Koerse voor Juniores (1.1),122.2
2017-02-26,15,Kuurne-Brussel-Kuurne Juniors (1.1),117.7
2016-07-31,9,Ronde van Vlaanderen Juniores - Tour des Flandres Juniors (1.1),123.0
2016-07-10,DNF,Stage 2 - Wincrange › Wincrange,97.0
2016-07-09,66,Stage 1 - Ettelbruck › Troisvierges,102.0
2016-05-29,13,National Championships Belgium MJ - Road Race (NC),130.0
