date,result ranking,race name,distance
2011-06-25,16.0,National Championships Israel - Road Race (NC) ,133.0
2011-06-23,9.0,National Championships Israel - ITT (NC) ,
2011-05-29,38.0,Stage 4 - Edirne › Tekirdag ,143.0
2011-05-28,39.0,Stage 3 - Lüleburgaz › Edirne ,115.0
2011-05-27,45.0,Stage 2 - Çorlu › Lüleburgaz ,128.0
2011-05-26,51.0,Stage 1 - Tekirdag › Tekirdag ,114.0
2011-06-25,16.0,National Championships Israel - Road Race (NC) ,133.0
2011-06-23,9.0,National Championships Israel - ITT (NC) ,
2011-05-29,38.0,Stage 4 - Edirne › Tekirdag ,143.0
2011-05-28,39.0,Stage 3 - Lüleburgaz › Edirne ,115.0
2011-05-27,45.0,Stage 2 - Çorlu › Lüleburgaz ,128.0
2011-05-26,51.0,Stage 1 - Tekirdag › Tekirdag ,114.0
2009-06-27,1.0,National Championships Israel - Road Race (NC) ,
