date,result ranking,race name,distance
2022-05-21,4,South East Asian Games - Road Race (JR) ,162.25
2022-04-06,64,Stage 6 - Nakhon Phanom › Mukdahan ,165.2
2022-04-05,79,Stage 5 - Nakhon Phanom › Nakhon Phanom ,163.0
2022-04-04,80,Stage 4 - Sakhon Nakhon › Nakhon Phanom ,176.0
2022-04-03,70,Stage 3 - Sakhon Nakhon › Sakhon Nakhon ,117.0
2022-04-02,67,Stage 2 - Mukdahan › Sakhon Nakhon ,183.5
2022-04-01,81,Stage 1 - Mukdahan › Mukdahan ,157.3
2022-04-06,64,Stage 6 - Nakhon Phanom › Mukdahan,165.2
2022-04-05,79,Stage 5 - Nakhon Phanom › Nakhon Phanom,163.0
2022-04-04,80,Stage 4 - Sakhon Nakhon › Nakhon Phanom,176.0
2022-04-03,70,Stage 3 - Sakhon Nakhon › Sakhon Nakhon,117.0
2022-04-02,67,Stage 2 - Mukdahan › Sakhon Nakhon,183.5
2022-04-01,81,Stage 1 - Mukdahan › Mukdahan,157.3
2021-07-25,1,National Championships Singapore - ITT (NC),
2019-12-08,25,South East Asian Games - Road Race (JR),130.4
2019-12-05,7,South East Asian Games - ITT (JR),35.4
2019-11-09,DSQ,Stage 8 - Sungai Penuh › Pesisir Selatan,212.9
2019-11-08,54,Stage 7 - Kayu Aro › Kerinci,82.9
2019-11-07,48,Stage 6 - Singkarak › Solok Selatan,214.1
2019-11-06,59,Stage 5 - Payakumbuh › Embun Pagi Agam,206.5
2019-11-05,69,Stage 4 - Dharmasraya › Sawahlunto,205.3
2019-11-04,72,Stage 3 - 50 Kota › Pagang Panjang,125.6
2019-11-03,58,Stage 2 - Pasaman › Bukittinggi,112.2
2019-11-02,63,Stage 1 - Padang › Tanah Datar,107.3
2019-07-07,2,National Championships Singapore - Road Race (NC),120.0
2019-06-30,2,National Championships Singapore - ITT (NC),32.8
2018-07-08,2,National Championships Singapore - Road Race (NC),132.0
2012-06-24,3,National Championships Singapore - Road Race (NC),155.0
