date,result ranking,race name,distance
2022-02-20,5,National Championships Uruguay  - Road Race (NC) ,145.6
2022-02-20,5,National Championships Uruguay  - Road Race (NC),145.6
2019-05-04,DNF,Pan American Championships U23 - Road Race (CC),132.3
2019-04-21,11,Stage 10 - Trinidad › Montevideo,183.8
2019-04-20,15,Stage 9 - San Jacinto › Durazno,180.5
2019-04-19,51,Stage 8 - La Paloma › Pirlápolis,146.0
2019-04-18,15,Stage 7 - Treinta y Tres › Rocha,199.3
2019-04-17,50,Stage 6 (ITT) - Melo › Melo,33.6
2019-04-16,67,Stage 5 - Artigas › Tacuarembó,202.5
2019-04-15,73,Stage 4 - Colonia Itapebi › Artigas,149.0
2019-04-14,8,Stage 3 - Fray Bentos › Paysandú,150.1
2019-04-13,12,Stage 2 - Colonia › Mercedes,178.8
2019-04-12,17,Stage 1 - Cuidad del Plata › Colonia,165.5
2019-02-24,1,National Championships Uruguay U23 - Road Race (NC),156.0
2018-04-01,72,Stage 10 - Minas › Montevideo,145.2
2018-03-31,92,Stage 9 - Treinta y Tres › Minas,165.0
2018-03-30,99,Stage 8b - Melo › Treinta y Tres,106.7
2018-03-30,105,Stage 8a (ITT) - Melo › Melo,22.8
2018-03-29,88,Stage 7 - Tacuarembó	 › Las Toscas,113.1
2018-03-28,107,Stage 6 - Durazno › Tacuarembó	,199.9
2018-03-27,103,Stage 5 - Young › Durazno,164.1
2018-03-26,14,Stage 4 - Cardona › Mercedes,165.3
2018-03-25,98,Stage 3 - Soca › Rosario,188.5
2018-03-24,109,Stage 2b - Rocha › Piriápolis,122.2
2018-03-24,26,Stage 2a (TTT) - La Paloma › Rocha,25.6
2018-03-23,77,Stage 1 - Atlántida › Castillos,201.6
2018-03-17,11,National Championships Uruguay U23 - ITT (NC),27.0
2016-03-27,84,Stage 10 - San Carlos › Montevideo ,168.2
2016-03-26,104,Stage 9 - Mariscala › Rocha,159.1
2016-03-25,108,Stage 8 - Melo › Treinta y Tres,70.0
2016-03-24,91,Stage 7 (ITT) - Melo › Melo,32.2
2016-03-23,77,Stage 6 - Durazno › Tacuarembo,203.0
2016-03-22,92,Stage 5 - Young › Durazno,164.1
2016-03-21,22,Stage 4 - Carmelo › Mercedes,173.9
2016-03-20,72,Stage 3b - Santa Lucia › Colonia,143.0
2016-03-20,19,Stage 3a (TTT) - Canelonos › Santa Lucia,11.4
2016-03-19,108,Stage 2 - Minas › Florida,143.0
2016-03-18,70,Stage 1 - Montevideo › Minas,109.2
