date,result ranking,race name,distance
2022-05-22,1,Stage 4 - Fayetteville › Fayetteville ,60.1
2022-05-21,15,Stage 3 (ITT) - West Fork › West Fork ,4.8
2022-05-20,47,Stage 2 - Fayetteville › Mount Sequoyah ,182.4
2022-05-19,65,Stage 1 - Fayetteville › Fayetteville ,191.5
2022-02-10,8,National Championships Colombia - ITT (NC) ,38.3
2022-02-10,8,National Championships Colombia - ITT (NC),38.3
2021-08-15,25,Pan American Championships - Road Race (CC),160.0
2021-06-17,7,National Championships Colombia - ITT (NC),38.7
2021-04-25,62,Stage 9 - Parque Nacional (Bogotá) › Parque Nacional (Bogotá),126.0
2021-04-24,107,Stage 8 - Mariquita › Alto del Vino,140.4
2021-04-23,84,Stage 7 - Manizales › Mariquita,118.8
2021-04-22,97,Stage 6 (ITT) - Cenicafé (Chinchiná) › Mirador Chipre (Manizales),19.8
2021-04-21,118,Stage 5 - Armenia › Belalcázar,146.0
2021-04-20,147,Stage 4 - Ibagué › Alto de La Línea,122.2
2021-04-19,123,Stage 3 - Mosquera › Ibagué,181.1
2021-04-18,3,Stage 2 - Paipa › Tocancipá,140.2
2021-04-17,5,Stage 1 - Yopal › Yopal,188.1
2021-04-16,3,Prologue - Yopal › Yopal,7.6
2020-02-13,DNF,Stage 3 - Paipa › Sogamoso,177.7
2020-02-12,6,Stage 2 - Paipa › Duitama,152.4
2020-02-11,17,Stage 1 (TTT) - Tunja › Tunja,16.7
2020-02-02,DNF,National Championships Colombia - Road Race (NC),217.0
2020-01-30,14,National Championships Colombia - ITT (NC),41.4
2019-11-01,1,Stage 10 - Guatemala City › Guatemala City,105.0
2019-10-31,2,Stage 9 - Pamezabal › El Camán,122.0
2019-10-30,50,Stage 8 - Momostenango › Piedra María Tecun,116.0
2019-10-29,4,Stage 7 - Esquipulas Palo Gordo › San Pedro Sacatepéquez,116.0
2019-10-28,74,Stage 6 - Samayac › Totonicapán,93.0
2019-10-27,6,Stage 5 (ITT) - Champerico › San Sebastián,33.5
2019-10-26,4,Stage 4 - Villa Nueva › San José El Ídolo,130.0
2019-10-25,31,Stage 3 - Gualán › Guastatoya,93.0
2019-10-24,4,Stage 2 - Puerto Barrios › Morales,125.5
2019-10-23,76,Stage 1 - San Benito › Río Dulce,204.0
2019-08-10,3,Pan American Games - Road Race (CC),177.0
2019-05-19,73,Stage 3 - Huesca › Zaragoza,127.4
2019-05-18,86,Stage 2 - Sadaba › Canfranc,186.2
2019-05-17,6,Stage 1 - Andorra › Calatayud,186.2
2019-05-12,75,Stage 3 - Madrid › Madrid,99.9
2019-05-11,93,Stage 2 - San Martin de Valdeiglesias › San Martin de Valdeiglesias,163.0
2019-05-10,9,Stage 1 - Aranjuez › Aranjuez,161.0
2019-04-26,DNF,Stage 2 - Fromista › Villada,170.3
2019-04-25,77,Stage 1 - Belorado › Castrojeriz,181.0
2019-04-21,12,Stage 6 - Sakarya › Istanbul,172.4
2019-04-20,69,Stage 5 - Bursa › Kartepe,164.1
2019-04-19,90,Stage 4 - Balıkesir  › Bursa,194.3
2019-04-18,13,Stage 3 - Çanakkale › Edremit,122.6
2019-04-17,110,Stage 2 - Tekirdağ › Eceabat,183.3
2019-04-16,16,Stage 1 - Istanbul › Tekirdağ,156.7
2019-04-12,DNF,Stage 4 - Sillé-le-Guillaume › Sillé-le-Guillaume,183.3
2019-04-11,69,Stage 3 - Abbaye Royale de l’Épau  › Mont des Avaloirs,184.3
2019-04-10,60,Stage 2 - Freigné › Belligné,172.1
2019-04-09,53,Stage 1 - La Châtaigneraie › La Châtaigneraie,180.0
2019-04-07,17,La Roue Tourangelle Région Centre Val de Loire - Trophée Harmonie Mutuelle (1.1),186.0
2019-04-05,67,Route Adélie de Vitré (1.1),197.8
2019-03-21,32,Stage 5 - Pingtung › Pingtung,192.8
2019-03-20,99,Stage 4 - Nantou › Xianshan Visitor Center,166.6
2019-03-19,4,Stage 3 - Hsinchu › Shigang,156.5
2019-03-18,40,Stage 2 - Taoyuan › Jiaobanshan Park,118.9
2019-03-17,1,Stage 1 - Taipei › Taipei,83.2
2019-02-01,14,National Championships Colombia - ITT (NC),28.2
2018-08-07,DNF,Stage 1 - Cedar City › Cedar City,162.5
2018-08-06,34,Prologue - St. George › St. George,5.31
2018-04-15,4,Stage 4 - Fayetteville › Fayetteville,60.0
2018-04-14,27,Stage 3 (ITT) - Devil's Den State Park › Devil's Den State Park,4.84
2018-04-13,82,Stage 2 - Fayetteville › Fayetteville,176.5
2018-04-12,78,Stage 1 - Fayetteville › Fayetteville (Mount Sequoyah),166.9
2018-02-11,103,Stage 6 - Armenia › Manizales (Torre de Chipre),184.3
2018-02-10,97,Stage 5 - Pereira  › Salento,163.7
2018-02-09,114,Stage 4 - Buga › Alto Boquerón (El Tambo),149.5
2018-02-08,30,Stage 3 - Palmira › Buga,163.2
2018-02-07,77,Stage 2 - Palmira › Palmira,183.4
2018-02-06,134,Stage 1 - Palmira › Palmira,99.9
