date,result ranking,race name,distance
2011-01-06,12.0,Australia Criterium Championship (NC) ,44.0
2011-01-06,12.0,Australia Criterium Championship (NC) ,44.0
2008-10-18,42.0,Stage 6 - Melbourne › Melbourne ,66.0
2008-10-17,38.0,Stage 5 (ITT) - Yarra Valley › Yarra Valley ,16.2
2008-10-16,31.0,Stage 4 - Alexandra › Mt Buller ,115.4
2008-10-15,31.0,Stage 3 - Warragul › Marysville ,137.1
2008-10-14,47.0,Stage 2 - Inverloch › Warragul ,118.1
2008-10-13,56.0,Stage 1 - Traralgon › Inverloch ,130.4
2008-07-04,46.0,Stage 9 - Seoul › Seoul ,21.0
2008-07-03,19.0,Stage 8 - Yangyang › Chuncheon ,147.55
2008-07-02,50.0,Stage 7 - Danyang › Yangyang ,191.8
2008-06-30,70.0,Stage 6 - Gumi › Danyang ,185.7
2008-06-29,3.0,Stage 5 - Geochang › Gumi ,146.7
2008-06-28,14.0,Stage 4 - Gangjin › Geochang ,217.69
2008-06-27,38.0,Stage 3 - Yeosoo › Gangjin ,126.8
2008-06-26,16.0,Stage 2 - Changwon › Changwon ,140.0
2008-06-25,8.0,Stage 1b - Busan › Busan ,148.8
2008-06-22,95.0,Stage 1a - Yamaga › Yamaga ,178.0
2008-06-21,11.0,Prologue - Yamaga › Yamaga ,1.8
2008-02-03,10.0,Stage 7 - Wellington › Wellington ,43.0
2008-02-03,10.0,Stage 6 (ITT) - Wellington › Wellington ,12.0
2008-02-02,10.0,Stage 5 - Masterton › Masterton ,52.7
2008-02-02,13.0,Stage 4 - Gladstone › Gladstone ,132.0
2008-02-01,10.0,Stage 3 - Masterton › Admiral Hill ,185.0
2008-01-31,3.0,Stage 2 - Feathersib › Te Waharau ,133.5
2008-01-30,20.0,Stage 1 - Lower Hutt › Avalon ,52.0
2008-01-13,24.0,Australian Open Road Championships Road Race (NC) ,163.2
