date,result ranking,race name,distance
2003-08-09,50,Clasica Ciclista San Sebastian (CDM) ,227.0
2003-08-09,50,Clasica Ciclista San Sebastian (CDM) ,227.0
2002-09-15,DNF,San Francisco Grand Prix (1.3) ,176.0
2002-09-08,73,Stage 5 - Viernheim › Frankfurt ,173.0
2002-09-07,69,Stage 4a - Bensheim › Viernheim ,105.0
2002-09-07,95,Stage 4b (ITT) - Viernheim › Viernheim ,31.0
2002-09-06,6,Stage 3 - Hanau › Bensheim ,191.0
2002-09-05,49,Stage 2 - Schwalmstadt › Hanau ,172.0
2002-09-04,51,Stage 1 - Wiesbaden › Schwalmstadt ,190.0
2002-07-13,24,Stage 4 - Gresten › Großraming ,144.0
2002-07-12,25,Stage 3 - Rabenstein › Gresten ,173.0
2002-07-11,6,Stage 2 - Traismauer › Rabenstein ,166.0
2002-07-10,2,Stage 1 - Traismauer › Traismauer ,178.0
2002-06-30,6,National Championships Germany - Road Race (NC) ,208.0
2002-06-10,77,Stage 1 (ITT) - Am Plansee › Reutte ,11.0
2002-06-08,DNS,Stage 6 - Friedrichshafen  › Oberstdorf ,191.0
2002-06-07,127,Stage 5 - Bad Dürrheim › Friedrichshafen  ,172.3
2002-06-06,110,Stage 4 (ITT) - Villingen-Schwenningen › Bad Dürrheim ,37.6
2002-06-05,121,Stage 3 - Bühlertal  › Schonach ,192.5
2002-06-04,65,Stage 2 - Tauberbischofsheim  › Pforzheim ,186.6
2002-06-03,65,Stage 1 - Wiesbaden › Tauberbischofsheim  ,198.6
2002-05-26,87,Stage 5 - Schwabach › Marktrewitz ,201.4
2002-05-25,1,Stage 4 - Gunzenhausen › Schwabach ,187.4
2002-05-24,49,Stage 3 - Bad Wörishofen › Gunzenhausen ,203.9
2002-05-23,17,Stage 2 (ITT) - Füssen › Füssen ,15.7
2002-05-22,53,Stage 1 - Füssen › Füssen ,128.9
2002-05-20,4,Rund um die Hainleite-Erfurt (1.3) ,198.6
2002-04-14,DNF,Paris - Roubaix (CDM) ,261.0
2002-04-08,DNF,Ronde van Vlaanderen / Tour des Flandres (CDM) ,264.0
2002-04-04,DNF,Stage 3a - De Panne › De Panne ,114.0
2002-04-03,156,Stage 2 - Zottegem › Koksijde ,232.0
2002-04-02,171,Stage 1 - Moeskroen › Zottegem ,181.0
2002-03-30,161,Stage 1 - Charleville Mezieres › Charleville Mezieres ,192.0
2001-09-16,DNF,GP de Fourmies / La Voix du Nord (1.HC) ,210.0
2001-07-01,3,National Championships Germany - Road Race (NC) ,216.0
2001-06-15,92,Stage 5 - Kitzbühel › Lienz ,138.0
2001-06-14,97,Stage 4 - Bad Gastein › Kitzbühler ,154.0
2001-06-13,103,Stage 3 - Schwaz › Bad Hofgastein ,173.0
2001-06-12,1,Stage 2 - Dornbirn › Lermoos ,197.0
2001-06-11,78,Stage 1 - Dornbirn › Dornbirn ,141.0
