date,result ranking,race name,distance
2021-06-27,8,National Championships Bermuda - Road Race (NC) ,
2021-06-27,8,National Championships Bermuda - Road Race (NC),
2020-08-23,6,National Championships Bermuda - Road Race (NC),
2018-06-24,11,National Championships Bermuda - Road Race (NC),108.6
2017-07-09,9,National Championships Bermuda - Road Race (NC),108.6
2015-06-21,8,National Championships Bermuda - Road Race (NC),100.0
2015-06-14,3,National Championships Bermuda - ITT (NC),32.8
2014-06-29,4,National Championships Bermuda - Road Race (NC),100.0
2014-06-22,5,National Championships Bermuda - ITT (NC),31.4
2013-06-16,3,National Championships Bermuda - Road Race (NC),104.6
