date,result ranking,race name,distance
2022-08-06,65,Stage 5 - Lermas › Lagunas de Neila ,170.0
2022-08-05,50,Stage 4 - Torresandino › Ciudad Romana de Clunia  140k,169.0
2022-08-04,28,Stage 3 - Quintana Martín Galíndez › Villarcayo ,156.0
2022-08-03,54,Stage 2 - Vivar del Cid › Villadiego ,158.0
2022-08-02,32,Stage 1 - Burgos › Burgos ,157.0
2022-05-28,DNF,Stage 20 - Belluno › Marmolada (Passo Fedaia) ,168.0
2022-05-27,133,Stage 19 - Marano Lagunare › Santuario di Castelmonte ,178.0
2022-05-26,133,Stage 18 - Borgo Valsugana › Treviso ,156.0
2022-05-25,64,Stage 17 - Ponte di Legno › Lavarone  99k,168.0
2022-05-24,65,Stage 16 - Salò › Aprica ,202.0
2022-05-22,42,Stage 15 - Rivarolo Canavese › Cogne  70k,177.0
2022-05-21,106,Stage 14 - Santena › Torino ,147.0
2022-05-20,111,Stage 13 - Sanremo › Cuneo ,150.0
2022-05-19,129,Stage 12 - Parma › Genova ,204.0
2022-05-18,146,Stage 11 - Santarcangelo di Romagna › Reggio Emilia ,203.0
2022-05-17,113,Stage 10 - Pescara › Jesi ,196.0
2022-05-15,86,Stage 9 - Isernia › Blockhaus ,191.0
2022-05-14,91,Stage 8 - Napoli › Napoli ,153.0
2022-05-13,97,Stage 7 - Diamante › Potenza ,196.0
2022-05-12,139,Stage 6 - Palmi › Scalea ,192.0
2022-05-11,149,Stage 5 - Catania › Messina ,174.0
2022-05-10,120,Stage 4 - Avola › Etna ,172.0
2022-05-08,121,Stage 3 - Kaposvár › Balatonfüred ,201.0
2022-05-07,43,Stage 2 (ITT) - Budapest › Budapest ,9.2
2022-05-06,77,Stage 1 - Budapest › Visegrád ,195.0
2022-04-24,98,Liège-Bastogne-Liège (1.UWT) ,257.2
2022-04-22,2,Stage 5 - Lienz › Lienz  54k,114.5
2022-04-21,99,Stage 4 - Villabassa › Kals am Grossglockner ,142.4
2022-04-20,82,Stage 3 - Lana › Villabassa ,154.6
2022-04-19,79,Stage 2 - Primiero/S. Martino di Castrozza › Lana ,154.1
2022-04-18,51,Stage 1 - Cles › Primiero/S. Martino di Castrozza ,160.9
2022-03-13,DNS,Stage 8 - Nice › Nice ,115.6
2022-03-12,13,Stage 7 - Nice › Col de Turini ,155.2
2022-03-11,28,Stage 6 - Courthézon › Aubagne ,213.6
2022-03-10,26,Stage 5 - Saint-Just-Saint-Rambert › Saint-Sauveur-de-Montagut ,188.8
2022-03-09,25,Stage 4 (ITT) - Domérat › Montluçon ,13.4
2022-03-08,45,Stage 3 - Vierzon › Dun-le-Palestel ,190.8
2022-03-07,48,Stage 2 - Auffargis › Orléans ,159.2
2022-03-06,27,Stage 1 - Mantes-la-Ville › Mantes-la-Ville ,159.8
2022-02-26,11,Stage 7 - Al Ain › Jebel Hafeet ,148.0
2022-02-25,69,Stage 6 - Expo 2020 Dubai › Expo 2020 Dubai  ,180.0
2022-02-24,72,Stage 5 - Ras al Khaimah Corniche › Al Marjan Island  ,182.0
2022-02-23,22,Stage 4 - Fujairah Fort › Jebel Jais ,181.0
2022-02-22,18,Stage 3 (ITT) - Ajman › Ajman ,9.0
2022-02-21,55,Stage 2 - Hudayriyat Island › Abu Dhabi Breakwater ,176.0
2022-02-20,55,Stage 1 - Madinat Zayed › Madinat Zayed ,184.0
2022-02-06,48,Stage 5 - Paterna › Valencia ,92.0
2022-02-05,61,Stage 4 - Orihuela › Torrevieja  ,193.1
2022-02-04,10,Stage 3 - Alicante › Antenas del Maigmó ,155.1
2022-02-03,84,Stage 2 - Bétera › Torrent ,171.5
2022-02-02,10,Stage 1 - Les Alqueries › Torralba del Pinar ,166.7
