date,result ranking,race name,distance
2005-07-10,6,De Drie Zustersteden (1.2) ,175.0
2005-06-12,96,Flèche Hesbigonne (1.2) ,180.0
2005-05-22,40,Stage 4 - Aywaille  › Aywaille  ,170.0
2005-05-21,1,Stage 3 - Soumagne › Soumagne ,85.0
2005-05-21,89,Stage 2 - Sprimont › Sprimont ,71.0
2005-05-20,60,Stage 1 - Libramont › Libramont ,155.0
2005-07-10,6,De Drie Zustersteden (1.2) ,175.0
2005-06-12,96,Flèche Hesbigonne (1.2) ,180.0
2005-05-22,40,Stage 4 - Aywaille  › Aywaille  ,170.0
2005-05-21,1,Stage 3 - Soumagne › Soumagne ,85.0
2005-05-21,89,Stage 2 - Sprimont › Sprimont ,71.0
2005-05-20,60,Stage 1 - Libramont › Libramont ,155.0
2004-08-08,59,Stage 5 - Herbolzheim › Vogtsburg ,177.1
2004-08-07,61,Stage 4 - Emmendingen › Lahr ,168.4
2004-08-06,35,Stage 3 - Neuenburg › Guebwiller ,178.9
2004-08-05,45,Stage 2 (ITT) - Müllheim › Müllheim ,19.0
2004-08-04,74,Stage 1 - Heitersheim › Wehr ,181.2
2004-05-16,122,Stage 3b - Soissons › Chauny ,87.5
2004-05-16,98,Stage 3a - Lacroix-Saint-Ouen › Soissons ,92.5
2004-05-15,119,Stage 2 - Crécy-en-Ponthieu › Compiègne ,184.0
2004-05-14,118,Stage 1 - Hirson › Doullens ,189.5
2004-05-01,DNF,Rund um den Henninger Turm (1.1) ,205.0
2004-04-17,64,Omloop van de Vlaamse Scheldeboorden - Bazel - Kruibeke (1.3) ,189.0
2004-04-16,18,Veenendaal - Veenendaal (1.2) ,207.0
2004-04-08,DNF,Gent - Wevelgem (1.HC) ,208.0
2004-02-22,87,Classic Haribo (1.3) ,204.0
2004-02-06,OTL,Stage 5 - Doha Golf Club › Doha Corniche ,163.0
2004-02-05,102,Stage 4 - Al Wakra › Al Wakra ,135.5
2004-02-04,63,Stage 3 - Camel Race Track › Camel Race Track ,189.5
2004-02-03,88,Stage 2 - Al Zubarah › Doha Hyatt Plaza ,151.0
2004-02-02,103,Stage 1 - Sealine Beach Resort › Doha Landmark ,150.5
2003-11-02,30,Stage 4 - Fifth Ring › Fifth Ring ,98.0
2003-11-01,48,Stage 3 - Miyun › Miyun ,122.0
2003-10-31,47,Stage 2 - Huairou › Huairou ,210.0
2003-10-30,69,Stage 1 - Huairou › Huairou ,140.0
2003-10-02,51,Omloop van het Houtland Lichtervelde (1.1) ,175.0
2003-08-22,64,Groningen - Münster (1.3) ,205.9
2003-08-16,70,Stage 6 - Korsør › Frederiksberg ,180.0
2003-08-15,107,Stage 5 (ITT) - Svendborg  › Svendborg ,15.7
2003-08-15,100,Stage 4 - Middelfart › Faaborg ,100.0
2003-08-14,66,Stage 3 - Hammel › Kolding ,185.0
2003-08-13,120,Stage 2 - Hobro › Århus ,220.0
2003-08-12,115,Stage 1 - Skagen › Aalborg ,155.0
2003-05-18,103,Stage 3a - Laon › Nogent-Sur-Oise ,113.0
2003-05-18,91,Stage 3b (ITT) - Nogent-sur-Oise  › Creil ,5.5
2003-05-17,133,Stage 2 - Amiens › Laon ,189.5
2003-05-16,135,Stage 1 - Beauvais › Cayeux-Sur-Mer ,157.5
2003-05-11,30,Omloop der Kempen (1.5) ,200.0
2003-04-26,11,Omloop van de Vlaamse Scheldeboorden - Bazel - Kruibeke (1.3) ,200.0
2003-04-05,DNF,Hel van het Mergelland (1.5) ,191.0
2003-03-19,102,Nokere-Koerse (1.3) ,193.0
2003-03-01,DNF,Omloop Het Volk (1.1) ,200.0
2003-02-04,52,Stage 5 - Sealine Beach Resort › Doha ,144.0
2003-02-03,102,Stage 4 - Al Wakra › Doha ,151.5
2003-02-02,93,Stage 3 - Camel Race Track › Doha ,187.5
2003-02-01,114,Stage 2 - Ras Laffan › Doha ,137.0
2003-01-31,105,Stage 1 - Doha › Doha ,90.0
2002-06-09,27,Memorial Philippe Van Coningsloo (1.5) ,176.0
2002-04-28,3,GP Stad Vilvoorde (1.5) ,172.0
2001-05-24,54,Hasselt - Spa - Hasselt (1.5) ,179.0
2000-06-28,13,Internationale Wielertrofee Jong Maar Moedig I.W.T (1.6) ,153.0
