date,result ranking,race name,distance
2004-08-23,9.0,Grand Prix de Beuvry-la-Forêt (1.6) ,156.0
2004-07-25,4.0,Grand Prix de la ville de Pérenchies (1.6) ,
2004-05-31,15.0,Flèche Hesbigonne (1.5) ,178.0
2004-05-29,8.0,Grand Prix de l'entité de Belœil (1.6) ,
2004-03-21,22.0,Challenge de Hesbaye Trognée (1.6) ,150.0
2004-02-29,83.0,Brussel - Opwijk (1.6) ,144.0
2004-08-23,9.0,Grand Prix de Beuvry-la-Forêt (1.6) ,156.0
2004-07-25,4.0,Grand Prix de la ville de Pérenchies (1.6) ,
2004-05-31,15.0,Flèche Hesbigonne (1.5) ,178.0
2004-05-29,8.0,Grand Prix de l'entité de Belœil (1.6) ,
2004-03-21,22.0,Challenge de Hesbaye Trognée (1.6) ,150.0
2004-02-29,83.0,Brussel - Opwijk (1.6) ,144.0
2003-10-02,56.0,Omloop van het Houtland Lichtervelde (1.1) ,175.0
2003-08-25,10.0,Grand Prix de Beuvry-la-Forêt (1.6) ,156.0
2003-07-13,19.0,GP de Dourges (1.6) ,185.4
2003-05-09,6.0,Stage 2 - Les Pieux › Gavray ,166.0
2003-05-08,8.0,Stage 1 - Brecey › Les Pieux ,187.0
2003-04-13,38.0,Prix de la Ville de Nogent-sur-Oise (1.6) ,
2003-04-06,7.0,Prix des Flandres Françaises (1.6) ,
2003-03-23,3.0,Challenge de Hesbaye Trognée (1.6) ,155.0
2003-03-16,33.0,Kattekoers (1.6) ,
2003-03-01,92.0,Beverbeek Classic (1.6) ,153.0
2002-08-26,13.0,Grand Prix de Beuvry-la-Forêt (1.6) ,
2002-05-11,88.0,Stage 3a - Troisvierges › Troisvierges ,81.5
2002-05-10,42.0,Stage 2 - Kayl › Rumelange ,167.0
2002-05-09,74.0,Stage 1 - Esch-sur-Alzette › Berchem ,172.7
2002-04-28,15.0,Paris - Mantes-en-Yvelines Espoirs (1.7.2) ,162.5
2002-04-24,121.0,La Côte Picarde (1.2) ,173.0
