date,result ranking,race name,distance
2011-08-06,78.0,Stage 2 -  Elk Grove Village ›  Elk Grove Village ,155.0
2011-08-05,86.0,Prologue - Chicago › Chigaco ,7.2
2011-08-06,78.0,Stage 2 -  Elk Grove Village ›  Elk Grove Village ,155.0
2011-08-05,86.0,Prologue - Chicago › Chigaco ,7.2
2010-04-04,40.0,Stage 11 - San Jose › Montevideo ,184.6
2010-04-03,58.0,Stage 10 - Mercedes › San José de Mayo ,188.1
2010-04-02,91.0,Stage 9 - Mercedes › Dolores ,170.8
2010-04-01,92.0,Stage 8 (ITT) - Mercedes › Dolores ,35.5
2010-04-01,102.0,Stage 7 - Cardona › Mercedes ,98.4
2010-03-31,32.0,Stage 6 - Paysandu › Flores ,182.4
2010-03-30,68.0,Stage 5 - Tacuarembó › Salto ,134.4
2010-03-29,88.0,Stage 4 - Durazno › Tuacuarembo ,197.5
2010-03-28,81.0,Stage 3 - Talas › Durazno ,163.8
2010-03-27,102.0,Stage 2 - Rocha › Ramallo ,183.0
2010-03-26,46.0,Stage 1 - Montevideo › Rocha ,179.3
2009-04-12,98.0,Stage 10 - San José › Montevideo ,154.4
2009-04-11,92.0,Stage 9 - Carmelo › San José ,168.0
2009-04-10,110.0,Stage 8 - Mercedes › Carmelo ,159.4
2009-04-09,121.0,Stage 7 (ITT) - Mercedes › Dolores ,33.6
2009-04-08,83.0,Stage 6 - Pueblo Constancia › Mercedes ,170.5
2009-04-07,107.0,Stage 5 - Young › Paysandu ,173.5
2009-04-06,30.0,Stage 4 - Ismael Cortinas › Fray Bentos ,163.8
2009-04-05,34.0,Stage 3 - San Jacinto › Durazno ,179.5
2009-04-04,80.0,Stage 2 - Maldonado › Ramallo ,140.0
2009-04-03,60.0,Stage 1 - Piriapolis › Maldonado ,146.6
1997-05-03,7.0,Stage 12 - La Dorada › Fontibón ,179.5
