date,result ranking,race name,distance
2022-06-26,25,National Championships Czech Republic - Road Race (NC) ,
2022-06-19,57,Stage 3 - Valentigney › Valentigney ,155.2
2022-06-18,72,Stage 2 - Pont-de-Roide › Pont-de-Roide ,161.7
2022-06-17,66,Stage 1 - Mandeure › Mathay ,4.1
2022-06-12,46,Stage 3 - St. Florian/Asten › Hutterer Hös ,133.5
2022-06-11,35,Stage 2 - Eferding › Niederkappel ,129.5
2022-06-10,9,Stage 1 - Wels › Ranshofen ,168.5
2022-06-09,34,Prologue - Linz › Linz ,0.65
2022-05-28,DNF,Stage 4 - Saint-Maurice-l'Exil › Beaurepaire ,171.4
2022-05-27,24,Stage 3 - Saint-Exupéry › Toussieu ,145.5
2022-05-26,109,Stage 2 - Les Abrets-en-Dauphiné › Saint-Quentin-Fallavier ,161.2
2022-05-25,7,Stage 1 - Charvieu-Chavagneux › Charvieu-Chavagneux ,118.1
2022-05-22,6,GP Gorenjska (1.2) ,171.8
2022-04-17,4,Stage 5 - Blois › Blois ,97.5
2022-04-16,3,Stage 4 - La Motte-Beuvron › La Motte-Beuvron ,205.0
2022-04-15,8,Stage 3 - Cloyes-Les-Trois-Rivières › Vendôme ,213.0
2022-04-14,10,Stage 2 - Le Controis-en-Sologne › Vallières-les-Grandes ,197.5
2022-04-13,34,Stage 1 - Blois › Fontaines-en-Sologne ,147.0
2022-04-09,21,Stage 4 - Charleville-Mézières › Charleville-Mézières ,172.7
2022-04-07,10,Stage 2 - Bazeilles › Sedan ,92.5
2022-04-06,4,Stage 1 - Signy-le-Petit › Signy-le-Petit ,165.2
2022-03-27,21,Stage 7 - Ducey-les-Chéris › Caen ,142.5
2022-03-26,10,Stage 6 - Carentan-les-Marais › Carentan-les-Marais ,175.9
2022-03-25,13,Stage 5 - Les Monts d'Aunay › Bagnoles-de-l'Orne ,156.7
2022-03-24,12,Stage 4 - Gacé › Argentan ,160.6
2022-03-23,17,Stage 3 - Nonancourt › Elbeuf-sur-Seine ,181.4
2022-03-22,7,Stage 2 - Le Neubourg › Forges-les-Eaux ,187.5
2022-03-21,12,Stage 1 - Ouistreham › Vimoutiers ,148.2
2022-03-13,DNF,Dorpenomloop Rucphen (1.2) ,186.0
2022-04-17,4,Stage 5 - Blois › Blois,97.5
2022-04-16,3,Stage 4 - La Motte-Beuvron › La Motte-Beuvron,205.0
2022-04-15,8,Stage 3 - Cloyes-Les-Trois-Rivières › Vendôme,213.0
2022-04-14,10,Stage 2 - Le Controis-en-Sologne › Vallières-les-Grandes,197.5
2022-04-13,34,Stage 1 - Blois › Fontaines-en-Sologne,147.0
2022-04-09,21,Stage 4 - Charleville-Mézières › Charleville-Mézières,172.7
2022-04-07,10,Stage 2 - Bazeilles › Sedan,92.5
2022-04-06,4,Stage 1 - Signy-le-Petit › Signy-le-Petit,165.2
2022-03-27,21,Stage 7 - Ducey-les-Chéris › Caen,142.5
2022-03-26,10,Stage 6 - Carentan-les-Marais › Carentan-les-Marais,175.9
2022-03-25,13,Stage 5 - Les Monts d'Aunay › Bagnoles-de-l'Orne,156.7
2022-03-24,12,Stage 4 - Gacé › Argentan,160.6
2022-03-23,17,Stage 3 - Nonancourt › Elbeuf-sur-Seine,181.4
2022-03-22,7,Stage 2 - Le Neubourg › Forges-les-Eaux,187.5
2022-03-21,12,Stage 1 - Ouistreham › Vimoutiers,148.2
2022-03-13,DNF,Dorpenomloop Rucphen (1.2),186.0
2021-10-24,18,Ronde van Drenthe (1.1),188.5
2021-10-10,12,Stage 4 - Tournes › Charleville-Mézières,169.0
2021-10-09,60,Stage 3 - Chooz › Hargnies,172.4
2021-10-08,24,Stage 2 - Vouziers › Vouziers,186.9
2021-10-07,36,Stage 1 - Sedan › Sedan,115.3
2021-09-19,90,Stage 4 - Trenčianske Teplice › Trnava,159.2
2021-09-18,10,Stage 3 - Dolný Kubín › Považská Bystrica,193.2
2021-09-17,73,Stage 2 - Spišské Podhradie › Dolný Kubín,179.7
2021-09-16,8,Stage 1 - Košice › Košice,158.4
2021-09-15,78,Prologue - Košice › Košice,1.6
