date,result ranking,race name,distance
2022-06-26,6,National Championships Serbia - Road Race (NC) ,
2022-06-04,31,Stage 5 - Gjirokastër › Fier ,109.0
2022-06-03,50,Stage 4 - Vlorë › Gjirokastër ,130.8
2022-06-02,5,Stage 3 - Elbasan › Vlorë ,122.3
2022-06-01,2,Stage 2 - Korçë › Elbasan ,153.4
2022-05-31,53,Stage 1 - Tirana › Korçë ,161.1
2022-04-17,43,Stage 5 - Derventa › Banja Luka ,154.5
2022-04-16,14,Stage 4 - Doboj › Prijedor ,165.5
2022-04-15,62,Stage 3 - Bijeljina › Vlasenica ,123.0
2022-04-14,11,Stage 2 - Obrenovac › Bijeljina ,122.0
2022-04-13,16,Stage 1 (TTT) - Belgrade › Belgrade ,4.0
2022-04-17,43,Stage 5 - Derventa › Banja Luka,154.5
2022-04-16,14,Stage 4 - Doboj › Prijedor,165.5
2022-04-15,62,Stage 3 - Bijeljina › Vlasenica,123.0
2022-04-14,11,Stage 2 - Obrenovac › Bijeljina,122.0
2022-04-13,16,Stage 1 (TTT) - Belgrade › Belgrade,4.0
2021-10-01,DNF,Stage 4 - Zadar › Crikvenica,197.0
2021-09-30,114,Stage 3 - Primošten › Makarska,167.0
2021-09-29,25,Stage 2 - Slunj › Otočac,187.0
2021-09-28,131,Stage 1 - Osijek › Varaždin,237.0
2021-09-12,30,Stage 4 - Prijepolje › Čačak,156.5
2021-09-11,75,Stage 3 - Čačak › Prijepolje,153.3
2021-09-10,2,Stage 2 - Mionica › Čačak,144.0
2021-09-09,87,Stage 1 - Požarevac › Mionica,147.6
2021-08-28,13,Adriatic Race (1.2),
2021-06-20,8,National Championships Serbia - Road Race (NC),150.0
2021-03-28,DNF,GP Adria Mobil (1.2),181.5
2021-03-21,DNF,GP Slovenian Istria (1.2),156.5
2020-09-12,6,National Championships Serbia - Road Race (NC),94.5
2020-09-07,5,Stage 4 - Derventa › Banjaluka,158.3
2020-09-06,6,Stage 3 - Teslić › Prnjavor,122.0
2020-09-05,58,Stage 2 - Bijeljina › Vlasenica,181.0
2020-09-04,28,Stage 1 - Beograd › Bijeljina,134.0
2020-09-03,4,Stage 3 - Zrenjanin › Novi Sad,100.0
2020-09-02,63,Stage 2 - Mionica › Požarevac,160.0
2020-09-01,26,Stage 1 - Jahorina › Zlatibor,170.0
2020-07-26,OTL,Stage 3a (ITT) - Curmătura Ștezii › Arena Platos,12.5
2020-07-25,88,Stage 2 - Sibiu › Sibiu,181.2
2020-07-24,100,Stage 1 - Sibiu › Bâlea Lac ,183.0
2020-07-23,45,Prologue - Sibiu › Sibiu,2.5
2020-03-08,88,Trofej Poreč - Poreč Trophy (1.2),156.0
2020-03-04,107,Trofej Umag - Umag Trophy (1.2),154.0
2019-11-10,71,Stage 3 - Yongchun › Beixi,112.6
2019-11-09,2,Stage 2 - Shishi › Fengze,108.5
2019-11-08,93,Stage 1 - Jinjiang › Quanzhou,101.4
2019-08-10,11,Stage 3b - Miercurea Ciuc › Miercurea Ciuc,122.0
2019-08-10,56,Stage 3a (ITT) - Sâncrăieni  › Sâncrăieni ,10.0
2019-08-09,34,Stage 2 - Miercurea Ciuc › Miercurea Ciuc,198.4
2019-08-08,4,Stage 1 - Sfântu Gheorghe › Sfântu Gheorghe,197.3
2019-08-07,58,Prologue - Sfântu Gheorghe › Sfântu Gheorghe,5.5
2019-08-02,15,Stage 4 - Mionica › Požarevac,155.5
2019-08-01,2,Stage 3a - Zlatibor › Zlatibor,58.5
2019-08-01,5,Stage 3b - Mionica › Mionica,95.5
2019-07-31,41,Stage 2 - Jahorina › Priboj,141.3
2019-07-30,59,Stage 1 - Istočno Sarajevo › Istočno Sarajevo,73.2
2019-07-06,73,Stage 5 - Tarnobrzeg › Krosno,177.6
2019-07-05,96,Stage 4 - Skarżysko-Kamienna › Stalowa ,178.0
2019-07-04,48,Stage 3 - Kielce › Radom ,170.7
2019-07-03,15,Stage 2 - Zgierz › Kutno ,148.0
2019-07-02,20,Stage 1 - Łódź  › Sieradz ,213.7
2019-06-30,5,National Championships Serbia - Road Race (NC),133.0
2019-05-31,5,Stage 6 - Pingyao › Taiyuan,100.0
2019-05-30,8,Stage 5 - Guanquelou › Hejin,134.4
2019-05-29,62,Stage 4 - Changzhi › Taihang Baquanxia Scenic Area ,87.2
2019-05-28,4,Stage 3 - Wutaishan › Wutaishan,83.4
2019-05-27,10,Stage 2 - Zuoyun › Datong,126.4
2019-05-26,94,Stage 1 - Taiyuan › Taiyuan,199.0
2019-05-12,35,Visegrad 4 Bicycle Race- GP Slovakia (1.2),155.0
2019-05-05,8,Stage 4 - Gaziantep › Gaziantep,111.0
2019-05-04,53,Stage 3 - Gaziantep › Gaziantep,110.5
2019-05-03,21,Stage 2 - Mardin › Şanlıurfa,178.0
2019-05-02,28,Stage 1 - Mardin › Mardin,178.0
2019-04-27,OTL,Stage 3 - Tarsus › Çamlıyayla,70.0
2019-04-26,59,Stage 2 - Mut › Soloi Pompeiopolis,192.1
2019-04-25,34,Stage 1 - Anamur › Yanisli,118.6
2019-04-21,9,Stage 4 - Prnjavor › Banjaluka,175.0
2019-04-20,21,Stage 3 - Brčko › Teslić,174.0
2019-04-19,22,Stage 2 - Vlasenica › Brčko,151.0
2019-04-18,121,Stage 1 - Beograd › Vlasenica,193.5
2019-04-07,DNF,GP Adria Mobil (1.2),184.2
2018-09-05,14,Stage 3 - Xingtai › Xingtai,150.0
2018-09-04,41,Stage 2 - Xingtai › Lincheng,125.0
2018-09-03,25,Stage 1 - Xingtai › Yegoumen Réservoir,123.0
2018-08-19,27,Stage 5 - Kazincbarcika › Kazincbarcika,128.0
2018-08-18,107,Stage 4 - Karcag › Miskolc,182.0
2018-08-17,37,Stage 3 - Cegléd › Hajdúszoboszló,206.0
2018-08-16,19,Stage 2 - Velence › Székesfehérvár,190.0
2018-08-15,65,Stage 1 - Balatonalmádi › Keszthely,154.0
2018-08-14,18,Prologue - Siófok › Siófok,3.5
2018-07-29,38,GP Kranj (1.2),157.3
2018-07-15,DNF,European Continental Championships U23 - Road Race (CC),140.4
2018-06-27,DNF,Mediterranean Games - Road Race (JR),143.0
2018-06-24,3,National Championships Serbia - Road Race (NC),131.25
2018-06-10,43,Stage 3 - Kostolac (Viminacijum) › Beograd (Avala),113.0
2018-06-09,5,Stage 2 - Banja Vrujci › Požarevac,157.0
2018-06-08,44,Stage 1 - Mionica › Mionica,159.0
2018-06-03,8,Stage 3 - Oradea › Oradea,171.0
2018-06-02,106,Stage 2a - Oradea › Stana de Vale,86.0
2018-06-02,68,Stage 2b (ITT) - Oradea › Oradea,1.9
2018-06-01,6,Stage 1 - Oradea › Oradea,180.0
2018-05-27,DNF,Paris-Roubaix Espoirs (1.2U),188.3
2018-05-20,100,Stage 3 - Hermies › Arras,192.6
2018-05-19,61,Stage 2 - Lens › Liévin,189.6
2018-05-18,7,Stage 1 - Le Cateau-Cambrésis › Villers-lès-Cagnicourt,121.7
2018-05-01,69,Stage 7 - Saint-Pôtan › Dinan,145.0
2018-04-30,34,Stage 6 - Plancoët › Dol-de-Bretagne,151.6
2018-04-29,111,Stage 5 - Colpo › Plancoët,155.7
2018-04-28,106,Stage 4 - Clohars-Carnoët (Le Pouldu) › Grand-Champ,162.7
2018-04-27,116,Stage 3 - Baden › Clohars-Carnoët,181.1
2018-04-26,14,Stage 2 - Louisfert › Plougoumelen,180.0
2018-04-25,9,Stage 1 - Châteaubriant › Louisfert,159.8
2017-09-30,5,Törökbálint GP - Memorial Imre Riczu (1.2),126.0
2017-09-09,5,Stage 3 - Zagora › Plovdiv,98.2
2017-09-08,8,Stage 2 - Ivaylovgrad › Stara Zagora,147.5
2017-09-07,51,Stage 1 - Elena › Ivaylovgrad,223.9
2017-09-05,53,Stage 3 - Svishtov › Elena,120.0
2017-09-04,9,Stage 2a - Troyan › Pleven,66.0
2017-09-04,6,Stage 2b - Pleven › Svishtov,71.0
2017-09-03,21,Stage 1 - Sofia › Troyan ,160.8
2017-08-27,2,Stage 3 - Qili › Qili,138.0
2017-08-26,6,Stage 2 - Qili › Qili,150.0
2017-08-25,2,Stage 1 - Qili › Qili,135.0
2017-08-12,4,Stage 3b - Miercurea Ciuc › Miercurea Ciuc,125.4
2017-08-12,39,Stage 3a (ITT) - Harmaskeresz › Harghita bai,6.2
2017-08-11,8,Stage 2 - Odorheiu Secuies › Miercurea Ciuc,169.3
2017-08-10,17,Stage 1 - Covasna › Odorheiu Secuiesc,160.8
2017-08-09,27,Prologue - Sankt Georg › Sankt Georg,5.33
2017-07-30,DNF,GP Kranj (1.2),157.3
2017-07-02,7,Stage 5 - Jaszbereny › Budapest,112.0
2017-07-01,85,Stage 4 - Karcag › Miskolc,177.0
2017-06-30,17,Stage 3 - Paks › Cegled,178.0
2017-06-29,101,Stage 2 - Velence › Siofok,138.0
2017-06-27,57,Prologue - Szombathely › Szombathely,1.0
2017-06-25,1,National Championships Serbia - Road Race (NC),131.25
2017-06-23,6,National Championships Serbia - ITT (NC),30.0
2017-06-18,5,Stage 3 - Pecinci › Zrenjanin,159.0
2017-06-17,57,Stage 2 - Pozarevac  › Avala ,146.0
2017-06-16,72,Stage 1 -  Pozarevac  ›  Pozarevac ,140.0
2017-06-04,7,Stage 3 - Oradea › Oradea,161.0
2017-06-03,112,Stage 2a - Oradea › Stana de Vale,86.0
2017-06-03,67,Stage 2b (ITT) - Oradea › Oradea,1.9
