date,result ranking,race name,distance
2004-06-27,56,National Championships Netherlands - Road Race (NC) ,216.0
2004-04-10,22,Albert Achterhes Pet Ronde van Drenthe (1.3) ,202.1
2004-06-27,56,National Championships Netherlands - Road Race (NC) ,216.0
2004-04-10,22,Albert Achterhes Pet Ronde van Drenthe (1.3) ,202.1
2003-10-02,4,Omloop van het Houtland Lichtervelde (1.1) ,175.0
2003-09-14,61,Stage 5 - Sittard-Geleen › Schijndel ,186.0
2003-09-13,93,Stage 4 - Valkenburg aan de Geul  › Verviers ,203.0
2003-09-12,37,Stage 3 - Valkenburg aan de Geul  › Valkenburg aan de Geul  ,176.0
2003-09-11,67,Stage 2 - Eindhoven › Nuth ,197.0
2003-09-10,57,Prologue - Veldhoven › Veldhoven ,4.8
2003-08-31,59,Schaal Sels (1.3) ,193.0
2003-08-24,5,Vlaamse Havenpijl (1.2) ,188.0
2003-08-22,86,Groningen - Münster (1.3) ,205.9
2003-08-19,46,GP Stad Zottegem (1.3) ,173.0
2003-08-17,69,Dwars door Gendringen (1.3) ,197.4
2003-06-29,74,National Championships Netherlands - Road Race (NC) ,216.0
2003-06-25,6,Brussel-Ingooigem (1.5) ,183.0
2003-06-07,65,Stage 5b - Montroig del Camp › Reus ,121.9
2003-06-07,68,Stage 5a (ITT) ,
2003-06-06,46,Stage 4 - Tarragona › La Pineda ,149.1
2003-06-05,39,Stage 3 - Cambrils › Cambrils ,157.4
2003-06-04,87,Stage 2 - Alcanar › Salou ,171.5
2003-06-03,41,Stage 1 - Reus › Alcanar ,146.0
2003-05-11,57,Omloop der Kempen (1.5) ,200.0
2003-04-24,53,Veenendaal - Veenendaal (1.2) ,208.5
2003-04-20,71,Rund um Düren (1.5) ,185.0
2003-04-19,2,ZLM Tour om de 'Arjaan de Schipper Trofee' (1.5) ,198.5
2003-04-12,16,Essent Ronde van Drenthe (1.3) ,201.9
2003-04-05,DNF,Hel van het Mergelland (1.5) ,191.0
2003-03-23,78,GP Rudy Dhaenens (1.3) ,188.0
2003-03-19,38,Nokere-Koerse (1.3) ,193.0
2003-03-16,55,Stage 3 (ITT) - Bladel › Bladel ,18.7
2003-03-15,79,Stage 2 - Riemst › Riemst ,207.5
2003-03-14,46,Stage 1 - Bladel › Bladel ,240.0
2003-03-01,94,Beverbeek Classic (1.6) ,153.0
2002-09-16,55,Stage 6 - Nuth › Schijndel ,191.3
2002-09-15,55,Stage 5 - Valkenburg › Verviers ,181.0
2002-09-14,83,Stage 4 (ITT) - Valkenburg › Valkenburg ,10.3
2002-09-13,53,Stage 3 - Valkenburg › Valkenburg ,116.2
2002-09-12,86,Stage 2 - Boxmeer › Sint-Michielsgestel ,207.7
2002-09-11,63,Stage 1 - Eindhoven › Boxmeer ,188.4
2002-09-07,43,Delta Ronde van Midden-Zeeland (1.2) ,199.0
2002-09-03,29,Schaal Sels (1.1) ,198.4
2002-08-18,99,Dwars door Gendringen (1.3) ,197.4
2002-06-30,24,National Championships Netherlands - Road Race (NC) ,213.0
2002-05-26,62,Stage 6 - Tokyo › Tokyo ,155.0
2002-05-25,56,Stage 5 - Utsunomiya › Utsunomiya ,155.0
2002-05-24,52,Stage 4 - Twin Ring Motegi › Twin Ring Motegi ,149.0
2002-05-22,32,Stage 3 - Shuzenji › Shuzenji ,120.0
2002-05-20,53,Stage 2 - Nara › Nara ,146.0
2002-05-19,71,Stage 1 - Osaka › Osaka ,141.0
2002-05-05,49,CSC Classic - GP Aarhus (1.3) ,196.0
2002-04-20,85,ZLM Tour () ,197.0
2002-04-13,47,Essent Ronde van Drenthe (1.3) ,204.0
2002-03-26,DNF,Stage 1 - Lisieux  › Forges-les-Eaux  ,181.0
2002-03-25,129,Prologue - Mondeville  › Mondeville  ,5.6
2002-03-20,56,Nokere-Koerse (1.3) ,193.0
2002-03-17,119,Stage 4 (ITT) - Bladel › Bladel ,18.0
2002-03-17,116,Stage 3 - Riemst › Bladel ,112.0
2002-03-16,80,Stage 2 - Riemst › Riemst ,188.0
2002-03-15,137,Stage 1 - Bladel › Riemst ,185.0
2001-10-16,86,Nationale Sluitingprijs Putte-Kapellen (1.4) ,177.0
2001-09-17,57,Stage 6 - Valkenburg › Schijndel ,173.1
2001-09-16,59,Stage 5 - Valkenburg › Verviers ,182.5
2001-09-15,58,Stage 4 (ITT) - Valkenburg › Valkenburg ,10.3
2001-09-14,23,Stage 3 - Valkenburg › Valkenburg ,91.0
2001-09-13,2,Stage 2 - Maasdriel › Maasdriel ,193.3
2001-09-12,12,Stage 1 - 's-Hertogenbosch  › 's-Hertogenbosch  ,191.1
2001-09-01,43,Stage 6 - Blerick › Landgraaf ,228.0
2001-08-31,56,Stage 5 - Markelo/Goor › Venlo ,192.0
2001-08-30,65,Stage 4 (ITT) - Nordhorn › Denekamp ,23.0
2001-08-30,73,Stage 3 - Nijverdal › Denekamp ,83.0
2001-08-29,79,Stage 2 - Tiel › Nijverdal ,184.0
2001-08-28,81,Stage 1 - Rotterdam › Tilburg ,186.0
2001-08-25,64,OZ Tour Beneden-Maas (1.4) ,188.0
2001-08-22,22,Druivenkoers - Overijse (1.3) ,185.0
2001-08-21,15,GP Stad Zottegem (1.4) ,187.0
2001-07-20,28,Henk Vos Memorial (1.4) ,200.0
2001-05-17,10,De Kustpijl (1.2) ,170.0
2001-05-13,2,ZLM Tour om de 'Arjaan de Schipper Trofee' () ,198.6
2001-04-19,14,Veenendaal - Veenendaal (1.2) ,209.0
2001-04-08,21,Ronde van Noord-Holland (1.4) ,201.0
2000-08-20,59,Dwars door Gendringen (1.4) ,197.4
2000-08-19,28,OZ Tour Beneden-Maas (1.5) ,193.0
2000-08-05,54,Stage 5 - Vordingborg › Frederiksberg ,175.0
2000-08-04,87,Stage 4a - Lalandia › Nakskov ,113.0
2000-08-04,95,Stage 4b (ITT) - Nysted › Nykøbing F ,17.0
2000-08-03,76,Stage 3 - Skanderborg › Faaborg ,185.0
2000-08-02,109,Stage 2 - Ikast › Horsens ,185.0
2000-08-01,84,Stage 1 - Ringkøbing › Viborg ,215.0
2000-05-28,37,Stage 8 - Bedum › Almere ,197.0
2000-05-27,55,Stage 7 (ITT) - Bedum › Bedum ,23.0
2000-05-26,39,Stage 6 - Nieuwleusen › Bedum ,135.0
2000-05-25,66,Stage 5 - Born › Rhenoy ,189.0
2000-05-24,7,Stage 4 - Buchten › Buchten ,185.0
2000-05-23,67,Stage 3 - Rockanje › Ossendrecht ,163.0
2000-05-22,90,Stage 2 - Tilburg › Rockanje ,189.0
2000-05-21,81,Stage 1 - Tilburg › Tilburg ,150.0
2000-05-20,70,Prologue - Tilburg › Tilburg ,6.0
2000-05-13,86,ZLM Tour om de 'Arjaan de Schipper Trofee' () ,200.0
2000-05-06,13,Ronde van Overijssel (1.5) ,202.0
2000-04-24,41,Rund um Köln () ,197.7
2000-04-20,3,Seraing - Aachen - Seraing () ,157.0
2000-03-27,59,Stage 7 - Vire  › Caen ,97.0
2000-03-25,88,Stage 5 - Saint-Hilaire-du-Harcouët  › Condé-sur-Noireau ,177.0
2000-03-24,72,Stage 4 - Flers › Saint-Hilaire-du-Harcouët  ,168.0
2000-03-21,98,Stage 1 - Mondeville  › Méry-Corbon ,212.0
2000-02-20,56,GP Istria () ,143.0
1999-05-22,91,Stage 1 - Oss › Oss ,151.5
1999-05-21,50,Prologue - Oss › Oss ,7.1
1999-05-20,78,Stage 10 - Erfurt › Magdeburg ,169.0
1999-05-19,76,Stage 9 - Rehau › Weimar ,160.0
1999-05-18,51,Stage 8 - Freital › Hof ,240.0
1999-05-17,65,Stage 7 (ITT) - Cottbus › Cottbus ,28.0
1999-05-16,87,Stage 6 - Zagan › Cottbus ,110.0
1999-05-15,71,Stage 5 - Polanica-Zdroj › Polkowice ,220.0
1999-05-14,53,Stage 4 - Opava › Polanica-Zdroj ,190.0
1999-05-13,75,Stage 3 - Luhacovice › Pustevny ,176.9
1999-05-12,67,Stage 2 - Znojmo › Luhacovice ,165.0
1999-05-11,70,Stage 1 - Znojmo › Znojmo ,158.0
