date,result ranking,race name,distance
2015-06-13,5,National Championships Algeria - Road Race (NC) ,134.3
2015-03-28,13,Circuit International de Constantine (1.2) ,95.2
2015-03-27,DNF,Stage 3 - Mila › Constantine ,137.3
2015-03-26,27,Stage 2 - Constantine › Constantine ,134.0
2015-03-25,29,Stage 1 - Constantine › Constantine ,115.0
2015-03-14,33,Stage 3 - Zeralda › Chrea ,114.4
2015-03-13,14,Stage 2 - Tipaza › Blida ,123.8
2015-03-12,33,Stage 1 - Blida › Djbabra ,140.8
2015-03-10,29,Grand Prix de la Ville d'Oran (1.2) ,132.0
2015-03-09,43,Stage 3 - Oran › Santa Cruz ,128.0
2015-03-08,63,Stage 2 - Mostaganem › Oran ,143.0
2015-03-07,11,Stage 1 - Alger › Ain Defla ,128.0
2015-03-06,43,Circuit International d\'Alger (1.2) ,105.0
2015-06-13,5,National Championships Algeria - Road Race (NC) ,134.3
2015-03-28,13,Circuit International de Constantine (1.2) ,95.2
2015-03-27,DNF,Stage 3 - Mila › Constantine ,137.3
2015-03-26,27,Stage 2 - Constantine › Constantine ,134.0
2015-03-25,29,Stage 1 - Constantine › Constantine ,115.0
2015-03-14,33,Stage 3 - Zeralda › Chrea ,114.4
2015-03-13,14,Stage 2 - Tipaza › Blida ,123.8
2015-03-12,33,Stage 1 - Blida › Djbabra ,140.8
2015-03-10,29,Grand Prix de la Ville d'Oran (1.2) ,132.0
2015-03-09,43,Stage 3 - Oran › Santa Cruz ,128.0
2015-03-08,63,Stage 2 - Mostaganem › Oran ,143.0
2015-03-07,11,Stage 1 - Alger › Ain Defla ,128.0
2015-03-06,43,Circuit International d\'Alger (1.2) ,105.0
