date,result ranking,race name,distance
2022-06-25,1,National Championships Puerto Rico - ITT (NC) ,
2022-05-15,47,Campeonato Panamericano de Ruta - Road Race (CC) ,176.0
2021-06-27,2,National Championships Puerto Rico - Road Race (NC),
2021-06-26,2,National Championships Puerto Rico - ITT (NC),
2019-08-11,68,Stage 9 - Baie-Mahault › Abymes,133.0
2019-08-10,97,Stage 8a - Petit-Canal  › Capesterre,86.0
2019-08-10,76,Stage 8b (ITT) - Capesterre › Baie-Mahault,23.8
2019-08-09,13,Stage 7 - Saint-Claude  › Petit-Canal ,154.0
2019-08-08,59,Stage 6 - Sainte-Anne  › Saint-Claude ,126.0
2019-08-07,70,Stage 5 - Sainte-Rose › Sainte-Anne ,149.5
2019-08-06,54,Stage 4 - Bouillante › Sainte-Rose,156.0
2019-08-05,71,Stage 3 - Basse-Terre › Bouillante,153.0
2019-08-04,38,Stage 2 - Petit-Bourg › Basse-Terre,158.0
2019-08-03,68,Stage 1 - Moule › Petit-Bourg,168.3
2019-08-02,82,Prologue - Moule › Moule,1.7
2019-06-30,2,National Championships Puerto Rico - Road Race (NC),129.3
2019-06-23,31,Stage 5 - Saint-Georges › Saint-Georges,122.4
2019-06-22,45,Stage 4 - Québec › Québec,70.0
2019-06-21,74,Stage 3b - Saint-Georges › Notre-Dame-des-Pins,78.0
2019-06-21,80,Stage 3a (ITT) - Saint-Prosper › Saint-Prosper,20.0
2019-06-20,63,Stage 2 - Lac-Mégantic › Lac-Mégantic,169.0
2019-06-19,67,Stage 1 - Saint-Georges  › Saint-Georges ,177.0
2019-06-13,DNF,Stage 1 - Jonquière › Jonquière,143.1
2019-05-27,DNF,Winston Salem Cycling Classic (1.2),144.84
2019-05-19,98,Stage 3 - Huesca › Zaragoza,127.4
2019-05-18,101,Stage 2 - Sadaba › Canfranc,186.2
2019-05-17,75,Stage 1 - Andorra › Calatayud,186.2
2019-04-09,DNF,Stage 5 - Nador › Oujda,154.0
2019-04-08,94,Stage 4 - Al Hoceima › Nador,128.0
2019-04-07,50,Stage 3 - Oued Laou › Al Hoceima,183.0
2019-04-06,98,Stage 2 - Tanger › Martil,140.5
2019-04-05,71,Stage 1 - Souk el Arbaa › Tanger,159.0
2019-03-03,56,Stage 7 - Santiago › Santiago,110.0
2019-03-02,50,Stage 6 - Moca ›  Constanza,130.0
2019-03-01,73,Stage 5 - Monte Plata › San Francisco de Macorís,160.0
2019-02-27,82,Stage 3 - Villa Altagracia › Villa Altagracia,110.0
2019-02-26,106,Stage 2 - Santo Domingo › La Romana,120.0
2019-02-25,61,Stage 1 - Santo Domingo › San Jose de Ocoa,131.6
2018-06-24,1,National Championships Puerto Rico - Road Race (NC),125.3
2018-06-16,1,National Championships Puerto Rico - ITT (NC),30.9
2017-06-25,1,National Championships Puerto Rico - Road Race (NC),135.6
2017-06-17,1,National Championships Puerto Rico U23 - ITT (NC),
2017-05-06,57,Campeonato Panamericano de Ruta U23 - Road Race (CC),140.0
2015-06-26,1,National Championships Dominican Republic U23 - Road Race (NC),20.0
2014-02-26,38,Stage 7 - San Cristóbal › San Juan Maguana,137.0
2014-02-25,55,Stage 6a - La Vega › Santo Domingo,111.0
2014-02-25,76,Stage 6b (ITT) - Santo Domingo › Mirador del Sur,10.0
2014-02-24,73,Stage 5 - Moca › Constanza,112.0
2014-02-23,67,Stage 4 (ITT) - Santiago › Santiago,39.0
2014-02-22,72,Stage 3 - Samaná › San Francisco de Macorís,135.8
2014-02-21,59,Stage 2 - Santo Domingo › Samaná,170.0
2014-02-20,91,Stage 1 - Santo Domingo › Santo Domingo,142.0
2013-07-14,30,Panamerican Championships MJ - Road Race (CC),
2013-07-13,13,Panamerican Championships MJ - ITT (CC),
