date,result ranking,race name,distance
2002-02-12,89,Stage 4 - Albufeira › Portimao ,173.5
2002-02-11,75,Stage 3 - Loule › Albufeira ,171.2
2002-02-10,98,Stage 2 - Castro Marin › Foia ,173.1
2002-02-09,56,Stage 1 - Tavira › Tavira ,173.7
2002-02-12,89,Stage 4 - Albufeira › Portimao ,173.5
2002-02-11,75,Stage 3 - Loule › Albufeira ,171.2
2002-02-10,98,Stage 2 - Castro Marin › Foia ,173.1
2002-02-09,56,Stage 1 - Tavira › Tavira ,173.7
2001-09-22,57,Giro del Lazio (1.HC) ,198.0
2001-09-01,15,Giro del Veneto (1.1) ,196.6
2001-08-26,DNF,Züri Metzgete (CDM) ,248.4
2001-08-05,59,Luk-Cup Bühl (1.3) ,192.0
2001-07-14,7,Stage 4 - Gresten › Hochkar ,144.0
2001-07-13,23,Stage 3 - Rabenstein › Gresten ,170.0
2001-07-12,20,Stage 2 - Traismauer › Rabenstein ,164.0
2001-07-11,20,Stage 1 - Traismauer › Traismauer ,178.0
2001-06-23,66,"Stage 4 - 
 Widnau/Heerbrugg › Col du Gotthard ",220.6
2001-06-22,79,"Stage 3 - 
 Baar › Wildhaus ",144.0
2001-06-21,49,"Stage 2 - 
 Reinach › Baar ",162.7
2001-06-20,35,Stage 1 - Rust › Basel ,178.8
2001-06-19,125,Prologue - Rust › Rust ,7.9
2001-06-17,24,Stage 7 - Mauterndorf › Gröbming ,133.0
2001-06-14,28,Stage 4 - Bad Gastein › Kitzbühler ,154.0
2001-06-13,25,Stage 3 - Schwaz › Bad Hofgastein ,173.0
2001-06-12,33,Stage 2 - Dornbirn › Lermoos ,197.0
2001-06-11,98,Stage 1 - Dornbirn › Dornbirn ,141.0
2001-04-22,DNF,Liège - Bastogne - Liège (CDM) ,258.0
2001-04-11,DNF,Stage 3 - Mungia › Araia ,162.0
2001-04-10,124,Stage 2 - Asteasu › Mungia ,175.0
2001-04-09,72,Stage 1 - Asteasu › Asteasu ,118.0
2001-03-24,22,Milano-Sanremo (CDM) ,287.0
2001-03-21,26,Stage 8 - San Benedetto del Tronto › San Benedetto del Tronto ,161.0
2001-03-20,18,Stage 7 - Fermo › Ortezzano ,223.0
2001-03-19,28,Stage 6 - Torre San Patrizio › Monte San Pietrangeli ,136.0
2001-03-17,48,Stage 4 - Isernia › Celano ,170.0
2001-03-16,12,Stage 3 - Benevento › Santuario di Castelpetroso ,156.0
