date,result ranking,race name,distance
1993-06-10,9,Stage 18 - Sampeyre › Fossano ,150.0
1993-06-01,9,Stage 9 - Montelibretti › Fabriano ,219.0
1993-05-26,18,Stage 4 - Lago di Scanno › Marcianise ,179.0
1993-05-01,44,Rund um den Henninger Turm () ,209.0
1993-04-04,99,Ronde van Vlaanderen / Tour des Flandres (CDM) ,263.0
1993-03-27,92,E3-Prijs Harelbeke () ,208.0
1993-03-20,154,Milano-Sanremo (CDM) ,297.0
1993-06-10,9,Stage 18 - Sampeyre › Fossano ,150.0
1993-06-01,9,Stage 9 - Montelibretti › Fabriano ,219.0
1993-05-26,18,Stage 4 - Lago di Scanno › Marcianise ,179.0
1993-05-01,44,Rund um den Henninger Turm () ,209.0
1993-04-04,99,Ronde van Vlaanderen / Tour des Flandres (CDM) ,263.0
1993-03-27,92,E3-Prijs Harelbeke () ,208.0
1993-03-20,154,Milano-Sanremo (CDM) ,297.0
1992-10-15,66,Gran Piemonte () ,194.0
1992-10-11,28,Paris - Tours (CDM) ,286.5
1992-07-11,DNF,Stage 7 - Brussel › Valkenburg ,196.5
1992-07-10,190,Stage 6 - Roubaix › Brussel ,167.0
1992-07-09,92,Stage 5 - Nogent-sur-Oise › Wasquehal ,196.0
1992-07-08,10,Stage 4 (TTT) - Libourne › Libourne ,63.5
1992-07-07,65,Stage 3 - Pau › Bordeaux ,218.0
1992-07-06,85,Stage 2 - San Sebastian › Pau ,255.0
1992-07-05,180,Stage 1 - San Sebastian › San Sebastian ,194.5
1992-07-04,41,Prologue - San Sebastian › San Sebastian ,8.0
1992-04-25,64,Amstel Gold Race (CDM) ,247.5
1992-04-22,21,Scheldeprijs () ,204.0
1992-03-21,117,Milano-Sanremo (CDM) ,294.0
1992-02-04,56,Grand Prix d'Ouverture La Marseillaise () ,134.0
1991-10-13,166,Paris - Tours (CDM) ,286.0
1991-08-25,49,World Championships - Road Race (WC) ,252.8
1991-08-21,19,Druivenkoers - Overijse () ,204.0
1991-08-18,8,Zuri Metzgete (CDM) ,240.0
1991-08-10,149,Clasica Ciclista San Sebastian (CDM) ,238.0
1991-08-04,71,Wincanton Classic (CDM) ,234.5
1991-07-15,OTL,Stage 10 - Rennes › Quimper ,207.5
1991-07-14,68,Stage 9 - Alençon › Rennes ,161.0
1991-07-13,132,Stage 8 (ITT) - Argentan › Alençon ,73.0
1991-07-12,31,Stage 7 - Le Havre › Argentan ,196.5
1991-07-11,85,Stage 6 - Arras › Le Havre ,259.0
1991-07-10,12,Stage 5 - Reims › Valenciennes ,149.5
1991-07-09,70,Stage 4 - Dijon › Reims ,286.0
1991-07-08,48,Stage 3 - Villeurbanne › Dijon ,210.5
1991-07-07,4,Stage 2 (TTT) - Bron › Chassieu ,36.5
1991-07-07,58,Stage 1 - Lyon › Lyon ,114.5
1991-07-06,70,Prologue - Lyon › Lyon ,5.4
1991-07-05,1,National Championships Germany - Road Race (NC) ,
1991-03-23,90,Milano-Sanremo (CDM) ,294.0
