date,result ranking,race name,distance
2004-08-22,14.0,Gran Premio Ciudad de Vigo (1.5) ,120.0
2004-08-02,75.0,Stage 5 - Santo Tirso › Fafe ,138.2
2004-08-01,84.0,Stage 4 - Viseu › Mondim (Sra. Graça) ,160.8
2004-07-31,52.0,Stage 3 - Batalha › Viseu ,209.0
2004-07-30,14.0,Stage 2 - Castelo Branco › Cartaxo ,187.7
2004-07-29,98.0,Stage 1 - Termas de Monfortinho › Castelo Branco ,190.6
2004-06-20,47.0,Stage 5a - Polanco › Santander ,134.0
2004-06-20,86.0,Stage 5b (ITT) - Maliaño  › Alto de Churi ,9.0
2004-06-19,65.0,Stage 4 - Agua de Solares › Torrelavega ,157.5
2004-06-16,20.0,Stage 1 - Santander › El Astillero ,153.8
2004-05-30,68.0,Stage 5 (ITT) - Redondo › Adega Co.Redondo ,25.3
2004-05-29,7.0,Stage 4 - Estremoz › Elvas ,150.7
2004-05-28,77.0,Stage 3 - Alter Do Chao › Portalegre ,131.8
2004-05-27,14.0,Stage 2 - Viana Do Alentejo › Mora ,176.6
2004-05-26,26.0,Stage 1 - Beja › Beja ,181.5
2004-05-15,16.0,Stage 4 - Valdemoro › Valdemoro ,150.7
2004-04-22,20.0,Stage 1 - Torres Vedras › Torres Vedras ,160.2
2004-03-12,10.0,Stage 2 - Caldas da Rainha › Bombarral ,144.7
2004-03-11,8.0,Stage 1 - Torres Vedras › Caldas da Rainha ,148.8
2004-02-21,108.0,Stage 4 (ITT) - Vila Real de Santo António › Tavira ,24.0
2004-02-20,99.0,Stage 3 - Lagoa  › Lagos ,180.0
2004-02-19,14.0,Stage 2 - Castro Marim › Portimão ,182.0
2004-02-18,29.0,Stage 1 - Albufeira › Albufeira ,145.0
2004-08-22,14.0,Gran Premio Ciudad de Vigo (1.5) ,120.0
2004-08-02,75.0,Stage 5 - Santo Tirso › Fafe ,138.2
2004-08-01,84.0,Stage 4 - Viseu › Mondim (Sra. Graça) ,160.8
2004-07-31,52.0,Stage 3 - Batalha › Viseu ,209.0
2004-07-30,14.0,Stage 2 - Castelo Branco › Cartaxo ,187.7
2004-07-29,98.0,Stage 1 - Termas de Monfortinho › Castelo Branco ,190.6
2004-06-20,47.0,Stage 5a - Polanco › Santander ,134.0
2004-06-20,86.0,Stage 5b (ITT) - Maliaño  › Alto de Churi ,9.0
2004-06-19,65.0,Stage 4 - Agua de Solares › Torrelavega ,157.5
2004-06-16,20.0,Stage 1 - Santander › El Astillero ,153.8
2004-05-30,68.0,Stage 5 (ITT) - Redondo › Adega Co.Redondo ,25.3
2004-05-29,7.0,Stage 4 - Estremoz › Elvas ,150.7
2004-05-28,77.0,Stage 3 - Alter Do Chao › Portalegre ,131.8
2004-05-27,14.0,Stage 2 - Viana Do Alentejo › Mora ,176.6
2004-05-26,26.0,Stage 1 - Beja › Beja ,181.5
2004-05-15,16.0,Stage 4 - Valdemoro › Valdemoro ,150.7
2004-04-22,20.0,Stage 1 - Torres Vedras › Torres Vedras ,160.2
2004-03-12,10.0,Stage 2 - Caldas da Rainha › Bombarral ,144.7
2004-03-11,8.0,Stage 1 - Torres Vedras › Caldas da Rainha ,148.8
2004-02-21,108.0,Stage 4 (ITT) - Vila Real de Santo António › Tavira ,24.0
2004-02-20,99.0,Stage 3 - Lagoa  › Lagos ,180.0
2004-02-19,14.0,Stage 2 - Castro Marim › Portimão ,182.0
2004-02-18,29.0,Stage 1 - Albufeira › Albufeira ,145.0
2003-06-18,2.0,Stage 1 - Santander › El Astillero ,154.0
2003-06-07,45.0,Stage 5b - Montroig del Camp › Reus ,121.9
2003-06-07,51.0,Stage 5a (ITT) ,
2003-06-06,42.0,Stage 4 - Tarragona › La Pineda ,149.1
2003-06-05,1.0,Stage 3 - Cambrils › Cambrils ,157.4
2003-06-04,2.0,Stage 2 - Alcanar › Salou ,171.5
2003-06-03,60.0,Stage 1 - Reus › Alcanar ,146.0
2003-05-24,31.0,Clasica Internacional 'Txuma' (1.6) ,170.0
2003-05-10,29.0,Stage 5 - San Andrés del Rabanedo › León ,155.0
2003-05-09,30.0,Stage 4 - Valdepiélagos › Boñar ,160.6
2003-05-08,24.0,Stage 3 - Bembibre › Villablino ,145.0
2003-05-07,22.0,Stage 2 - Cistierna › Cistierna ,146.8
2003-05-06,4.0,Stage 1 - Valencia de Don Juan › Valencia de Don Juan ,146.3
2003-04-27,38.0,Stage 5 - Moraleja › Hoyos ,147.0
2003-04-26,3.0,Stage 4 - Merida › Malpartida de Caceres ,146.0
2003-04-25,4.0,Stage 3 - Badajoz › Badajoz ,151.0
2003-04-24,89.0,Stage 2 - Almendralejo › Campo Maior ,114.0
2003-04-23,6.0,Stage 1b - Don Benito › Almendralejo ,148.6
2003-04-23,3.0,Stage 1a (TTT) - Don Benito › Don Benito ,6.4
2002-08-11,5.0,Stage 5 - León › León ,138.5
2002-08-10,1.0,Stage 4 - Villablino › Villablino ,131.4
2002-08-07,1.0,Stage 1 - Santa María del Páramo ›  ,123.3
2002-06-26,3.0,Stage 9 - Potes › Santander ,152.0
2002-06-24,5.0,Stage 7 (ITT) - Puente Viesgo › Puente Viesgo ,1.6
2002-06-20,3.0,Stage 3 - Laredo ›  ,149.7
2002-06-18,1.0,Stage 1 - Santander › Torrelavega ,144.0
2002-05-25,8.0,Memorial Jesús María Olagüe 'Txuma' (1.6) ,
2001-10-07,10.0,Memorial Manuel Galera (1.4) ,165.0
1999-10-03,35.0,Galera Memorial () ,
