date,result ranking,race name,distance
2014-06-21,OTL,Stage 3 - Morillon › Châtel ,88.0
2014-06-20,61,Stage 2 - Chambéry › Passy Plateau d'Assy ,146.0
2014-06-19,84,Stage 1 - Saint-Michel-de-Maurienne › Valmeinier ,124.3
2014-05-15,DNF,Stage 1 - Eclose-Badinières › Meyrie ,152.9
2014-05-10,16,Berner Rundfahrt / Tour de Berne (1.2) ,169.75
2014-06-21,OTL,Stage 3 - Morillon › Châtel ,88.0
2014-06-20,61,Stage 2 - Chambéry › Passy Plateau d'Assy ,146.0
2014-06-19,84,Stage 1 - Saint-Michel-de-Maurienne › Valmeinier ,124.3
2014-05-15,DNF,Stage 1 - Eclose-Badinières › Meyrie ,152.9
2014-05-10,16,Berner Rundfahrt / Tour de Berne (1.2) ,169.75
2013-07-28,12,Stage 6 - Ribeauvillé › Cernay ,139.6
2013-07-27,31,Stage 5 - Sélestat › Le Markstein ,176.4
2013-07-26,12,Stage 4 - Dannemarie › Colmar ,164.6
2013-07-25,22,Stage 3 - Strasbourg › Bischoffsheim ,153.8
2013-07-24,109,Stage 2 - Mulhouse › Huningue ,157.6
2013-07-23,79,Stage 1 - Ungersheim › Sausheim ,118.8
2013-06-16,DNF,Stage 4 - Saint-Michel-de-Maurienne › La Toussuire ,100.4
2013-06-15,35,Stage 3 - Thorens-Glières › Valmeinier ,162.3
2013-06-14,15,Stage 2 - Chambéry › Faucigny-Glières ,146.9
2013-06-13,18,Stage 1 - Châtel › Passy ,133.6
2013-05-12,31,Stage 4 - Charvieu-Chavagneux › Charvieu-Chavagneux ,158.6
2013-05-11,9,Stage 3 - Saint-Maurice l'Exil › Toussieu ,178.6
2013-05-10,20,Stage 2 - Villefontaine › Saint-Maurice l'Exil ,158.7
2013-05-09,20,Stage 1 - Les Eparres-Bourgoin › Jallieu ,150.7
2013-05-04,25,Berner Rundfahrt / Tour de Berne (1.2) ,169.75
2013-04-07,53,Stage 4 - Les Mazures › Tournes ,104.0
2013-04-07,21,Stage 3 (TTT) - Charleville-Mézières › Charleville-Mézières ,22.5
2013-04-06,21,Stage 2 - Givet › Haybes ,179.0
2013-04-05,26,Stage 1 - Juniville › Tagnon ,162.0
2012-08-19,31,National Championships France U23 - Road Race (NC) ,170.5
2012-07-20,DNF,Stage 4 - Antey-Saint-André › Antey-Saint-André ,166.2
2012-07-19,99,Stage 3 - Quincinetto  › Tavagnasco ,138.8
2012-07-18,94,Stage 2 - Issogne  › Champdepraz  ,160.0
2012-07-17,52,Stage 1 - Arvier › Arvier ,133.0
2012-07-16,86,Prologue - Bard › Bard ,3.4
