date,result ranking,race name,distance
1998-08-08,56,Clasica Ciclista San Sebastian (CDM) ,232.0
1998-07-30,DNS,Stage 18 - Aix-les-Bains › Neuchâtel ,218.0
1998-07-28,45,Stage 16 - Vizille › Albertville ,204.0
1998-07-27,51,Stage 15 - Grenoble › Les Deux Alpes ,189.0
1998-07-26,107,Stage 14 - Valréas › Grenoble ,185.0
1998-07-25,27,Stage 13 - Frontignan-La-Peyrade › Carpentras ,191.0
1998-07-24,75,Stage 12 - Tarascon-sur-Ariège › Cap d'Agde ,206.0
1998-07-22,72,Stage 11 - Luchon › Plateau de Beille ,170.0
1998-07-21,76,Stage 10 - Pau › Luchon ,196.5
1998-07-20,112,Stage 9 - Montauban › Pau ,210.0
1998-07-19,100,Stage 8 - Brive-La-Gaillarde › Montauban ,189.0
1998-07-18,76,Stage 7 (ITT) - Merygnac l'Eglise › Correze ,58.0
1998-07-17,119,Stage 6 - La Chatre › Brive-la-Gaillarde ,210.0
1998-07-16,151,Stage 5 - Cholet › Chateauroux ,227.0
1998-07-15,133,Stage 4 - Plouay › Cholet ,252.0
1998-07-14,77,Stage 3 - Roscoff › Lorient ,167.0
1998-07-13,134,Stage 2 - Enniscorthy › Cork ,205.5
1998-07-12,134,Stage 1 - Dublin › Dublin ,180.0
1998-07-11,139,Prologue - Dublin › Dublin ,5.6
1998-06-24,34,Stage 7 - Vall de Boí › Andorra (Ordino-Arcalis) ,231.7
1998-06-23,28,Stage 6 - Tarrega › Vall de Boí ,180.4
1998-06-22,24,Stage 5 (ITT) - Gerona › Gerona ,18.0
1998-06-21,74,Stage 4 - Manlleu › Manlleu ,197.5
1998-06-20,75,Stage 3 - El Vendrell › Barcelona ,151.3
1998-06-19,69,Stage 2 - Vilaseca › El Vendrell ,172.7
1998-06-18,111,Stage 1A - Vilaseca › La Pineda ,79.2
1998-06-18,87,Stage 1B (ITT) - Vilaseca › La Pineda ,7.8
1998-06-14,33,Stage 7 - Megève  › Megève  ,144.0
1998-06-13,71,Stage 6 - Challes-les-Eaux  › Megève ,161.0
1998-06-12,43,Stage 5 - Crest › Grenoble ,160.0
