date,result ranking,race name,distance
1995-07-23,114,Stage 20 - Sainte Geneviève des Bois › Paris ,150.0
1995-07-22,107,Stage 19 (ITT) - Lac de Vassivière › Lac de Vassivière ,46.0
1995-07-21,112,Stage 18 - Montpon-Ménestérol › Limoges ,154.0
1995-07-20,106,Stage 17 - Pau › Bordeaux ,210.0
1995-07-18,116,Stage 15 - Saint Girons › Cauterets ,207.0
1995-07-16,109,Stage 14 - Saint Orens de Gameville › Guzet-Neige ,159.0
1995-07-15,21,Stage 13 - Mendé › Revel ,223.0
1995-07-14,79,Stage 12 - Saint-Etienne › Mendé ,223.0
1995-07-13,64,Stage 11 - Bourg d'Oisans › Saint-Etienne ,198.0
1995-07-12,71,Stage 10 - Aime › L'Alpe d'Huez ,159.0
1995-07-11,123,Stage 9 - Le Grand Bornand › La Plagne ,166.0
1995-07-09,141,Stage 8 (ITT) - Huy › Séraing ,54.0
1995-07-08,154,Stage 7 - Charleroi › Liège ,200.0
1995-07-07,92,Stage 6 - Dunkirk › Charleroi ,191.0
1995-07-06,105,Stage 5 - Fécamp › Dunkirk ,264.0
1995-07-05,90,Stage 4 - Alençon › Le Havre ,154.0
1995-07-04,11,Stage 3 (TTT) - Mayenne › Alençon ,64.0
1995-07-03,149,Stage 2 - Perros Guirec › Vitré ,241.0
1995-07-02,106,Stage 1 - Dinan › Lannion ,228.0
1995-07-01,177,Prologue - Saint-Brieuc › Saint-Brieuc ,7.3
1995-06-17,25,GP Industria & Commercio di Prato (1.1) ,192.0
1995-06-01,8,Stage 19 - Mondovì › Chianale ,130.0
1995-05-23,9,Stage 3 - Murguía › Deba ,178.1
1995-05-15,66,Stage 3 - Spoleto › Marotta ,161.0
1995-05-13,146,Stage 1 - Perugia › Terni ,205.0
1995-05-01,86,Rund um den Henninger Turm (CDM) ,252.0
1995-04-09,82,Paris - Roubaix (CDM) ,266.0
1995-04-07,34,Grand Prix Cerami () ,194.0
1995-03-22,78,Dwars door België / À travers la Belgique () ,210.0
1995-07-23,114,Stage 20 - Sainte Geneviève des Bois › Paris ,150.0
1995-07-22,107,Stage 19 (ITT) - Lac de Vassivière › Lac de Vassivière ,46.0
1995-07-21,112,Stage 18 - Montpon-Ménestérol › Limoges ,154.0
1995-07-20,106,Stage 17 - Pau › Bordeaux ,210.0
1995-07-18,116,Stage 15 - Saint Girons › Cauterets ,207.0
1995-07-16,109,Stage 14 - Saint Orens de Gameville › Guzet-Neige ,159.0
1995-07-15,21,Stage 13 - Mendé › Revel ,223.0
1995-07-14,79,Stage 12 - Saint-Etienne › Mendé ,223.0
1995-07-13,64,Stage 11 - Bourg d'Oisans › Saint-Etienne ,198.0
1995-07-12,71,Stage 10 - Aime › L'Alpe d'Huez ,159.0
1995-07-11,123,Stage 9 - Le Grand Bornand › La Plagne ,166.0
1995-07-09,141,Stage 8 (ITT) - Huy › Séraing ,54.0
1995-07-08,154,Stage 7 - Charleroi › Liège ,200.0
1995-07-07,92,Stage 6 - Dunkirk › Charleroi ,191.0
1995-07-06,105,Stage 5 - Fécamp › Dunkirk ,264.0
1995-07-05,90,Stage 4 - Alençon › Le Havre ,154.0
1995-07-04,11,Stage 3 (TTT) - Mayenne › Alençon ,64.0
1995-07-03,149,Stage 2 - Perros Guirec › Vitré ,241.0
1995-07-02,106,Stage 1 - Dinan › Lannion ,228.0
1995-07-01,177,Prologue - Saint-Brieuc › Saint-Brieuc ,7.3
1995-06-17,25,GP Industria & Commercio di Prato (1.1) ,192.0
1995-06-01,8,Stage 19 - Mondovì › Chianale ,130.0
1995-05-23,9,Stage 3 - Murguía › Deba ,178.1
1995-05-15,66,Stage 3 - Spoleto › Marotta ,161.0
1995-05-13,146,Stage 1 - Perugia › Terni ,205.0
1995-05-01,86,Rund um den Henninger Turm (CDM) ,252.0
1995-04-09,82,Paris - Roubaix (CDM) ,266.0
1995-04-07,34,Grand Prix Cerami () ,194.0
1995-03-22,78,Dwars door België / À travers la Belgique () ,210.0
1994-10-15,25,Firenze - Pistoia () ,33.0
1994-10-02,168,Paris - Tours (CDM) ,250.0
1994-08-14,46,Wincanton Classic (CDM) ,231.0
1994-08-06,96,Clasica Ciclista San Sebastian (CDM) ,238.0
1994-07-31,13,Trofeo Matteotti () ,203.0
1994-07-24,46,Stage 21 - Disneyland-Paris › Paris ,175.0
1994-07-23,33,Stage 20 - Morzine-Avoriaz › Lac Saint Point-Malbuisson ,208.5
1994-07-22,15,Stage 19 (ITT) - Cluses › Avoriaz ,47.5
1994-07-21,69,Stage 18 - Moutiers › Cluses ,174.5
1994-07-20,41,Stage 17 - Bourg D'oisans › Val Thorens ,149.0
1994-07-19,5,Stage 16 - Valréas › L'alpe D'huez ,224.5
1994-07-18,103,Stage 15 - Montpellier › Carpentras ,231.0
1994-07-17,122,Stage 14 - Castres › Montpellier ,202.0
1994-07-16,16,Stage 13 - Bagnères De Bigorre › Albi ,223.0
1994-07-15,79,Stage 12 - Lourdes › Luz Ardiden ,204.5
1994-07-13,103,Stage 11 - Cahors › Hautacam ,263.5
1994-07-12,144,Stage 10 - Bergerac › Cahors ,160.5
1994-07-11,93,Stage 9 (ITT) - Périgueux › Bergerac ,64.0
1994-07-10,73,Stage 8 - Poitiers › Trélissac ,218.5
1994-07-09,64,Stage 7 - Rennes › Futuroscope ,259.5
1994-07-08,167,Stage 6 - Cherbourg › Rennes ,270.5
1994-07-07,132,Stage 5 - Portsmouth › Portsmouth ,187.0
1994-07-06,19,Stage 4 - Dover › Brighton ,204.5
1994-07-05,16,Stage 3 (TTT) - Calais › Eurotunnel ,66.5
1994-07-04,21,Stage 2 - Roubaix › Boulogne-Sur-Mer ,203.5
1994-07-03,131,Stage 1 - Lille-Euralille › Armentières ,234.0
1994-07-02,121,Prologue - Lille-Euralille › Lille-Euralille ,7.2
1994-06-26,19,National Championships Italy - Road Race (NC) ,244.8
1994-06-07,5,Stage 17 - Santa Maria della Versa › Lavagna ,200.0
1994-05-15,18,Giro di Toscana () ,202.0
1994-05-01,28,GP Industria & Artigianato () ,210.0
1994-04-25,27,Giro dell'Appennino () ,209.0
1994-04-06,106,Gent - Wevelgem () ,210.0
1993-10-03,1,Stage 3 - Cerignola › Crispiano ,187.0
1993-08-29,29,World Championships - Road Race (WC) ,257.6
1993-08-22,71,Zuri Metzgete (CDM) ,239.2
1993-08-17,30,Coppa Agostoni () ,206.5
1993-08-11,2,G.P. Camaiore () ,209.0
1993-08-07,21,Clasica Ciclista San Sebastian (CDM) ,238.0
1993-07-26,24,Stage 20 - Viry-Châtillon  › Paris ,196.5
1993-07-25,20,Stage 19 (ITT) - Brétigny-Sur-Orge  › Montlhéry ,48.0
