date,result ranking,race name,distance
2021-06-20,6,National Championships Georgia - Road Race (NC) ,
2021-06-19,6,National Championships Georgia - ITT (NC) ,
2021-06-20,6,National Championships Georgia - Road Race (NC),
2021-06-19,6,National Championships Georgia - ITT (NC),
2019-06-30,4,National Championships Georgia - Road Race (NC),
2019-06-29,5,National Championships Georgia - ITT (NC),
2019-05-18,DNF,Stage 2 - Rize › Giresun,208.0
2019-05-17,40,Stage 1 - Rize › Rize,120.0
2018-07-01,4,National Championships Georgia - Road Race (NC),
2018-06-29,4,National Championships Georgia - ITT (NC),
2018-02-18,DNF,Grand Prix Alanya (1.2),175.0
