date,result ranking,race name,distance
2006-06-15,DNF,Stage 3 - St-Georges › Mont-Mégentic ,153.0
2006-06-14,111,Stage 2 - Saint-Joseph › Saint-Joseph ,180.0
2006-06-13,101,Stage 1 - Lac-Etchemin › Lac-Etchemin ,155.0
2006-06-11,17,Wachovia Cycling Series - Philadelphia (1.HC) ,231.7
2006-06-08,96,Reading Classic (1.1) ,120.7
2006-06-04,DNF,Wachovia Cycling Series - Lancaster (1.1) ,147.0
2006-03-26,23,Commonwealth Games - Road Race (JR) ,166.0
2006-06-15,DNF,Stage 3 - St-Georges › Mont-Mégentic ,153.0
2006-06-14,111,Stage 2 - Saint-Joseph › Saint-Joseph ,180.0
2006-06-13,101,Stage 1 - Lac-Etchemin › Lac-Etchemin ,155.0
2006-06-11,17,Wachovia Cycling Series - Philadelphia (1.HC) ,231.7
2006-06-08,96,Reading Classic (1.1) ,120.7
2006-06-04,DNF,Wachovia Cycling Series - Lancaster (1.1) ,147.0
2006-03-26,23,Commonwealth Games - Road Race (JR) ,166.0
2005-11-12,12,Stage 10 - Winton › Invercargill ,78.6
2005-11-12,15,Stage 9 - Te Anau › Lumsden ,80.0
2005-11-11,15,Stage 8 - Winton › Te Anau ,163.6
2005-11-10,25,Stage 7 - Riversdale › Invercargill ,133.0
2005-11-10,22,Stage 6 (ITT) - Balfour › Riversdale ,15.0
2005-11-09,11,Stage 5 - Lumsden › Crown Range ,132.8
2005-11-08,4,Stage 4 - Tuatapere › Winton ,88.0
2005-11-08,15,Stage 3 - Invercargill › Tuatapere ,103.0
2005-11-07,3,Stage 2 - Invercargill › Bluff ,81.0
2005-11-07,1,Stage 1 (TTT) - Invercargill › Invercargill ,8.3
2005-10-23,2,National Championships New Zealand - Road Race (NC) ,175.0
2005-10-20,4,National Championships New Zealand - ITT (NC) ,40.0
2005-10-15,71,Stage 7 - Melbourne › Melbourne ,
2005-10-14,14,Stage 6 (ITT) - Monbulk › Mt Dandenong ,11.0
2005-10-13,79,Stage 5 - Healesville › Healesville ,140.9
2005-10-12,32,Stage 4 - Mitchelton Winery › Marysville ,172.6
2005-10-11,15,Stage 3 - Bendigo › Shepparton ,153.0
2005-10-10,24,Stage 2 - Bendigo › Bendigo ,150.9
2005-10-09,5,Stage 1 (TTT) - Williamstown › Williamstown ,9.6
2005-09-04,5,Barclay's Global Investors Grand Prix (1.HC) ,174.0
2005-06-02,119,Wachovia Classic (1.1) ,147.0
2005-05-31,32,Wachovia Invitational (1.1) ,147.0
2005-04-23,DNF,Stage 5 - Gainesville › Brasstown Bald Mountain ,182.4
2005-04-22,OTL,Stage 4 - Dalton › Dahlonega ,214.7
2005-04-21,39,Stage 3 (ITT) - Rome › Rome ,29.9
2005-04-20,10,Stage 2 - Fayetteville › Rome ,197.5
2005-04-19,14,Stage 1 - Augusta › Macon ,207.4
2005-04-03,DNF,Stage 3 - Redlands › Redlands ,99.5
2005-04-02,122,Stage 2 - Redlands › Redlands ,66.0
2005-04-01,30,Stage 1 - Redlands › Oak Glen ,172.3
