date,result ranking,race name,distance
2015-06-26,DNF,National Championships South Korea - Road Race (NC) ,112.0
2015-06-26,DNF,National Championships South Korea - Road Race (NC) ,112.0
2014-06-27,DNF,National Championships South Korea - Road Race (NC) ,156.8
2011-09-12,DNF,Stage 3 - Baoji › Fengxian ,112.0
2011-09-11,106,Stage 2 - Xi'an › Baoji ,180.7
2011-09-10,103,Stage 1 - Xi'an › Xi'an ,129.0
2011-09-09,125,Prologue - Xi'an › Xi'an ,5.5
2011-04-24,59,Stage 9 - Seoul › Seoul ,47.7
2011-04-22,72,Stage 7 - Taebaek › Yangyang ,192.5
2011-04-20,69,Stage 6 - Chungju › Yeongju ,138.8
2011-04-19,81,Stage 5 - Dangjin › Chungju ,148.5
2011-04-18,65,Stage 4 - Gunsang › Danjin ,137.8
2011-04-17,70,Stage 3 - Gangjin › Gunsan ,203.3
2011-04-16,95,Stage 2 - Geochang › Gangjin ,213.3
2011-04-15,75,Stage 1 - Kumi › Seoul ,108.1
2010-05-02,73,Stage 10 - Seoul › Seoul ,49.2
2010-05-02,DNF,Stage 10 - Seoul › Seoul ,49.2
2010-05-01,40,Stage 9 - Yangyang › Chuncheon ,145.5
2010-05-01,DNF,Stage 9 - Yangyang › Chuncheon ,145.5
2010-04-30,20,Stage 8 - Yeongju › Yangyang ,225.2
2010-04-30,61,Stage 8 - Yeongju › Yangyang ,225.2
2010-04-28,30,Stage 7 - Gumi › Yeongju ,144.0
2010-04-28,52,Stage 7 - Gumi › Yeongju ,144.0
2010-04-27,68,Stage 6 - Chungju › Gumi ,53.2
2010-04-27,77,Stage 6 - Chungju › Gumi ,53.2
2010-04-26,17,Stage 5 - Dangjin › Ochang ,84.0
2010-04-26,86,Stage 5 - Dangjin › Ochang ,84.0
2010-04-25,86,Stage 4 - Gunsan › Dangjin ,149.7
2010-04-25,90,Stage 4 - Gunsan › Dangjin ,149.7
2010-04-24,18,Stage 3 - Yeosu › Gunsan ,219.0
2010-04-24,86,Stage 3 - Yeosu › Gunsan ,219.0
2010-04-23,12,Stage 2 - Gangjin › Yeosu ,138.6
2010-04-23,76,Stage 2 - Gangjin › Yeosu ,138.6
2010-04-22,26,Stage 1 - Seogwipo  › Jeju ,177.7
2010-04-22,38,Stage 1 - Seogwipo  › Jeju ,177.7
2009-11-19,95,Stage 9 - Sanya Circuit ›  ,84.0
2009-11-18,100,Stage 8 - Dongfang › Sanya ,185.0
2009-11-17,109,Stage 7 - Danzhou › Dongfang ,187.6
2009-11-16,87,Stage 6 - Chengmai › Danzhou ,181.4
2009-11-15,103,Stage 5 - Haikou › Chengmai ,159.3
2009-11-14,112,Stage 4 - Wenchang › Haikou ,162.0
2009-11-13,110,Stage 3 - Xinglong › Wenchang ,155.1
2009-11-12,117,Stage 2 - Baoting › Xinglong ,184.0
2009-11-11,118,Stage 1 - Sanya › Baoting ,128.6
2009-05-24,67,Stage 7 - Tokyo › Tokyo ,109.7
2009-05-23,63,Stage 6 - Izu › Izu ,95.9
2009-05-22,68,Stage 5 - Mount Fuji › Mount Fuji ,11.4
2009-05-20,58,Stage 4 - Minami › Minami ,148.0
2009-05-19,46,Stage 3 - Mino › Mino ,155.7
2009-05-18,51,Stage 2 - Nara › Nara ,121.2
2009-05-17,51,Stage 1 - Sakai › Sakai ,102.6
2009-04-09,17,Stage 5 - Loei › Na Kha ,185.9
2009-04-04,18,Stage 1 - Nong Khai › Nong Khai ,187.7
2009-02-13,52,Stage 5 - Petaling Jaya › Genting Highlands ,102.0
2009-02-12,92,Stage 4 - Melaka › Bangi ,221.0
2009-02-11,101,Stage 3 - Melaka › Melaka ,186.0
2009-02-10,64,Stage 2 - Senawang › Melaka ,160.9
2009-02-09,101,Stage 1 - Putrajaya › Senawang ,133.8
2008-05-24,DNF,Stage 7 - Hibiya City › Hibiya City ,148.9
2008-05-23,67,Stage 6 - Shuzeni › Shuzeni ,112.5
2008-05-22,61,Stage 5 (ITT) - Subashiri › Mount Fuji ,11.4
2008-05-21,51,Stage 4 - Shimohisakata › Shimohisakata ,155.3
2008-05-20,63,Stage 3 - Mino Washi Paper Museum › Mino Washi Paper Museum ,164.7
2008-05-19,53,Stage 2 - Dalbutsude › Nunome Dam ,146.2
2008-05-18,47,Stage 1 - Senbokou › Senbokou ,140.8
2008-03-16,DNF,Stage 8 - Taipei › Taipei ,60.0
2008-03-15,75,Stage 7 - Taipei › Taipei ,58.0
2008-03-14,82,Stage 6 - Taipei › Taipei ,127.7
2008-03-13,86,Stage 5 - Hsinchu › Hsinchu ,148.3
2008-03-12,81,Stage 4 - Taichung › Taichung ,88.0
2008-03-11,37,Stage 3 - Baguashan › Baguashan ,133.9
2008-03-10,90,Stage 2 - Pingtung › Pingtung ,111.2
2008-03-09,91,Stage 1 - Kaohsiung › Kaohsiung ,88.0
2008-02-17,104,Stage 9 - Kuala Lumpur  › Kuala Lumpur ,80.0
2008-02-16,50,Stage 8 -  Temerloh ›  Bukit Fraser ,127.0
2008-02-15,111,Stage 7 -  Kuala Rompin ›  Kuantan ,127.0
2008-02-14,13,Stage 6 -  Bandar Penawar ›  Kuala Rompin ,183.0
2008-02-13,125,Stage 5 -  Johor Bahru ›  Bandar Penawar ,140.0
2008-02-12,41,Stage 4 -  Port Dickson ›  Batu Pahat ,169.0
2008-02-11,62,Stage 3 - Sitiawan › Banting ,209.0
2008-02-10,92,Stage 2 -  Butterworth ›  Sitiawan ,160.0
2008-02-09,83,Stage 1 -  Alor Setar ›  Kepala Batas ,183.0
