date,result ranking,race name,distance
2007-10-20,50,Giro di Lombardia (1.PT) ,242.0
2007-10-14,87,Gran Premio Bruno Beghelli (1.1) ,198.0
2007-10-13,DNF,Giro dell'Emilia (1.HC) ,205.0
2007-10-11,59,Coppa Sabatini (1.1) ,198.0
2007-10-09,40,Monte Paschi Eroica (1.1) ,180.0
2007-09-16,83,Stage 6 - Saint Louis › Saint louis ,119.0
2007-09-15,73,Stage 5 - Jefferson city › Saint Charles ,204.0
2007-09-14,79,Stage 4 - Lebanon › Columbia ,214.0
2007-09-13,76,Stage 3 (ITT) - Brason › Branson ,29.0
2007-09-12,75,Stage 2 - Clinton › Springfield ,202.0
2007-09-11,91,Stage 1 - Kansas city › Kansas city ,137.0
2007-09-02,95,GP Ouest France - Plouay (1.PT) ,210.0
2007-08-30,41,GP Industria Artigianato e Commercio Carnaghese (1.1) ,180.4
2007-08-29,DNF,GP Nobili Rubinetterie (1.1) ,184.8
2007-08-19,DNF,Vattenfall Cyclassics (WT) ,229.1
2007-08-16,108,Stage 9 - Einbeck › Hannover ,143.1
2007-08-15,119,Stage 8 (ITT) - Fürth › Fürth ,33.1
2007-08-14,149,Stage 7 - Kufstein › Regensburg ,192.2
2007-08-13,155,Stage 6 - Längenfeld › Kufstein ,175.0
2007-08-12,91,Stage 5 - Sonthofen › Sölden ,157.6
2007-08-11,145,Stage 4 - Singen › Sonthofen ,183.8
2007-08-10,117,Stage 3 - Pforzheim › Offenburg ,181.8
2007-08-09,178,Stage 2 (TTT) - Bretten › Bretten ,42.2
2007-08-08,164,Stage 1 - Saarbrücken › Saarbrücken ,183.7
2007-06-17,41,Stage 7 - Valloire › Annecy ,129.0
2007-06-16,62,Stage 6 - Gap › Valloire ,198.0
2007-06-15,59,Stage 5 - Nyons › Digne-les-Bains ,195.0
2007-06-14,56,Stage 4 - Hauterives › Le Mont-Ventoux ,197.0
2007-06-13,66,Stage 3 (ITT) - Anneyron › Anneyron ,40.7
2007-06-12,71,Stage 2 - Saint-Paul-en-Jarez › Saint-Etienne ,157.0
2007-06-11,131,Stage 1 - Grenoble › Roanne ,219.0
2007-06-10,132,Prologue - Grenoble › Grenoble ,4.2
2007-05-27,155,Stage 7 - Lloret de Mar › Barcelona ,119.3
2007-05-26,87,Stage 6 - Lli­via › Lloret de Mar ,177.1
2007-05-25,85,Stage 5 (ITT) - Sornas › Vallnord-Arcalís ,17.1
2007-05-24,89,Stage 4 - Tàrrega › Vallnord-Arinsal ,201.1
2007-05-23,119,Stage 3 - Perafort › Tàrrega ,182.1
2007-05-22,127,Stage 2 - Salou › Perafort ,170.0
2007-05-21,20,Stage 1 (TTT) - Salou › Salou ,15.0
2007-05-12,60,Stage 1 - Alcobendas › Puerto de Navacerrada ,170.0
2007-05-06,72,Stage 6 (ITT) - Lausanne › Lausanne ,20.4
2007-05-05,61,Stage 5 - Charmey › Morgins ,155.9
2007-05-04,86,Stage 4 - Moudon › Charmey ,162.6
2007-05-03,84,Stage 3 - La Chaux-de-Fonds › Lucens ,166.9
2007-05-02,75,Stage 2 - Fribourg › La Chaux-de-Fonds ,157.8
2007-05-01,77,Prologue - Fribourg › Fribourg ,3.5
2007-04-22,68,Stage 7 - Atlanta › Atlanta ,123.9
2007-04-21,72,Stage 6 - Lake Lanier Islands › Stone Mountain Park ,182.9
2007-04-20,61,Stage 5 - Dalton › Brasstown Bald ,172.1
2007-04-19,50,Stage 4 (ITT) - Chickamauga › Lookout Mountain ,30.4
2007-04-18,70,Stage 3 - Rome › Chattanooga ,190.2
2007-04-17,48,Stage 2 - Thomaston › Rome ,217.2
2007-04-16,70,Stage 1 - Peachtree City › Macon ,153.0
2007-03-20,123,Stage 7 - Civitella del Tronto › San Benedetto del Tronto ,177.0
2007-03-19,78,Stage 6 - San Benedetto del Tronto › San Giacomo Monti della Laga ,164.0
2007-03-18,128,Stage 5 (ITT) - Civitanova Marche › Civitanova Marche ,21.0
2007-03-17,134,Stage 4 - Pievebovigliana › Offagna ,161.0
2007-03-16,131,Stage 3 - Marsciano › Macerata ,213.0
2007-03-15,123,Stage 2 - Civitavecchia › Marsciano ,202.0
2007-03-14,136,Stage 1 - Civitavecchia › Civitavecchia ,175.0
2007-03-10,72,Milano-Torino (1.HC) ,199.0
2007-03-04,69,GP Lugano (1.1) ,172.0
2007-03-03,DNF,GP Chiasso (1.1) ,172.9
2007-01-28,59,Stage 5 - San Luis › San Luis ,130.5
2007-01-27,63,Stage 4 - La Toma › Merlo ,173.0
