date,result ranking,race name,distance
2021-07-09,5,National Championships South Korea - Road Race (NC) ,
2021-07-09,5,National Championships South Korea - Road Race (NC),
2020-09-23,23,National Championships South Korea - Road Race (NC),139.9
2019-06-30,34,National Championships South Korea - Road Race (NC),112.0
2018-09-29,61,Stage 4 - Sarongan › Paltuding Ijen,127.2
2018-09-28,57,Stage 3 - Genteng › Banyuwangi,139.4
2018-09-27,6,Stage 2 - Kalibaru › Banyuwangi,179.3
2018-09-26,53,Stage 1 - Banyuwangi › Rowo Bayu,153.1
2018-06-24,DNF,National Championships South Korea - Road Race (NC),112.0
2018-06-23,DNS,National Championships South Korea - ITT (NC),42.0
2018-06-03,10,Stage 5 - Seoul › Seoul,65.0
2018-06-02,65,Stage 4 - Jeongseon › Chungju,156.0
2018-06-01,19,Stage 3 - Yeongju › Jeongseon,192.4
2018-05-31,80,Stage 2 - Cheonan › Yeongju,202.6
2018-05-30,73,Stage 1 - Gunsan › Cheonan,184.6
2018-05-23,24,Stage 4 - Lingayen › Baguio,154.65
2018-05-22,6,Stage 3 - Bambang › Lingayen,188.1
2018-05-21,2,Stage 2 - Cabanatuan › Bayombong,157.9
2017-06-30,DNF,National Championships South Korea - Road Race (NC),112.0
2017-06-18,81,Stage 5 - Seoul › Seoul,65.0
2017-06-17,21,Stage 4 - Yeongju › Chungju,156.0
2017-06-16,66,Stage 3 - Muju › Yeongju,167.8
2017-06-15,109,Stage 2 - Gunsan › Muju,156.8
2017-06-14,107,Stage 1 - Yeosu › Gunsan,216.9
2017-04-06,45,Stage 6 - Lampang › Chiangmai,135.65
2017-04-05,34,Stage 5 - Sukhothai › Lampang,194.0
2017-04-04,7,Stage 4 - Uttaradit › Sukhothai,120.65
2017-04-03,25,Stage 3 - Phitsanulok › Uttaradit,111.0
2017-04-02,71,Stage 2 - Chainat › Phitsanulok,190.0
2017-04-01,72,Stage 1 - Bangkok › Chainat,193.4
2016-11-20,18,Stage 5 - Yongtai › Yongtai,127.4
2016-11-19,20,Stage 4 - Yongtai › Yongtai,131.8
2016-11-18,6,Stage 3 - Lianjiang › Lianjiang,133.3
2016-11-17,6,Stage 2 - Changle › Changle,126.3
2016-11-16,20,Stage 1 - Ma Wei › Guling,113.2
2016-06-24,4,National Championships South Korea - Road Race (NC),112.0
2016-06-12,24,Stage 8 - Seoul › Seoul,65.0
2016-06-11,3,Stage 7 - Chungju › Seoul,142.8
2016-06-10,41,Stage 6 - Asan › Chungju,194.6
2016-06-09,18,Stage 5 - Daejeon › Asan,170.7
2016-06-08,40,Stage 4 - Daejeon › Daejeon,85.8
2016-06-07,24,Stage 3 - Gunsan › Daejeon,145.8
2016-06-06,85,Stage 2 - Gumi › Gunsan,235.2
2016-06-05,50,Stage 1 - Busan › Gumi,189.1
2016-04-06,12,Stage 6 - Loei › Udon Thani ,167.7
2016-04-05,21,Stage 5 - Nong Khai  › Loei,231.2
