date,result ranking,race name,distance
2022-06-26,8,National Championships Portugal - Road Race (NC) ,167.5
2022-06-24,2,National Championships Portugal - ITT (NC) ,33.6
2022-06-12,123,Stage 8 - Saint-Alban-Leysse › Plateau de Salaison ,138.8
2022-06-11,129,Stage 7 - Saint-Chaffrey › Vaujany ,134.8
2022-06-10,96,Stage 6 - Rives › Gap ,196.5
2022-06-09,104,Stage 5 - Thizy-les-Bourgs › Chaintré ,162.3
2022-06-08,73,Stage 4 (ITT) - Montbrison › La Bâtie d’Urfé ,31.9
2022-06-07,128,Stage 3 - Saint-Paulien › Chastreix-Sancy ,169.0
2022-06-06,21,Stage 2 - Saint-Péray › Brives-Charensac ,169.8
2022-06-05,136,Stage 1 - La Voulte-sur-Rhône › Beauchastel ,191.8
2022-06-02,DNF,Giro dell'Appennino (1.1) ,191.7
2022-05-15,DNF,Tro-Bro Léon (1.Pro) ,207.8
2022-05-14,71,Grand Prix du Morbihan (1.Pro)  50k,185.4
2022-05-01,116,Stage 5 (ITT) - Aigle › Villars ,15.84
2022-04-30,105,Stage 4 - Aigle › Zinal (Val d'Anniviers)  134k,180.1
2022-04-29,102,Stage 3 - Valbroye › Valbroye ,165.1
2022-04-28,30,Stage 2 - Échallens › Échallens ,168.2
2022-04-27,51,Stage 1 - La Grande Beroche › Romont ,178.0
2022-04-26,49,Prologue - Lausanne › Lausanne ,5.12
2022-04-13,60,De Brabantse Pijl - La Flèche Brabançonne (1.Pro) ,205.1
2022-04-10,DNF,Amstel Gold Race (1.UWT) ,254.1
2022-03-27,93,Stage 7 - Barcelona › Barcelona ,138.6
2022-03-26,105,Stage 6 - Salou › Cambrils ,168.6
2022-03-25,8,Stage 5 - La Pobla de Segur › Vilanova i la Geltrú ,206.3
2022-03-24,137,Stage 4 - La Seu d'Urgell › Boí Taüll ,166.7
2022-03-23,148,Stage 3 - Perpignan › La Molina ,161.1
2022-03-22,131,Stage 2 - L'Escala › Perpignan ,202.4
2022-03-21,124,Stage 1 - Sant Feliu de Guíxols › Sant Feliu de Guíxols ,171.2
2022-03-16,41,Milano - Torino (1.Pro) ,199.0
2022-03-06,DNF,Grote Prijs Jean-Pierre Monseré (1.1) ,203.2
2022-03-02,DNF,Trofeo Laigueglia (1.Pro) ,202.0
2022-02-20,118,Stage 5 - Lagoa › Malhão (Loulé)  93k,173.0
2022-02-19,96,Stage 4 (ITT) - Vila Real de Santo António › Tavira ,32.2
2022-02-18,56,Stage 3 - Almodôvar › Faro ,211.4
2022-02-17,61,Stage 2 - Albufeira › Fóia (Monchique) ,182.4
2022-02-16,39,Stage 1 - Portimão  › Lagos ,199.1
2022-02-06,75,Stage 5 (ITT) - Alès › Alès l'Ermitage ,10.64
2022-02-05,125,Stage 4 - Saint-Hilaire-de-Brethmas › Le Mont Bouquet ,146.71
2022-02-04,135,Stage 3 - Bessèges › Bessèges ,155.65
2022-02-03,122,Stage 2 - Saint-Christol-lèz-Alès › Rousson ,156.21
2022-02-02,141,Stage 1 - Bellegarde › Bellegarde ,160.86
2022-01-30,DNS,Grand Prix Cycliste de Marseille La Marseillaise (1.1) ,174.3
2022-01-27,84,Trofeo Alcúdia - Port d'Alcúdia (1.1) ,173.2
2022-01-26,112,Trofeo Calvia (1.1) ,154.7
2022-04-28,30,Stage 2 - Échallens › Échallens,168.2
2022-04-27,51,Stage 1 - La Grande Beroche › Romont,178.0
2022-04-26,49,Prologue - Lausanne › Lausanne,5.12
2022-04-13,60,De Brabantse Pijl - La Flèche Brabançonne (1.Pro),205.1
2022-04-10,DNF,Amstel Gold Race (1.UWT),254.1
2022-03-27,93,Stage 7 - Barcelona › Barcelona,138.6
2022-03-26,105,Stage 6 - Salou › Cambrils,168.6
2022-03-25,8,Stage 5 - La Pobla de Segur › Vilanova i la Geltrú,206.3
2022-03-24,137,Stage 4 - La Seu d'Urgell › Boí Taüll,166.7
2022-03-23,148,Stage 3 - Perpignan › La Molina,161.1
2022-03-22,131,Stage 2 - L'Escala › Perpignan,202.4
2022-03-21,124,Stage 1 - Sant Feliu de Guíxols › Sant Feliu de Guíxols,171.2
2022-03-16,41,Milano - Torino (1.Pro),199.0
2022-03-06,DNF,Grote Prijs Jean-Pierre Monseré (1.1),203.2
2022-03-02,DNF,Trofeo Laigueglia (1.Pro),202.0
2022-02-20,118,Stage 5 - Lagoa › Malhão (Loulé),173.0
2022-02-19,96,Stage 4 (ITT) - Vila Real de Santo António › Tavira,32.2
2022-02-18,56,Stage 3 - Almodôvar › Faro,211.4
2022-02-17,61,Stage 2 - Albufeira › Fóia (Monchique),182.4
2022-02-16,39,Stage 1 - Portimão  › Lagos,199.1
2022-02-06,75,Stage 5 (ITT) - Alès › Alès l'Ermitage,10.64
2022-02-05,125,Stage 4 - Saint-Hilaire-de-Brethmas › Le Mont Bouquet,146.71
2022-02-04,135,Stage 3 - Bessèges › Bessèges,155.65
2022-02-03,122,Stage 2 - Saint-Christol-lèz-Alès › Rousson,156.21
2022-02-02,141,Stage 1 - Bellegarde › Bellegarde,160.86
2022-01-30,DNS,Grand Prix Cycliste de Marseille La Marseillaise (1.1),174.3
2022-01-27,84,Trofeo Alcúdia - Port d'Alcúdia (1.1),173.2
2022-01-26,112,Trofeo Calvia (1.1),154.7
2021-06-03,DNF,Stage 5 - Saint-Chamond › Saint-Vallier,175.4
2021-06-02,72,Stage 4 (ITT) - Firminy › Roche-La-Molière,16.4
