date,result ranking,race name,distance
2004-05-01,13,Grand Prix S.A.T.S. (1.3) ,199.0
2004-05-01,13,Grand Prix S.A.T.S. (1.3) ,199.0
2003-08-22,75,Groningen - Münster (1.3) ,205.9
2003-08-16,42,Stage 6 - Korsør › Frederiksberg ,180.0
2003-08-15,99,Stage 5 (ITT) - Svendborg  › Svendborg ,15.7
2003-08-15,106,Stage 4 - Middelfart › Faaborg ,100.0
2003-08-14,102,Stage 3 - Hammel › Kolding ,185.0
2003-08-13,98,Stage 2 - Hobro › Århus ,220.0
2003-08-12,105,Stage 1 - Skagen › Aalborg ,155.0
2003-06-29,9,National Championships Denmark - Road Race (NC) ,192.5
2003-04-05,DNF,Hel van het Mergelland (1.5) ,191.0
2003-03-23,39,GP Rudy Dhaenens (1.3) ,188.0
2003-02-14,6,GP Istria 3 - Buje (1.5) ,168.0
2003-02-11,56,GP Istria 2 - Umag (1.5) ,138.0
2003-02-09,40,GP Istria 1 - Umag (1.5) ,133.0
2002-08-17,46,Stage 5 - Slagelse › Frederiksberg ,164.0
2002-08-16,38,Stage 4a - Fredericia › Odense ,98.0
2002-08-16,60,Stage 4b (ITT) - Kerteminde › Kerteminde ,16.0
2002-08-15,67,Stage 3 - Århus › Vejle ,183.0
2002-08-14,57,Stage 2 - Aabenraa › Århus ,219.0
2002-08-13,94,Stage 1 - Ribe › Sønderborg ,180.0
2002-05-21,70,Stage 3 - Rockanje › Ossendrecht ,156.0
2002-05-20,97,Stage 2 - Almere › Rockanje ,190.6
2002-05-19,72,Stage 1 - Almere › Almere ,161.2
2002-05-18,73,Prologue - Almere › Almere ,4.8
2002-05-05,29,CSC Classic - GP Aarhus (1.3) ,196.0
2002-04-22,35,Stage 6 - Blois › Blois ,
2002-04-21,37,Stage 5 - Cour Cherny › Contres ,102.3
2002-04-20,17,Stage 4 - Chamount-sur-Tharonne › Salbris ,181.7
2002-04-19,30,Stage 3 - Vendôme › Vendôme ,176.1
2002-04-18,11,Stage 2 - Mer › Mer ,172.6
2002-04-17,36,Stage 1 - Blois › Chémery ,151.4
2002-04-07,52,Ronde van Noord-Holland (1.3) ,200.0
2002-03-17,158,Stage 3 - Porec › Porec ,148.0
2002-03-16,143,Stage 2 - Porec › Porec ,158.0
2002-03-14,83,Prologue - Porec › Porec ,6.0
2002-02-10,68,Trofej Poreč II (1.5) ,141.5
2002-02-09,31,Porec Trophy - Trofej Porec (1.5) ,137.0
2001-05-06,14,Samsung Classic - GP Aarhus (1.4) ,190.0
2000-02-27,31,Stage 4 - Rhodos  › Rhodos  ,133.0
2000-02-26,63,Stage 3 - Rhodos  › Rhodos  ,158.0
2000-02-25,124,Stage 2 - Rhodos  › Rhodos  ,114.0
2000-02-24,5,Stage 1 - Rhodos  › Rhodos  ,158.0
2000-02-23,62,Prologue - Rhodos  › Rhodos  ,3.4
1999-10-08,42,World Championships U23 - Road Race (WC) ,178.75
1999-08-14,101,Stage 5 - Frederikssund › Frederiksberg ,160.0
1999-08-13,108,Stage 4a - Odense › Sorø ,120.0
1999-08-12,107,Stage 3 - Esbjerg › Vejle ,190.0
1999-08-12,67,Stage 2 - Odder › Grindsted ,170.0
1999-08-11,37,Stage 1 - Aalborg › Århus ,185.0
1999-06-27,23,National Championships Denmark - Road Race (NC) ,205.5
1999-05-30,3,National Championships Denmark U23 - Road Race (NC) ,
1999-05-13,51,BKI Kaffe GP - GP Aarhus (1.4) ,190.0
1998-08-23,6,National Championships Denmark U23 - Road Race (NC) ,
