date,result ranking,race name,distance
2022-06-26,41,National Championships Belgium - Road Race (NC) ,208.7
2022-06-19,123,Stage 5 - Gingelom › Beringen ,179.9
2022-06-18,120,Stage 4 - Durbuy › Durbuy ,172.2
2022-06-17,106,Stage 3 (ITT) - Scherpenheuvel-Zichem › Scherpenheuvel-Zichem ,11.8
2022-06-16,118,Stage 2 - Beveren › Knokke-Heist ,175.6
2022-06-15,121,Stage 1 - Merelbeke › Maarkedal ,165.0
2022-06-12,102,Elfstedenronde Brugge (1.1) ,192.3
2022-04-16,5,Stage 7 - Gelibolu › Tekirdağ ,131.3
2022-04-15,6,Stage 6 - Edremit (Akçay) › Eceabat (57.Alay Şehitliği) ,201.5
2022-04-14,16,Stage 5 - Manisa › Ayvalık ,186.1
2022-04-13,74,Stage 4 - İzmir (Konak) › Manisa (Spil Milli Park) ,146.2
2022-04-12,28,Stage 3 - Çeşme › İzmir (Karşıyaka) ,117.9
2022-04-11,6,Stage 2 - Selçuk (Efes) › Alaçatı ,156.4
2022-04-10,31,Stage 1 - Bodrum › Kuşadası ,202.0
2022-03-27,DNF,Gent-Wevelgem in Flanders Fields ME (1.UWT) ,248.8
2022-03-23,131,Minerva Classic Brugge-De Panne (1.UWT) ,207.9
2022-03-06,20,Grote Prijs Jean-Pierre Monseré (1.1) ,203.2
2022-02-27,71,Kuurne - Bruxelles - Kuurne (1.Pro) ,195.1
2022-02-26,32,Omloop Het Nieuwsblad ME (1.UWT) ,204.2
2022-02-05,7,Stage 5 - AlUla Old Town › AlUla Old Town ,138.9
2022-02-04,39,Stage 4 - Winter Park › Skyviews of Harrat Uwayrid ,149.3
2022-02-03,8,Stage 3 - Tayma Hadaj Well › AlUla Old Town ,181.2
2022-02-02,54,Stage 2 - Taibah University › Abu Rakah ,163.9
2022-02-01,4,Stage 1 - Winter Park › Winter Park ,198.0
2022-04-16,5,Stage 7 - Gelibolu › Tekirdağ,131.3
2022-04-15,6,Stage 6 - Edremit (Akçay) › Eceabat (57.Alay Şehitliği),201.5
2022-04-14,16,Stage 5 - Manisa › Ayvalık,186.1
2022-04-13,74,Stage 4 - İzmir (Konak) › Manisa (Spil Milli Park),146.2
2022-04-12,28,Stage 3 - Çeşme › İzmir (Karşıyaka),117.9
2022-04-11,6,Stage 2 - Selçuk (Efes) › Alaçatı,156.4
2022-04-10,31,Stage 1 - Bodrum › Kuşadası,202.0
2022-03-27,DNF,Gent-Wevelgem in Flanders Fields ME (1.UWT),248.8
2022-03-23,131,Minerva Classic Brugge-De Panne (1.UWT),207.9
2022-03-06,20,Grote Prijs Jean-Pierre Monseré (1.1),203.2
2022-02-27,71,Kuurne - Bruxelles - Kuurne (1.Pro),195.1
2022-02-26,32,Omloop Het Nieuwsblad ME (1.UWT),204.2
2022-02-05,7,Stage 5 - AlUla Old Town › AlUla Old Town,138.9
2022-02-04,39,Stage 4 - Winter Park › Skyviews of Harrat Uwayrid,149.3
2022-02-03,8,Stage 3 - Tayma Hadaj Well › AlUla Old Town,181.2
2022-02-02,54,Stage 2 - Taibah University › Abu Rakah,163.9
2022-02-01,4,Stage 1 - Winter Park › Winter Park,198.0
2021-09-23,74,Omloop van het Houtland Middelkerke-Lichtervelde (1.1),190.0
2021-09-18,87,Stage 5 - Mersch › Luxembourg-City,183.7
2021-09-17,85,Stage 4 (ITT) - Dudelange › Dudelange,25.4
2021-09-16,114,Stage 3 - Mondorf-les-Bains  › Mamer,189.3
2021-09-15,121,Stage 2 - Steinfort › Eschdorf,186.1
2021-09-14,83,Stage 1 - Luxembourg-City › Luxembourg-City,140.0
2021-09-05,93,Stage 7 - Namur › Geraardsbergen,177.9
2021-09-04,105,Stage 6 - Ottignies-Louvain-la-Neuve › Houffalize,207.6
2021-09-03,130,Stage 5 - Riemst › Bilzen,192.0
2021-09-02,135,Stage 4 - Aalter › Ardooie,166.1
2021-09-01,136,Stage 3 - Essen › Hoogerheide,168.3
2021-08-31,67,Stage 2 (ITT) - Lelystad › Lelystad,11.1
2021-08-30,91,Stage 1 - Surhuisterveen › Dokkum,169.6
2021-08-28,68,Brussels Cycling Classic (1.Pro),205.3
2021-08-26,86,Druivenkoers - Overijse (1.1),192.0
2021-07-04,DNF,Stage 9 - Cluses › Tignes,144.9
2021-07-03,130,Stage 8 - Oyonnax › Le Grand-Bornand,150.8
2021-07-02,141,Stage 7 - Vierzon › Le Creusot,249.1
2021-07-01,12,Stage 6 - Tours › Châteauroux,160.4
2021-06-30,127,Stage 5 (ITT) - Changé › Laval Espace Mayenne,27.2
2021-06-29,133,Stage 4 - Redon › Fougères,150.4
2021-06-28,174,Stage 3 - Lorient › Pontivy,182.9
2021-06-27,155,Stage 2 - Perros-Guirec › Mûr-de-Bretagne Guerlédan,183.5
2021-06-26,136,Stage 1 - Brest › Landerneau,197.8
2021-06-20,7,National Championships Belgium - Road Race (NC),221.3
2021-06-13,21,Stage 5 - Turnhout › Beringen,178.7
2021-06-12,5,Stage 4 - Hamoir › Hamoir,152.7
2021-06-11,54,Stage 3 - Gingelom › Scherpenheuvel-Zichem,174.4
2021-06-10,21,Stage 2 (ITT) - Knokke-Heist › Knokke-Heist,11.2
2021-06-09,5,Stage 1 - Beveren › Maarkedal,175.3
2021-06-06,11,Elfstedenronde (1.1),193.1
2021-05-16,DNF,Stage 9 - Castel di Sangro › Campo Felice (Rocca di Cambio),158.0
2021-05-15,155,Stage 8 - Foggia › Guardia Sanframondi,170.0
2021-05-14,67,Stage 7 - Notaresco › Termoli,181.0
2021-05-13,151,Stage 6 - Grotte di Frasassi › Ascoli Piceno (San Giacomo),160.0
2021-05-12,145,Stage 5 - Modena › Cattolica,177.0
2021-05-11,165,Stage 4 - Piacenza › Sestola,187.0
2021-05-10,142,Stage 3 - Biella › Canale,190.0
2021-05-09,14,Stage 2 - Stupinigi  › Novara,179.0
2021-05-08,129,Stage 1 (ITT) - Turin › Turin,8.6
2021-04-14,DNF,Stage 1 - Elche › Ondara,168.9
2021-03-28,DNF,Gent-Wevelgem in Flanders Fields ME (1.UWT),250.0
2021-03-26,17,E3 Saxo Bank Classic (1.UWT),203.9
2021-03-20,102,Milano-Sanremo (1.UWT),299.0
2021-03-16,137,Stage 7 (ITT) - San Benedetto del Tronto › San Benedetto del Tronto,10.1
2021-03-15,31,Stage 6 - Castelraimondo › Lido di Fermo,169.0
2021-03-14,31,Stage 5 - Castellalto › Castelfidardo,205.0
2021-03-13,90,Stage 4 - Terni › Prati di Tivo,148.0
2021-03-12,6,Stage 3 - Monticiano › Gualdo Tadino,219.0
2021-03-11,29,Stage 2 - Camaiore › Chiusdino,202.0
2021-03-10,41,Stage 1 - Lido di Camaiore › Lido di Camaiore,156.0
2021-03-07,110,Grote Prijs Jean-Pierre Monseré (1.1),202.1
2021-02-27,49,Stage 7 - Yas Mall  › Abu Dhabi Breakwater,147.0
2021-02-26,26,Stage 6 - Deira Island › Palm Jumeirah,165.0
2021-02-25,61,Stage 5 - Fujairah Marine Club › Jebel Jais,170.0
2021-02-24,99,Stage 4 - Al Marjan Island › Al Marjan Island,204.0
2021-02-23,104,Stage 3 - Strata Manufactoring › Jebel Hafeet,166.0
2021-02-22,101,Stage 2 (ITT) - Al Hudayriat Island › Al Hudayriat Island,13.0
2021-02-21,71,Stage 1 - Al Dhafra Castle  › Al Mirfa,176.0
2020-10-21,DNF,AG Driedaagse Brugge-De Panne ME (1.UWT),188.6
2020-10-18,18,Ronde van Vlaanderen - Tour des Flandres ME (1.UWT),243.3
2020-10-14,41,Scheldeprijs (1.Pro),173.3
2020-10-11,64,Gent-Wevelgem in Flanders Fields ME (1.UWT),232.5
2020-10-07,19,De Brabantse Pijl - La Flèche Brabançonne (1.Pro),197.2
2020-09-22,90,National Championships Belgium - Road Race (NC),235.8
2020-09-20,44,Stage 21 - Mantes-la-Jolie › Paris,122.0
2020-09-19,125,Stage 20 (ITT) - Lure › La Planche des Belles Filles,36.2
2020-09-18,111,Stage 19 - Bourg-en-Bresse › Champagnole,166.5
2020-09-17,101,Stage 18 - Méribel › La Roche-sur-Foron,175.0
