date,result ranking,race name,distance
2007-08-31,93,Stage 4b - Futuroscope › Poitiers ,105.8
2007-08-31,57,Stage 4a (ITT) - Jaunay-Clan › Jaunay-Clan ,20.0
2007-08-30,110,Stage 3 - Châtellerault › Châtellerault ,183.9
2007-08-29,92,Stage 2 - La Rochelle  › Cerizay ,173.1
2007-08-28,63,Stage 1 - Ruelle-sur-Touvre  › La Rochelle ,187.9
2007-08-15,67,Stage 10 (ITT) - Viseu › Viseu ,38.8
2007-08-14,57,Stage 9 - Oliveira do Bairro › Alto da Torre ,154.2
2007-08-13,128,Stage 8 - Aveiro › São João da Madeira ,157.1
2007-08-12,133,Stage 7 - Lixa › Gondomar ,168.0
2007-08-11,83,Stage 6 - Celorico de Basto › Mondim de Basto (Senhora da Graça) ,143.0
2007-08-09,70,Stage 5 - Felgueiras › Fafe ,167.7
2007-08-08,97,Stage 4 - Guarda › Santo Tirso ,222.1
2007-08-07,95,Stage 3 - Idanha-a-Nova › Gouveia ,176.3
2007-08-06,44,Stage 2 - Vila Viçosa › Castelo Branco ,169.3
2007-08-05,36,Stage 1 - Portimão › Beja ,196.4
2007-08-04,42,Prologue - Portimão › Portimão ,6.8
2007-07-31,71,Circuito de Getxo 'Memorial Ricardo Otxoa' (1.1) ,183.5
2007-07-15,5,Stage 4 - Torres Vedras  › Torres Vedras  ,99.0
2007-07-14,2,Stage 3 - Manique do Intendente  › Torres Vedras  ,173.0
2007-07-13,13,Stage 2 - Sobral de Monte Agraço  › Torres Vedras ,152.0
2007-07-12,3,Stage 1 - Torres Vedras  › A dos Cunhados ,165.0
2007-07-01,9,National Championships Spain - Road Race (NC) ,189.4
2007-06-09,22,Stage 2a - Tolosa › Abadiño ,92.4
2007-06-08,6,Stage 1 - Eibar › Tolosa ,172.2
2007-05-27,90,Stage 7 - Lloret de Mar › Barcelona ,119.3
2007-05-26,82,Stage 6 - Lli­via › Lloret de Mar ,177.1
2007-05-25,172,Stage 5 (ITT) - Sornas › Vallnord-Arcalís ,17.1
2007-05-24,167,Stage 4 - Tàrrega › Vallnord-Arinsal ,201.1
2007-05-23,175,Stage 3 - Perafort › Tàrrega ,182.1
2007-05-22,139,Stage 2 - Salou › Perafort ,170.0
2007-05-21,24,Stage 1 (TTT) - Salou › Salou ,15.0
2007-05-07,71,Stage 5 - Gijón › Oviedo ,180.2
2007-05-06,113,Stage 4 - Cangas del Narcea › Gijón ,158.0
2007-05-05,96,Stage 3 - Cafés Toscaf › Alto del Acebo ,180.2
2007-05-04,91,Stage 2 - Llanes › Avilés ,168.0
2007-05-03,72,Stage 1 - Oviedo › Llanes ,150.6
2007-04-29,4,Stage 3 - Logroño › Logroño ,140.8
2007-04-28,62,Stage 2 - Casalarreina › Casalarreina ,168.0
2007-04-27,20,Stage 1 - Lardero › Calahorra ,150.4
2007-03-07,105,Stage 1 ,166.0
2007-03-03,11,Stage 5 - Valencia › Valencia ,146.9
2007-03-02,57,Stage 4 - Albaida › Alto del Campello ,162.0
2007-03-01,21,Stage 3 - Villarreal › Villarreal ,151.8
2007-02-28,58,Stage 2 - Calpe › Calpe ,148.2
2007-02-27,27,Stage 1 - Alcira › Alcira ,162.7
2007-02-12,173,Trofeo Cala Millor-Cala Bona (1.1) ,159.4
2007-08-31,93,Stage 4b - Futuroscope › Poitiers ,105.8
2007-08-31,57,Stage 4a (ITT) - Jaunay-Clan › Jaunay-Clan ,20.0
2007-08-30,110,Stage 3 - Châtellerault › Châtellerault ,183.9
2007-08-29,92,Stage 2 - La Rochelle  › Cerizay ,173.1
2007-08-28,63,Stage 1 - Ruelle-sur-Touvre  › La Rochelle ,187.9
2007-08-15,67,Stage 10 (ITT) - Viseu › Viseu ,38.8
2007-08-14,57,Stage 9 - Oliveira do Bairro › Alto da Torre ,154.2
2007-08-13,128,Stage 8 - Aveiro › São João da Madeira ,157.1
2007-08-12,133,Stage 7 - Lixa › Gondomar ,168.0
2007-08-11,83,Stage 6 - Celorico de Basto › Mondim de Basto (Senhora da Graça) ,143.0
2007-08-09,70,Stage 5 - Felgueiras › Fafe ,167.7
2007-08-08,97,Stage 4 - Guarda › Santo Tirso ,222.1
2007-08-07,95,Stage 3 - Idanha-a-Nova › Gouveia ,176.3
2007-08-06,44,Stage 2 - Vila Viçosa › Castelo Branco ,169.3
2007-08-05,36,Stage 1 - Portimão › Beja ,196.4
2007-08-04,42,Prologue - Portimão › Portimão ,6.8
2007-07-31,71,Circuito de Getxo 'Memorial Ricardo Otxoa' (1.1) ,183.5
2007-07-15,5,Stage 4 - Torres Vedras  › Torres Vedras  ,99.0
2007-07-14,2,Stage 3 - Manique do Intendente  › Torres Vedras  ,173.0
2007-07-13,13,Stage 2 - Sobral de Monte Agraço  › Torres Vedras ,152.0
2007-07-12,3,Stage 1 - Torres Vedras  › A dos Cunhados ,165.0
2007-07-01,9,National Championships Spain - Road Race (NC) ,189.4
2007-06-09,22,Stage 2a - Tolosa › Abadiño ,92.4
2007-06-08,6,Stage 1 - Eibar › Tolosa ,172.2
2007-05-27,90,Stage 7 - Lloret de Mar › Barcelona ,119.3
2007-05-26,82,Stage 6 - Lli­via › Lloret de Mar ,177.1
2007-05-25,172,Stage 5 (ITT) - Sornas › Vallnord-Arcalís ,17.1
2007-05-24,167,Stage 4 - Tàrrega › Vallnord-Arinsal ,201.1
2007-05-23,175,Stage 3 - Perafort › Tàrrega ,182.1
2007-05-22,139,Stage 2 - Salou › Perafort ,170.0
2007-05-21,24,Stage 1 (TTT) - Salou › Salou ,15.0
2007-05-07,71,Stage 5 - Gijón › Oviedo ,180.2
2007-05-06,113,Stage 4 - Cangas del Narcea › Gijón ,158.0
2007-05-05,96,Stage 3 - Cafés Toscaf › Alto del Acebo ,180.2
2007-05-04,91,Stage 2 - Llanes › Avilés ,168.0
2007-05-03,72,Stage 1 - Oviedo › Llanes ,150.6
2007-04-29,4,Stage 3 - Logroño › Logroño ,140.8
2007-04-28,62,Stage 2 - Casalarreina › Casalarreina ,168.0
2007-04-27,20,Stage 1 - Lardero › Calahorra ,150.4
2007-03-07,105,Stage 1 ,166.0
2007-03-03,11,Stage 5 - Valencia › Valencia ,146.9
2007-03-02,57,Stage 4 - Albaida › Alto del Campello ,162.0
2007-03-01,21,Stage 3 - Villarreal › Villarreal ,151.8
2007-02-28,58,Stage 2 - Calpe › Calpe ,148.2
2007-02-27,27,Stage 1 - Alcira › Alcira ,162.7
2007-02-12,173,Trofeo Cala Millor-Cala Bona (1.1) ,159.4
2006-07-31,15,Circuito de Getxo (1.1) ,185.4
2006-06-20,DNF,Stage 5 - Llanes › Oviedo ,184.0
2006-06-19,112,Stage 4 - Gijón › Llanes ,154.0
2006-06-18,127,Stage 3 - Cangas Del Narcea › Gijón ,174.0
2006-06-17,134,Stage 2 - Cafés Toscaf › Alto Del Acebo ,180.0
2006-06-16,116,Stage 1 - Oviedo › Aviles ,171.0
2006-04-21,79,Stage 4 - Tione › Arco ,172.0
2006-04-20,48,Stage 3 - Romeno › Tione ,168.0
2006-04-19,100,Stage 2 - Castello Tesino › Clès ,174.0
2006-04-18,94,Stage 1 - Arco › Castello Tesino ,162.0
2006-04-16,34,Giro d'Oro (1.1) ,192.0
2005-09-04,12,Stage 6 - London › London ,60.0
2005-09-03,11,Stage 5 (ITT) - Birmingham › Birmingham ,4.0
2005-09-02,10,Stage 4 - Buxton › Nottingham ,195.0
2005-09-01,11,Stage 3 - Leeds › Sheffield ,160.0
2005-08-31,7,Stage 2 - Carlisle › Blackpool ,160.0
2005-08-30,9,Stage 1 - Glasgow › Castle Douglas ,185.0
2005-08-14,21,Stage 10 (ITT) - Viseu › Viseu ITT ,36.8
2005-08-13,16,Stage 9 - Lordelo › São João Madeira ,143.2
