date,result ranking,race name,distance
2000-07-07,DNF,Stage 7 - Tours › Limoges ,205.5
2000-07-06,162,Stage 6 - Vitre › Tours ,198.5
2000-07-05,148,Stage 5 - Vannes › Vitre ,202.0
2000-07-03,148,Stage 3 - Loudun › Nantes ,161.5
2000-07-02,97,Stage 2 - Futuroscope › Loudun ,194.0
2000-07-01,119,Stage 1 (ITT) - Futuroscope › Futuroscope ,16.5
2000-06-25,19,National Championships Denmark - Road Race (NC) ,202.4
2000-06-15,12,Stage 1 (TTT) - La Pineda › Vilaseca ,21.8
2000-05-14,86,Stage 3a - Soissons › Verneuil ,94.0
2000-05-14,104,Stage 3b (ITT) - Nogent-sur-Oise  › Nogent-sur-Oise  ,5.6
2000-05-13,83,Stage 2 - Crécy-en-Ponthieu  › Soissons ,204.0
2000-05-07,98,Stage 7 - Grande-Synthe › Dunkerque ,104.4
2000-05-06,63,Stage 5 - Lillers › Westouter ,188.0
2000-05-05,53,Stage 4 - Saint-Amand-les-Eaux › Saint-Amand-les-Eaux ,138.0
2000-05-04,118,Stage 3 - Boulogne › Béthune ,186.2
2000-05-03,118,Stage 2 - Boulogne-sur-Mer › Boulogne-sur-Mer ,166.2
2000-05-02,101,Stage 1 - Dunkerque › Oostende ,172.2
2000-04-22,DNF,Amstel Gold Race (CDM) ,257.0
2000-04-19,82,Scheldeprijs () ,200.4
2000-04-03,94,Ronde van Vlaanderen / Tour des Flandres (CDM) ,269.0
2000-03-30,112,Stage 3A - De Panne › Panne ,105.0
2000-03-30,82,Stage 3B (ITT) - De Panne › Panne ,14.0
2000-03-29,88,Stage 2 - Zottegem › Koksijde ,244.0
2000-03-28,183,Stage 1 - Mouscron › Zottegem ,178.0
2000-03-26,7,De Brabantse Pijl - La Flèche Brabançonne (1.2) ,194.0
2000-03-25,DNF,E3-Prijs Harelbeke (1.1) ,209.0
2000-03-18,177,Milano-Sanremo (CDM) ,294.0
2000-02-26,DNF,Omloop Het Volk (1.1) ,204.0
2000-02-20,90,Trofeo Luis Puig (1.2) ,182.0
2000-02-17,95,Stage 5 - Luque › Granada ,134.7
2000-02-15,117,Stage 3 - Malaga › Santuario Nuestra Sra Sierra Cabarga ,164.9
2000-02-14,106,Stage 2 - Castell de Ferro › Costa Benalmadena ,149.3
2000-02-13,144,Stage 1 - Almeria › Almeria ,160.5
2000-01-23,DNF,Stage 6 - Adelaide › Adelaide ,96.0
2000-01-22,65,Stage 5 - Gawler › Tanunda ,156.0
2000-01-21,71,Stage 4 - Unley › Modbury ,136.0
2000-01-20,47,Stage 3 - Glenelg › McLaren Vale ,184.0
2000-01-19,57,Stage 2 - North Adelaide › Goolwa ,152.0
2000-01-18,58,Stage 1 - Adelaide › Adelaide ,52.2
2000-07-07,DNF,Stage 7 - Tours › Limoges ,205.5
2000-07-06,162,Stage 6 - Vitre › Tours ,198.5
