date,result ranking,race name,distance
2005-04-24,62.0,Ronde van Vlaanderen U23 (1.2) ,123.0
2005-04-10,78.0,Grand Prix de la Ville de Nogent-sur-Oise (1.2) ,165.6
2005-04-02,113.0,Stage 2b - Les Bastions › Flobecq ,125.4
2005-04-02,86.0,Stage 2a (ITT) - Vieux Leuze › Vieux Leuze ,8.4
2005-04-01,100.0,Stage 1 - Excelsior de Mouscron › Quevaucamps ,166.2
2005-03-06,20.0,Grand Prix De La Ville De Lillers Souvenir Bruno Comini (1.2) ,
2005-04-24,62.0,Ronde van Vlaanderen U23 (1.2) ,123.0
2005-04-10,78.0,Grand Prix de la Ville de Nogent-sur-Oise (1.2) ,165.6
2005-04-02,113.0,Stage 2b - Les Bastions › Flobecq ,125.4
2005-04-02,86.0,Stage 2a (ITT) - Vieux Leuze › Vieux Leuze ,8.4
2005-04-01,100.0,Stage 1 - Excelsior de Mouscron › Quevaucamps ,166.2
2005-03-06,20.0,Grand Prix De La Ville De Lillers Souvenir Bruno Comini (1.2) ,
2004-08-22,23.0,National Championships Belgium U23 - ITT (NC) ,27.7
2004-06-20,48.0,Flèche Ardennaise (1.7.1) ,170.0
2004-06-11,37.0,Stage 5a - Les › Pont de Suert ,60.0
2004-06-11,68.0,Stage 5b (ITT) - Pont de Suert › Lleida ,7.5
2004-06-10,48.0,Stage 4 - Vigo › Les ,124.1
2004-06-09,67.0,Stage 3 - Seo de Urgel › Vigo ,127.1
2004-06-08,77.0,Stage 2 - Tremp › Seo de Urgel ,126.6
2004-06-07,72.0,Stage 1 - Lleida › Tremp ,156.9
2002-09-08,8.0,National Championships Belgium MJ - ITT (NC) ,26.4
2002-08-06,48.0,Liège - La Gleize (2.8) ,
2002-05-09,8.0,Flanders-Europe Classic (1.8) ,
2001-08-12,3.0,National Championships Belgium MJ - ITT (NC) ,21.2
2001-05-27,89.0,National Championships Belgium MJ - Road Race (NC) ,125.5
2001-05-26,1.0,Tour de Lorraine () ,
