date,result ranking,race name,distance
2006-10-08,DNF,Paris - Tours (PT) ,254.5
2006-10-03,57,Sparkassen Münsterland Giro (1.2) ,203.0
2006-10-01,DNS,Stage 4 - Cuesmes › Tournai ,161.1
2006-09-30,30,Stage 3 - Mousron › Dottenijs ,181.0
2006-09-29,48,Stage 2 - Ghyvelde › Poperinge ,172.9
2006-09-28,77,Stage 1 - Maubeuge › Quiévrain ,175.8
2006-09-23,25,Delta Ronde van Midden-Zeeland (1.1) ,192.0
2006-09-17,DNF,Grand Prix d'Isbergues - Pas de Calais (1.1) ,202.5
2006-09-06,DNF,Memorial Rik Van Steenbergen (1.1) ,200.0
2006-08-18,DNF,Stage 3 - Schopfheim › Wehr ,177.4
2006-08-17,109,Stage 2 - Schliengen › Badenweiler ,145.6
2006-08-16,97,Stage 1 - Heitersheim › Guebwiller ,194.0
2006-07-28,69,Stage 5 - Amay › Wanze ,156.0
2006-07-27,79,Stage 4 - St. Hubert › Beaufays ,191.7
2006-07-26,56,Stage 3 - Mettet › St. Hubert ,205.4
2006-07-25,35,Stage 2 - Nivelles › Perwez ,187.7
2006-07-24,65,Stage 1 - Flobecq › Marcinelle ,159.4
2006-06-25,62,National Championships Belgium - Road Race (NC) ,246.5
2006-06-17,14,Stage 5 - Sittard › Eindhoven ,133.5
2006-06-16,51,Stage 4 - Verviers › La Gileppe ,192.3
2006-06-15,102,Stage 3 - Valkenburg › Valkenburg ,179.4
2006-06-14,94,Stage 2 (ITT) - Schimmert › Schimmert ,11.0
2006-06-14,61,Stage 1 - Schijndel › Nuth ,122.0
2006-06-11,2,Flèche Hesbigonne (1.2) ,200.0
2006-06-04,55,Stage 4 - Mersch › Luxembourg ,149.0
2006-06-03,69,Stage 3 - Wiltz › Diekirch ,175.1
2006-06-02,54,Stage 2 - Schifflange › Differdange ,183.2
2006-06-01,80,Stage 1 - Luxembourg › Mondorf ,168.6
2006-05-31,80,Prologue - Luxembourg › Luxembourg ,2.6
2006-05-28,63,Stage 5 - Hoei › Putte ,182.7
2006-05-27,20,Stage 4 - Londerzeel › Hoei ,203.6
2006-05-26,75,Stage 3b - Buggenhout › Londerzeel ,111.7
2006-05-26,67,Stage 3a (ITT) - Buggenhout › Buggenhout ,15.9
2006-05-25,55,Stage 2 - Oostende › Knokke Heist ,180.5
2006-05-24,76,Stage 1 - Oostende › Oostende ,180.9
2006-05-14,75,Stage 4 - Villers-Saint-Paul › Creil ,88.0
2006-05-14,102,Stage 3 - Saint-Gobain › Nogent-sur-Oise ,99.0
2006-05-13,98,Stage 2 - Nesle › Marle ,187.0
2006-05-12,100,Stage 1 - Creil › Péronne ,187.0
2006-04-23,DNF,Liège - Bastogne - Liège (PT) ,262.0
2006-04-19,DNF,La Flèche Wallonne (PT) ,202.0
2006-04-16,DNF,Amstel Gold Race (PT) ,253.1
2006-04-12,DNF,Scheldeprijs (1.HC) ,200.0
2006-04-05,DNF,Gent - Wevelgem (PT) ,210.0
2006-04-02,DNF,Ronde van Vlaanderen / Tour des Flandres ME (PT) ,259.0
2006-03-30,DNS,Stage 4 (ITT) - De Panne › De Panne ,12.0
2006-03-30,119,Stage 3 - De Panne › De Panne ,119.0
2006-03-29,139,Stage 2 - Zottegem › Oostduinkerke ,227.0
2006-03-28,154,Stage 1 - Middelkerke › Zottegem ,194.0
2006-03-26,DNF,De Brabantse Pijl - La Flèche Brabançonne (1.1) ,190.0
2006-03-25,DNF,E3 Prijs Vlaanderen (1.HC) ,198.0
