date,result ranking,race name,distance
2020-09-22,DNF,National Championships Belgium - Road Race (NC) ,235.8
2020-08-15,DNF,Dwars door het Hageland (1.Pro) ,180.0
2020-02-23,122,Stage 4 - Side › Antalya ,136.8
2020-02-22,107,Stage 3 - Aspendos › Termessos ,101.6
2020-02-21,118,Stage 2 - Kemer › Antalya ,165.3
2020-02-20,107,Stage 1 - Antalya › Antalya ,149.2
2020-09-22,DNF,National Championships Belgium - Road Race (NC),235.8
2020-08-15,DNF,Dwars door het Hageland (1.Pro),180.0
2020-02-23,122,Stage 4 - Side › Antalya,136.8
2020-02-22,107,Stage 3 - Aspendos › Termessos,101.6
2020-02-21,118,Stage 2 - Kemer › Antalya,165.3
2020-02-20,107,Stage 1 - Antalya › Antalya,149.2
2019-10-06,59,Stage 5 - Sarein › Tabriz,188.9
2019-10-05,47,Stage 4 - Tabriz › Sarein,198.2
2019-10-04,70,Stage 3 - Urmia › Tabriz,163.0
2019-10-03,7,Stage 2 - Aras › Khoy,180.0
2019-10-02,76,Stage 1 - Tabriz › Aras,148.3
2019-09-20,84,Kampioenschap van Vlaanderen (1.1),186.0
2019-09-18,71,Grand Prix de Wallonie (1.1),205.9
2019-09-08,33,Antwerp Port Epic / Sels Trophy (1.1),187.0
2019-08-31,109,Omloop Mandel-Leie-Schelde Meulebeke (1.1),189.0
2019-08-25,17,Schaal Sels Merksem / Johan Museeuw Classic (1.1),128.0
2019-08-18,DNF,La Poly Normande (1.1),168.9
2019-07-28,9,Grand Prix de la ville de Pérenchies (1.2),162.4
2019-06-30,DNF,National Championships Belgium - Road Race (NC),224.0
2019-06-26,17,Internationale Wielertrofee Jong Maar Moedig I.W.T. (1.2),181.0
2019-06-23,71,Stage 4 - Eindhoven › Tilburg,170.1
2019-06-22,69,Stage 3 - Buchten › Landgraaf,162.4
2019-06-21,100,Stage 2 - Etten-Leur  › Buchten,168.1
2019-06-20,22,Stage 1 - Bredene › Heinkenszand,197.9
2019-06-19,71,Prologue - Yerseke › Yerseke,6.8
2019-06-16,DNF,Midden-Brabant Poort Omloop (1.2),197.2
2019-06-10,DNF,Ronde van Limburg (1.1),201.1
2019-05-30,DNF,Circuit de Wallonie (1.1),192.2
2019-05-19,44,Grand Prix Criquielion (1.2),193.3
2019-05-12,16,Grand Prix de la Somme « Conseil Départemental 80» (1.2),168.6
2019-04-20,63,Arno Wallaard Memorial (1.2),183.9
2019-04-06,DNF,Volta Limburg Classic (1.1),192.1
2017-10-17,DNF,Sluitingsprijs Putte-Kapellen (1.1),183.6
2017-10-03,DNF,Binche - Chimay - Binche (1.1),195.2
2017-10-01,DNF,Tour de l'Eurométropole (1.HC),188.6
2017-09-30,153,Omloop Eurometropool (1.1),177.0
2017-09-24,DNF,Gooikse Pijl (1.2),198.0
2017-09-16,DNF,Primus Classic (1.HC),199.6
2017-09-09,DNF,De Kustpijl (1.2),131.0
2017-09-03,72,Kernen Omloop Echt-Susteren (1.2),191.0
2017-08-27,DNF,Schaal Sels (1.1),188.2
2017-08-22,DNF,GP Stad Zottegem (1.1),198.0
2017-08-06,DNF,Antwerpse Havenpijl (1.2),168.0
2017-08-05,DNF,Dwars door het Hageland - Aarschot (1.1),194.0
2016-09-12,DNS,Grote Prijs Marcel Kint (1.2),168.6
2015-07-04,DNF,Omloop Het Nieuwsblad Beloften/Circuit Het Nieuwsblad Espoirs (1.2),174.9
2014-08-24,91,National Championships Belgium U23 - Road Race (NC),178.0
2013-08-25,DNF,National Championships Belgium U23 - Road Race (NC),168.0
2013-06-26,DNF,Internationale Wielertrofee Jong Maar Moedig I.W.T. (1.2),169.0
