date,result ranking,race name,distance
2022-06-12,33,Stage 8 - Ebolowa › Yaoundé ,151.4
2022-06-11,35,Stage 7 - Boumnyebel › Mbalmayo ,112.6
2022-06-09,44,Stage 6 - Douala › Kribi ,152.7
2022-06-08,19,Stage 5 - Loum › Limbe ,129.9
2022-06-07,29,Stage 4 - Bangangté › Bangangté ,129.0
2022-06-06,30,Stage 3 - Obala › Ndikinimiki ,148.5
2022-06-05,26,Stage 2 - Yaoundé › Ayos ,118.8
2022-06-04,37,Stage 1 - Douala › Douala ,123.3
2021-11-01,DNF,Stage 4 - Laye › Ouahigouya,148.0
2021-10-31,28,Stage 3 - Dédougou › Koudougou,133.08
2021-10-30,30,Stage 2 - Bobo Dioulasso › Dédougou,183.2
2021-10-29,64,Stage 1 - Banfora › Bobo Dioulasso,125.0
2021-10-10,22,Stage 5 - Sangmelima › Yaoundé,166.2
2021-10-09,8,Stage 4 - Zoétélé › Meyomessal,116.7
2021-10-08,28,Stage 3 - Yaoundé › Ebolowa,167.0
2021-10-07,9,Stage 2 - Bafia › Ntui ,129.1
2021-10-06,15,Stage 1 - Bangangté › Bangangté,116.1
2021-06-06,17,Stage 8 - Ebolowa › Yaoundé,149.0
2021-06-05,14,Stage 7 - Boumnyebel › Mbalmayo,112.2
2021-06-03,21,Stage 6 - Douala › Kribi,156.6
2021-06-02,10,Stage 5 - Douala › Douala,95.9
2021-06-01,26,Stage 4 - Loum › Limbé,129.9
2021-05-31,33,Stage 3 - Bangangté › Nkongsamba,98.5
2021-05-30,17,Stage 2 - Ntui › Ombessa,111.4
2021-05-29,33,Stage 1 - Yaoundé › Ayos,118.8
2020-11-22,34,Stage 5 - Sangmelima › Yaoundé,166.4
2020-11-21,22,Stage 4 - Zoétélé › Meyomessala,116.4
2020-11-20,33,Stage 3 - Yaoundé › Ebolowa,167.0
2020-11-19,29,Stage 2 - Akonolinga › Abong-Mbang,139.5
2020-11-18,20,Stage 1 - Douala › Douala,95.9
2019-10-20,18,Stage 4 - Sangmélima › Douala,166.2
2019-10-19,14,Stage 3 - Zoétélé › Meyomessala,116.4
2019-10-18,25,Stage 2 - Yaoundé › Ebolowa,150.6
2019-10-17,17,Stage 1 - Bertoua › Abong-Mbang,109.6
2019-02-09,47,Stage 5 - Yaoundé › Yaoundé,103.4
2019-02-08,47,Stage 4 - Ngoulemakong › Yaoundé,105.7
2019-02-06,44,Stage 3 - Nkongsamba › Dschang,66.8
2019-02-05,75,Stage 2 - Douala › Douala,92.0
2019-02-04,14,Stage 1 (TTT) - Douala › Douala,18.8
2018-09-30,27,Stage 5 - Sangmelina › Yaoundé,170.0
2018-09-28,24,Stage 3 - Yaoundé › Ebolowa,151.0
2018-09-27,37,Stage 2 - Yaoundé › Nanga Eboko,152.0
2018-09-26,24,Stage 1 - Douala › Douala,92.0
2018-02-04,38,Stage 4 - Akono › Yaoundé,71.5
2018-02-03,47,Stage 3 - Yaoundé › Yaoundé,101.8
2018-02-01,52,Stage 2 - Idenao › Douala,147.0
2018-01-31,36,Stage 1 - Douala › Douala,92.0
