date,result ranking,race name,distance
2010-07-25,DNF,Prueba Villafranca-Ordiziako Klasika (1.1) ,165.7
2010-07-25,DNF,Prueba Villafranca-Ordiziako Klasika (1.1) ,165.7
2007-07-01,11,National Championships Spain - Road Race (NC) ,189.4
2007-06-17,22,Stage 4 - Viseu › Agueda ,156.9
2007-06-16,11,Stage 3 - Aveiro › Torre (Serre Estrela) ,153.2
2007-06-15,76,Stage 2 - Povoa de Varzim › Oliveira do Barro ,196.0
2007-06-14,49,Stage 1 - Santo Tirso › Povoa de Varzim ,197.6
2007-05-20,15,Stage 4 - Porto › Lordelo ,149.3
2007-05-19,23,Stage 3 - Maia › Rebordosa ,148.3
2007-05-18,57,Stage 2 - Vigo › Maia ,194.9
2007-05-17,76,Stage 1 - Santiago de Compostela › Vigo ,191.7
2007-05-07,15,Stage 5 - Gijón › Oviedo ,180.2
2007-05-06,54,Stage 4 - Cangas del Narcea › Gijón ,158.0
2007-05-05,17,Stage 3 - Cafés Toscaf › Alto del Acebo ,180.2
2007-05-04,48,Stage 2 - Llanes › Avilés ,168.0
2007-05-03,16,Stage 1 - Oviedo › Llanes ,150.6
2007-04-29,41,Stage 3 - Logroño › Logroño ,140.8
2007-04-28,26,Stage 2 - Casalarreina › Casalarreina ,168.0
2007-04-27,72,Stage 1 - Lardero › Calahorra ,150.4
2007-04-15,80,Stage 5 - Evora › Evora ,186.3
2007-04-14,13,Stage 4 - Redondo › Portalegre ,186.1
2007-04-13,66,Stage 3a - Moura › Serpa ,73.5
2007-04-13,81,Stage 3b (ITT) - Salvada › Beja ,12.5
2007-04-12,107,Stage 2 - Zambujeira › Alcacer Do Sal ,153.5
2007-04-11,77,Stage 1 - Santiago Do Cacem › Odemira ,150.8
2007-04-07,67,Gran Premio Miguel Indurain (1.HC) ,198.6
2006-08-14,104,Stage 10 (ITT) - Idanha-A-Nova › Castelo Branco ,36.6
2006-08-13,44,Stage 9 - Gouveia › Fundao ,144.1
2006-08-12,105,Stage 8 - Favaios › Guarda ,166.4
2006-08-11,75,Stage 7 - Celorico › Mondim (Sra.Graça) ,192.7
2006-08-10,127,Stage 6 - Santo Tirso › Fafe ,150.2
2006-08-09,137,Stage 5 - Gondomar › Felgueiras ,156.5
2006-08-08,139,Stage 4 - Viseu › S.Joao De Madeira ,157.3
2006-08-07,125,Stage 3 - Ansiao › Viseu ,170.7
2006-08-06,143,Stage 2 - Arraiolos › Lisboa ,180.6
2006-08-05,119,Stage 1 - Portimao › Beja ,186.5
2006-08-03,8,Stage 2 - Villaquilambre › Villablino ,158.7
2006-06-11,35,Stage 4 - Peniche › Lisbon ,156.7
2006-06-10,1,Stage 3 - Almeirim › Montejunto ,153.6
2006-06-09,58,Stage 2 - Montemor-o-Velho › Cartaxo ,181.1
2006-06-08,63,Stage 1 - Gaia › Figueira de Foz ,170.8
2006-05-28,28,Stage 5 - Vidigueira › Beja ,163.1
2006-05-27,41,Stage 4 - Arraiolos › Redondo ,194.7
2006-05-26,29,Stage 3 - Alter Do Chao › Portalegre ,142.9
2006-05-25,78,Stage 2 - Mora › Mora ,157.9
2006-05-24,81,Stage 1 - Vendas Novas › Vendas Novas ,175.0
2006-03-12,19,Stage 4 - Colega › Santarém ,166.0
2006-03-11,116,Stage 3 (ITT) - Alpiarça › Alpiarça ,18.0
2006-03-10,107,Stage 2 - Cartaxo › Abrantes ,169.5
2006-03-09,113,Stage 1 - Fatima › Torres Novas ,209.0
2006-02-19,85,Stage 5 - Vila Real de Santo António › Alto De Malhao ,183.4
2006-02-18,137,Stage 4 - Lagoa  › Portimao  ,174.5
2006-02-17,153,Stage 3 - Castro Marin › Faro ,198.0
2006-02-16,77,Stage 2 - Vila Do Bispo › Lagos ,173.5
2006-02-15,134,Stage 1 - Albufeira › Tavira ,162.3
2006-02-12,47,Stage 4 ,172.0
2006-02-11,58,Stage 3 ,192.0
2006-02-10,61,Stage 2 ,189.0
2006-02-09,46,Stage 1 ,158.0
2005-08-26,19,Stage 4b - Vivonne › Poitiers ,103.0
2005-08-26,101,Stage 4a (ITT) - Vivonne › Château-Larcher ,18.3
2005-08-25,92,Stage 3 - La Rochefoucauld › Vivonne  ,175.0
2005-08-24,104,Stage 2 - Pont-l'Abbé-d'Arnoult › La Rochefoucauld  ,192.0
2005-08-23,88,Stage 1 - Niort › Pont-l'Abbé-d'Arnoult  ,184.0
2005-08-21,85,Châteauroux Classic de l'Indre Trophée Fenioux (1.1) ,198.0
2005-05-29,53,Stage 5 - Nisa › Marvao ,60.0
2005-05-27,57,Stage 3 - Montemor O Novo › Elvas ,187.5
2005-05-26,31,Stage 2 - Portel › Viana Do Alentejo ,199.6
2005-05-25,24,Stage 1 - Beja › Beja ,136.7
2005-05-01,75,Stage 5 - Salamanca › Salamanca ,176.0
2005-04-30,110,Stage 4 - Zamora  › Salamanca ,181.0
2005-04-28,95,Stage 2 - Astorga › Zamorga ,168.0
2005-04-27,41,Stage 1 - Astorga › Astorga ,142.0
2005-04-03,53,Stage 7 - Santiago › Santiago ,60.0
2005-04-02,51,Stage 6 - Villa Alemana › Los Andes ,150.0
2005-04-01,50,Stage 5 - Algarrobo › Villa Alemana ,150.0
2005-03-31,23,Stage 4 - Santiago › Algarrobo ,160.0
2005-03-30,32,Stage 3 - Ascenso › Farellones ,51.0
2005-03-28,64,Stage 1a - Talca › Curico ,169.0
2005-03-28,75,Stage 1b (ITT) - Curico › Curico ,20.0
2005-03-27,41,Prologue - Talca › Talca ,4.0
2005-02-19,114,Stage 4 - Castro Marin › Tavira ,155.0
2005-02-18,70,Stage 3 - Vila do Bispo › Lagos ,200.0
2005-02-17,127,Stage 2 - Vila Real de Santo António › Portimao ,207.0
2005-02-16,100,Stage 1 - Albufeira › Albufeira ,140.0
2004-06-20,80,Stage 5a - Polanco › Santander ,134.0
2004-06-20,24,Stage 5b (ITT) - Maliaño  › Alto de Churi ,9.0
2004-06-19,45,Stage 4 - Agua de Solares › Torrelavega ,157.5
2004-06-17,39,Stage 2 - Los Corrales de Buelna › Laredo ,167.0
2004-04-25,6,Stage 5 - Jarandilla de la Vera › Jarandilla de la Vera ,144.0
2004-04-24,9,Stage 4 - Miajada › Miajada ,154.0
2004-04-23,48,Stage 3 - Don Benito › Don Benito ,152.0
2004-04-22,43,Stage 2 - Badajoz › Villafranca de los Barros ,136.0
2004-04-21,22,Stage 1 - Campomajor › Badajoz ,167.0
2002-05-01,9,Stage 6 - Saint-James › Dinan ,151.0
2002-04-30,10,Stage 5 - Rennes › Saint-James ,161.4
2002-04-29,45,Stage 4 - Châtelaudren › Rennes ,152.7
2002-04-28,29,Stage 3 - Le Cambout › Landerneau ,178.6
2002-04-27,19,Stage 2 - Pontchâteau › Ploërmel ,143.2
2002-04-26,43,Stage 1 - Sainte-Anne-d'Aurey › Pontchâteau ,168.6
2002-04-25,8,Prologue - Concarneau › Concarneau ,5.1
