date,result ranking,race name,distance
2007-06-17,DNF,Stage 4 - Viseu › Agueda ,156.9
2007-06-16,50,Stage 3 - Aveiro › Torre (Serre Estrela) ,153.2
2007-06-15,101,Stage 2 - Povoa de Varzim › Oliveira do Barro ,196.0
2007-06-14,127,Stage 1 - Santo Tirso › Povoa de Varzim ,197.6
2007-05-20,104,Stage 4 - Porto › Lordelo ,149.3
2007-05-19,74,Stage 3 - Maia › Rebordosa ,148.3
2007-05-18,59,Stage 2 - Vigo › Maia ,194.9
2007-05-17,122,Stage 1 - Santiago de Compostela › Vigo ,191.7
2007-04-15,97,Stage 5 - Evora › Evora ,186.3
2007-04-14,115,Stage 4 - Redondo › Portalegre ,186.1
2007-04-13,113,Stage 3a - Moura › Serpa ,73.5
2007-04-13,120,Stage 3b (ITT) - Salvada › Beja ,12.5
2007-04-12,106,Stage 2 - Zambujeira › Alcacer Do Sal ,153.5
2007-04-11,111,Stage 1 - Santiago Do Cacem › Odemira ,150.8
2007-06-17,DNF,Stage 4 - Viseu › Agueda ,156.9
2007-06-16,50,Stage 3 - Aveiro › Torre (Serre Estrela) ,153.2
2007-06-15,101,Stage 2 - Povoa de Varzim › Oliveira do Barro ,196.0
2007-06-14,127,Stage 1 - Santo Tirso › Povoa de Varzim ,197.6
2007-05-20,104,Stage 4 - Porto › Lordelo ,149.3
2007-05-19,74,Stage 3 - Maia › Rebordosa ,148.3
2007-05-18,59,Stage 2 - Vigo › Maia ,194.9
2007-05-17,122,Stage 1 - Santiago de Compostela › Vigo ,191.7
2007-04-15,97,Stage 5 - Evora › Evora ,186.3
2007-04-14,115,Stage 4 - Redondo › Portalegre ,186.1
2007-04-13,113,Stage 3a - Moura › Serpa ,73.5
2007-04-13,120,Stage 3b (ITT) - Salvada › Beja ,12.5
2007-04-12,106,Stage 2 - Zambujeira › Alcacer Do Sal ,153.5
2007-04-11,111,Stage 1 - Santiago Do Cacem › Odemira ,150.8
2006-08-20,14,Gran Premio Ciudad de Vigo (1.2) ,
2006-08-12,52,Stage 8 - Favaios › Guarda ,166.4
2006-08-11,33,Stage 7 - Celorico › Mondim (Sra.Graça) ,192.7
2006-08-10,30,Stage 6 - Santo Tirso › Fafe ,150.2
2006-08-09,63,Stage 5 - Gondomar › Felgueiras ,156.5
2006-08-08,97,Stage 4 - Viseu › S.Joao De Madeira ,157.3
2006-08-07,99,Stage 3 - Ansiao › Viseu ,170.7
2006-08-06,102,Stage 2 - Arraiolos › Lisboa ,180.6
2006-08-05,56,Stage 1 - Portimao › Beja ,186.5
2006-06-10,100,Stage 3 - Almeirim › Montejunto ,153.6
2006-06-09,107,Stage 2 - Montemor-o-Velho › Cartaxo ,181.1
2006-06-08,99,Stage 1 - Gaia › Figueira de Foz ,170.8
2006-05-28,67,Stage 5 - Vidigueira › Beja ,163.1
2006-05-27,45,Stage 4 - Arraiolos › Redondo ,194.7
2006-05-26,27,Stage 3 - Alter Do Chao › Portalegre ,142.9
2006-05-25,106,Stage 2 - Mora › Mora ,157.9
2006-05-24,87,Stage 1 - Vendas Novas › Vendas Novas ,175.0
2005-06-21,63,Stage 7 - Potes › Santander ,152.0
2005-06-20,19,Stage 6 - Torrelavega › Potes ,171.0
2005-06-19,38,Stage 5a - Solares › Santander ,113.0
2005-06-19,37,Stage 5b (ITT) - El Astillero › El Astillero ,14.8
2005-06-18,2,Stage 4 - Los Corrales › Los Corrales ,174.8
2005-06-17,35,Stage 3 - Lardo › Camargo ,147.3
2005-06-16,29,Stage 2 - Renedo › Laredo ,171.5
2005-06-15,69,Stage 1 - Santander › Torrelevega ,159.2
2004-08-22,1,Gran Premio Ciudad de Vigo (1.5) ,120.0
2004-06-22,2,Stage 7 - Potes › Santander ,152.0
2004-06-21,30,Stage 6 - Torrelavega › Potes ,196.7
2004-06-20,39,Stage 5a - Polanco › Santander ,134.0
2004-06-20,32,Stage 5b (ITT) - Maliaño  › Alto de Churi ,9.0
2004-06-19,27,Stage 4 - Agua de Solares › Torrelavega ,157.5
2004-06-18,36,Stage 3 - Laredo › Renedo ,156.0
2004-06-17,7,Stage 2 - Los Corrales de Buelna › Laredo ,167.0
2004-06-16,8,Stage 1 - Santander › El Astillero ,153.8
2004-05-29,49,Stage 6 - Tudela › Pamplona ,137.0
2004-05-28,31,Stage 5a - Cascante › Cascante ,102.0
2004-05-28,17,Stage 5b (ITT) - Tudela › Tudela ,14.0
2004-05-27,21,Stage 4 - Sangüesa › Estella ,158.0
2004-05-26,65,Stage 3 - Sangüesa › Sangüesa ,158.0
2004-05-25,17,Stage 2 - Ind. Lizarte › San Miguel de Aralar ,137.0
2004-05-24,5,Stage 1 - Pamplona › Barañáin ,160.0
2003-06-01,64,Stage 6 - Lekunberri › Pamplona ,136.0
2003-05-31,87,Stage 5a - Alsasua › Lekunberri ,81.0
2003-05-31,60,Stage 5b (ITT) - Man.Betelli › Alto de Azpiroz ,9.6
2003-05-30,32,Stage 4 - Alsasua › Alsasua ,150.0
2003-05-29,50,Stage 3 - Tudela › Tafalla ,153.0
2003-05-28,68,Stage 2 - Ind. Lisarte › Tudela ,169.0
2003-05-27,50,Stage 1 - Estella › Elizondo ,148.0
2002-02-13,19,Stage 5 - Portimao › Loule ,166.8
2002-02-12,81,Stage 4 - Albufeira › Portimao ,173.5
2002-02-11,111,Stage 3 - Loule › Albufeira ,171.2
2002-02-10,52,Stage 2 - Castro Marin › Foia ,173.1
2002-02-09,125,Stage 1 - Tavira › Tavira ,173.7
1999-10-03,7,Galera Memorial () ,
