date,result ranking,race name,distance
2021-09-21,DNF,Grand Prix de Denain - Porte du Hainaut (1.Pro) ,200.3
2021-08-29,DNF,Bretagne Classic - Ouest-France (1.UWT) ,251.0
2021-08-15,108,Stage 7 - Zabrze › Kraków ,144.9
2021-08-14,98,Stage 6 (ITT) - Katowice › Katowice ,19.1
2021-08-13,61,Stage 5 - Chochołów › Bielsko-Biała ,172.8
2021-08-12,73,Stage 4 - Tarnów › Bukovina Resort ,159.9
2021-08-11,41,Stage 3 - Sanok › Rzeszów ,226.4
2021-08-10,65,Stage 2 - Zamość › Przemyśl ,200.8
2021-08-09,83,Stage 1 - Lublin › Chełm ,216.4
2021-07-31,DNF,Donostia San Sebastian Klasikoa (1.UWT) ,223.5
2021-06-20,28,National Championships France - Road Race (NC) ,242.9
2021-06-08,32,Mont Ventoux Dénivelé Challenge (1.1) ,153.0
2021-06-06,62,Stage 8 - La Léchère-Les-Bains  › Les Gets ,147.0
2021-06-05,47,Stage 7 - Saint-Martin-le-Vinoux › La Plagne ,171.1
2021-06-04,58,Stage 6 - Loriol-sur-Drome › Le Sappey-en-Chartreuse ,167.2
2021-06-03,96,Stage 5 - Saint-Chamond › Saint-Vallier ,175.4
2021-06-02,62,Stage 4 (ITT) - Firminy › Roche-La-Molière ,16.4
2021-06-01,63,Stage 3 - Langeac › Saint-Haon-Le-Vieux  ,172.2
2021-05-31,58,Stage 2 - Brioude  › Saugues ,172.8
2021-05-30,40,Stage 1 - Issoire › Issoire ,181.8
2021-05-24,DNF,Mercan'Tour Classic Alpes-Maritimes (1.1) ,149.9
2021-05-16,19,Tro-Bro Léon (1.Pro) ,207.0
2021-05-02,49,Stage 5 (ITT) - Fribourg › Fribourg ,16.19
2021-05-01,38,Stage 4 - Sion › Thyon 2000 ,161.3
2021-04-30,61,Stage 3 - Estavayer › Estavayer ,168.7
2021-04-29,65,Stage 2 - La Neuveville › Saint-Imier ,165.7
2021-04-28,101,Stage 1 - Aigle › Martigny ,168.1
2021-04-27,87,Prologue - Oron › Oron ,4.05
2021-03-14,32,Stage 8 - Le Plan-du-Var › Levens ,92.7
2021-03-13,44,Stage 7 - Le Broc › Valdeblore La Colmiane ,119.2
2021-03-12,86,Stage 6 - Brignoles › Biot  97k,202.4
2021-03-11,100,Stage 5 - Vienne › Bollène ,200.2
2021-03-10,40,Stage 4 - Chalon-sur-Saône › Chiroubles ,187.6
2021-03-09,122,Stage 3 (ITT) - Gien › Gien ,14.4
2021-03-08,88,Stage 2 - Oinville-sur-Montcient › Amilly ,188.0
2021-03-07,119,Stage 1 - Saint-Cyr-L'École › Saint-Cyr-L'École ,165.8
2021-02-28,83,Royal Bernard Drome Classic (1.Pro) ,179.2
2021-02-27,82,Faun-Ardèche Classic (1.Pro) ,171.3
2021-02-21,63,Stage 3 - Blausasc › Blausasc ,136.0
2021-02-20,29,Stage 2 - Fayence › Fayence ,168.9
2021-02-19,24,Stage 1 - Biot › Gourdon ,186.8
2021-01-31,9,Grand Prix Cycliste la Marseillaise (1.1) ,171.6
2021-09-21,DNF,Grand Prix de Denain - Porte du Hainaut (1.Pro),200.3
2021-08-29,DNF,Bretagne Classic - Ouest-France (1.UWT),251.0
2021-08-15,108,Stage 7 - Zabrze › Kraków,144.9
2021-08-14,98,Stage 6 (ITT) - Katowice › Katowice,19.1
2021-08-13,61,Stage 5 - Chochołów › Bielsko-Biała,172.8
2021-08-12,73,Stage 4 - Tarnów › Bukovina Resort,159.9
2021-08-11,41,Stage 3 - Sanok › Rzeszów,226.4
2021-08-10,65,Stage 2 - Zamość › Przemyśl,200.8
2021-08-09,83,Stage 1 - Lublin › Chełm,216.4
2021-07-31,DNF,Donostia San Sebastian Klasikoa (1.UWT),223.5
2021-06-20,28,National Championships France - Road Race (NC),242.9
2021-06-08,32,Mont Ventoux Dénivelé Challenge (1.1),153.0
2021-06-06,62,Stage 8 - La Léchère-Les-Bains  › Les Gets,147.0
2021-06-05,47,Stage 7 - Saint-Martin-le-Vinoux › La Plagne,171.1
2021-06-04,58,Stage 6 - Loriol-sur-Drome › Le Sappey-en-Chartreuse,167.2
2021-06-03,96,Stage 5 - Saint-Chamond › Saint-Vallier,175.4
2021-06-02,62,Stage 4 (ITT) - Firminy › Roche-La-Molière,16.4
2021-06-01,63,Stage 3 - Langeac › Saint-Haon-Le-Vieux ,172.2
2021-05-31,58,Stage 2 - Brioude  › Saugues,172.8
2021-05-30,40,Stage 1 - Issoire › Issoire,181.8
2021-05-24,DNF,Mercan'Tour Classic Alpes-Maritimes (1.1),149.9
2021-05-16,19,Tro-Bro Léon (1.Pro),207.0
2021-05-02,49,Stage 5 (ITT) - Fribourg › Fribourg,16.19
2021-05-01,38,Stage 4 - Sion › Thyon 2000,161.3
2021-04-30,61,Stage 3 - Estavayer › Estavayer,168.7
2021-04-29,65,Stage 2 - La Neuveville › Saint-Imier,165.7
2021-04-28,101,Stage 1 - Aigle › Martigny,168.1
2021-04-27,87,Prologue - Oron › Oron,4.05
2021-03-14,32,Stage 8 - Le Plan-du-Var › Levens,92.7
2021-03-13,44,Stage 7 - Le Broc › Valdeblore La Colmiane,119.2
2021-03-12,86,Stage 6 - Brignoles › Biot,202.4
2021-03-11,100,Stage 5 - Vienne › Bollène,200.2
2021-03-10,40,Stage 4 - Chalon-sur-Saône › Chiroubles,187.6
2021-03-09,122,Stage 3 (ITT) - Gien › Gien,14.4
2021-03-08,88,Stage 2 - Oinville-sur-Montcient › Amilly,188.0
2021-03-07,119,Stage 1 - Saint-Cyr-L'École › Saint-Cyr-L'École,165.8
2021-02-28,83,Royal Bernard Drome Classic (1.Pro),179.2
2021-02-27,82,Faun-Ardèche Classic (1.Pro),171.3
2021-02-21,63,Stage 3 - Blausasc › Blausasc,136.0
2021-02-20,29,Stage 2 - Fayence › Fayence,168.9
2021-02-19,24,Stage 1 - Biot › Gourdon,186.8
2021-01-31,9,Grand Prix Cycliste la Marseillaise (1.1),171.6
2020-08-30,50,Brussels Cycling Classic (1.Pro),204.0
