date,result ranking,race name,distance
2004-09-30,90,Omloop van het Houtland Lichtervelde (1.5) ,175.0
2004-09-08,46,Memorial Rik Van Steenbergen (1.2) ,201.0
2004-09-04,76,Delta Ronde van Midden-Zeeland (1.2) ,199.0
2004-08-08,62,Sparkassen Giro Bochum (1.3) ,175.2
2004-08-01,21,La Poly Normande (1.3) ,157.0
2004-06-20,39,Giro d'Oro (1.5) ,176.0
2004-05-09,92,Omloop der Kempen (1.5) ,200.0
2004-04-16,DNF,Veenendaal - Veenendaal (1.2) ,207.0
2004-04-12,35,Rund um Köln (1.2) ,201.2
2004-04-01,DNF,Stage 3 - De Panne › De Panne ,116.0
2004-03-31,161,Stage 2 - Zottegem › Koksijde/Oostduinkerke ,237.0
2004-03-30,157,Stage 1 - Middelkerke › Zottegem ,196.0
2004-03-24,DNF,Dwars door Vlaanderen (1.2) ,204.0
2004-03-05,OTL,Prologue - Bellegem › Bellegem ,7.6
2004-09-30,90,Omloop van het Houtland Lichtervelde (1.5) ,175.0
2004-09-08,46,Memorial Rik Van Steenbergen (1.2) ,201.0
2004-09-04,76,Delta Ronde van Midden-Zeeland (1.2) ,199.0
2004-08-08,62,Sparkassen Giro Bochum (1.3) ,175.2
2004-08-01,21,La Poly Normande (1.3) ,157.0
2004-06-20,39,Giro d'Oro (1.5) ,176.0
2004-05-09,92,Omloop der Kempen (1.5) ,200.0
2004-04-16,DNF,Veenendaal - Veenendaal (1.2) ,207.0
2004-04-12,35,Rund um Köln (1.2) ,201.2
2004-04-01,DNF,Stage 3 - De Panne › De Panne ,116.0
2004-03-31,161,Stage 2 - Zottegem › Koksijde/Oostduinkerke ,237.0
2004-03-30,157,Stage 1 - Middelkerke › Zottegem ,196.0
2004-03-24,DNF,Dwars door Vlaanderen (1.2) ,204.0
2004-03-05,OTL,Prologue - Bellegem › Bellegem ,7.6
2003-10-03,DNF,Luk-Cup Bühl (1.3) ,192.0
2003-08-31,28,Schaal Sels (1.3) ,193.0
2003-08-08,98,Stage 3 - Cafés Delta › Castelo Branco ,150.9
2003-08-07,118,Stage 2 - Loulé › Beja ,148.7
2003-08-06,116,Stage 1 - Albufeira › Tavira ,175.6
2003-07-05,47,Tour du Jura (1.5) ,171.0
2003-06-29,40,National Championships Belgium - Road Race (NC) ,248.2
2003-05-25,56,Stage 5 - Mechelen › Liege-Ans ,201.0
2003-05-24,83,Stage 4 (ITT) - Mechelen › Mechelen ,20.6
2003-05-23,72,Stage 3 - Knokke-Heist › Buggenhout ,224.0
2003-05-22,81,Stage 2 - Oostende › Knokke-Heist ,172.5
2003-05-21,100,Stage 1 - Oostende › Oostende ,176.5
2003-05-18,DNF,Schynberg-Rundfahrt (1.3) ,180.0
2003-04-27,27,Stage 5 - Atlanta › Atlanta ,142.0
2003-04-26,60,Stage 4 - Dalton › Gainesville ,196.0
2003-04-25,103,Stage 3 - Pine Mountain/Callaway › Rome ,222.0
2003-04-24,43,Stage 2 - Macon › Columbus ,199.0
