date,result ranking,race name,distance
2022-07-30,DNF,Donostia San Sebastian Klasikoa (1.UWT) ,224.8
2022-07-24,29,Stage 21 - Paris La Défense › Paris (Champs-Élysées) ,115.6
2022-07-23,21,Stage 20 (ITT) - Lacapelle-Marival › Rocamadour ,40.7
2022-07-22,29,Stage 19 - Castelnau-Magnoac › Cahors ,188.3
2022-07-21,21,Stage 18 - Lourdes › Hautacam ,143.2
2022-07-20,16,Stage 17 - Saint-Gaudens › Peyragudes ,129.7
2022-07-19,28,Stage 16 - Carcassonne › Foix ,178.5
2022-07-17,30,Stage 15 - Rodez › Carcassonne ,202.5
2022-07-16,12,Stage 14 - Saint-Etienne › Mende  144k,192.5
2022-07-15,51,Stage 13 - Bourg d'Oisans › Saint-Etienne ,192.6
2022-07-14,25,Stage 12 - Briançon › L'Alpe d'Huez ,165.1
2022-07-13,79,Stage 11 - Albertville › Col du Granon ,151.7
2022-07-12,3,Stage 10 - Morzine › Megève  95k,148.1
2022-07-10,33,Stage 9 - Aigle › Châtel les portes du Soleil  133k,192.9
2022-07-09,31,Stage 8 - Dole › Lausanne ,186.3
2022-07-08,27,Stage 7 - Tomblaine › La Super Planche des Belles Filles ,176.3
2022-07-07,36,Stage 6 - Binche › Longwy ,219.9
2022-07-06,49,Stage 5 - Lille › Wallers-Arenberg ,157.0
2022-07-05,71,Stage 4 - Dunkerque › Calais ,171.5
2022-07-03,93,Stage 3 - Vejle › Sønderborg ,182.0
2022-07-02,91,Stage 2 - Roskilde › Nyborg ,202.2
2022-07-01,36,Stage 1 (ITT) - Copenhagen › Copenhagen ,13.2
2022-06-12,31,Stage 8 - Saint-Alban-Leysse › Plateau de Salaison ,138.8
2022-06-11,32,Stage 7 - Saint-Chaffrey › Vaujany  68k,134.8
2022-06-10,58,Stage 6 - Rives › Gap ,196.5
2022-06-09,61,Stage 5 - Thizy-les-Bourgs › Chaintré ,162.3
2022-06-08,21,Stage 4 (ITT) - Montbrison › La Bâtie d’Urfé ,31.9
2022-06-07,32,Stage 3 - Saint-Paulien › Chastreix-Sancy ,169.0
2022-06-06,68,Stage 2 - Saint-Péray › Brives-Charensac ,169.8
2022-06-05,38,Stage 1 - La Voulte-sur-Rhône › Beauchastel ,191.8
2022-05-01,91,Stage 5 (ITT) - Aigle › Villars ,15.84
2022-04-30,33,Stage 4 - Aigle › Zinal (Val d'Anniviers) ,180.1
2022-04-29,38,Stage 3 - Valbroye › Valbroye ,165.1
2022-04-28,52,Stage 2 - Échallens › Échallens ,168.2
2022-04-27,38,Stage 1 - La Grande Beroche › Romont ,178.0
2022-04-26,69,Prologue - Lausanne › Lausanne ,5.12
2022-04-24,80,Liège-Bastogne-Liège (1.UWT) ,257.2
2022-04-20,51,La Flèche Wallonne (1.UWT) ,202.1
