date,result ranking,race name,distance
2022-03-20,21,Stage 5 - Castelo de Vide › Évora ,171.9
2022-03-19,36,Stage 4 (ITT) - Castelo de Vide › Castelo de Vide ,8.4
2022-03-18,8,Stage 3 - Elvas › Ponte de Sor ,176.7
2022-03-17,10,Stage 2 - Beja › Portel ,187.7
2022-03-16,9,Stage 1 - Vendas Novas › Sines ,176.7
2022-03-13,3,Classica da Arrabida - Cyclin'Portugal (1.2) ,161.8
2022-03-20,21,Stage 5 - Castelo de Vide › Évora,171.9
2022-03-19,36,Stage 4 (ITT) - Castelo de Vide › Castelo de Vide,8.4
2022-03-18,8,Stage 3 - Elvas › Ponte de Sor,176.7
2022-03-17,10,Stage 2 - Beja › Portel,187.7
2022-03-16,9,Stage 1 - Vendas Novas › Sines,176.7
2022-03-13,3,Classica da Arrabida - Cyclin'Portugal (1.2),161.8
2021-08-15,45,Stage 10 (ITT) - Viseu  › Viseu ,20.3
2021-08-14,55,Stage 9 - Boticas › Mondim de Basto (Senhora da Graça),145.5
2021-08-13,74,Stage 8 - Bragança › Montalegre (Serra do Larouco),160.7
2021-08-12,19,Stage 7 - Felgueiras › Bragança,193.2
2021-08-11,56,Stage 6 - Viana do Castelo › Fafe ,182.4
2021-08-10,9,Stage 5 - Águeda › Santo Tirso (Nossa Senhora da Assunção),171.3
2021-08-08,51,Stage 4 - Belmonte › Guarda,181.6
2021-08-07,101,Stage 3 - Sertã › Covilhã (Torre),170.3
2021-08-06,19,Stage 2 - Ponte de Sor › Castelo Branco,162.1
2021-08-05,113,Stage 1 - Torres Vedras › Setúbal,175.8
2021-08-04,23,Prologue - Lisboa › Lisboa,5.4
2021-06-27,36,Stage 6 - Portalegre › Evora,162.9
2021-06-26,16,Stage 5 (ITT) - Castelo de Vide › Castelo de Vide,8.4
2021-06-26,8,Stage 4 - Monforte › Castelo de Vide,85.0
2021-06-25,3,Stage 3 - Alcacer do Sal › Mora,171.7
2021-06-24,6,Stage 2 - Almodovar › Sines,195.5
2021-06-23,18,Stage 1 - Reguengos de Monsaraz › Beja,193.7
2021-06-20,26,National Championships Portugal - Road Race (NC),192.2
2021-04-03,DNF,Gran Premio Miguel Indurain (1.Pro),203.2
2020-09-30,DNF,Stage 3 - Felgueiras › Viseu,171.9
2020-09-29,41,"Stage 2 - Paredes › Mondim, Alto da Senhora da Graça",167.0
2020-09-28,13,"Stage 1 - Montalegre › Viana do Castelo, Alto Santa Luzia",180.0
2020-09-27,25,Prologue - Fafe › Fafe,7.0
2020-09-20,3,Stage 2 - Turcifal › Carvoeira,145.2
2020-09-19,1,Stage 1 - Torres Vedras › Torres Vedras,145.6
2020-08-16,11,National Championships Portugal - Road Race (NC),165.6
2020-08-14,29,National Championships Portugal - ITT (NC),18.1
2020-08-02,69,Circuito de Getxo-Memorial Hermanos Otxoa (1.1),177.0
2020-02-23,85,Stage 5 (ITT) - Lagoa › Lagoa,20.3
2020-02-22,79,Stage 4 - Albufeira › Malhão,169.7
2020-02-21,16,Stage 3 - Faro › Tavira,201.9
2020-02-20,62,Stage 2 - Sagres › Alto da Fóia,183.9
2020-02-19,14,Stage 1 - Portimão › Lagos,195.6
2019-08-11,24,Stage 10 (ITT) - Vila Nova de Gaia › Porto,19.5
2019-08-10,20,Stage 9 - Fafe › Senhora da Graça,133.5
2019-08-09,19,Stage 8 - Viana do Castelo › Santa Quitéria,158.0
2019-08-08,33,Stage 7 - Bragança › Serra do Larouco,156.2
2019-08-07,15,Stage 6 - Torre de Moncorvo › Bragança,189.2
2019-08-05,23,Stage 5 - Oliveira do Hospital › Guarda,158.0
