date,result ranking,race name,distance
2021-07-25,57,GP Kranj (1.2) ,157.3
2021-06-20,DNF,National Championships Slovenia - Road Race (NC) ,172.0
2021-03-28,DNF,GP Adria Mobil (1.2) ,181.5
2021-03-07,118,Trofej Poreč - Poreč Trophy (1.2) ,156.0
2021-07-25,57,GP Kranj (1.2),157.3
2021-06-20,DNF,National Championships Slovenia - Road Race (NC),172.0
2021-03-28,DNF,GP Adria Mobil (1.2),181.5
2021-03-07,118,Trofej Poreč - Poreč Trophy (1.2),156.0
2020-07-26,74,GP Kranj (1.2),157.3
2020-06-28,32,National Championships Slovenia - ITT (NC),15.7
2020-06-21,34,National Championships Slovenia - Road Race (NC),146.0
2020-03-08,6,Trofej Poreč - Poreč Trophy (1.2),156.0
2020-03-04,34,Trofej Umag - Umag Trophy (1.2),154.0
2019-09-01,86,Croatia- Slovenia (1.2),179.6
2019-08-04,9,GP Kranj (1.2),157.3
2019-07-27,45,Gemenc Grand Prix II (1.2),148.5
2019-07-26,54,Gemenc Grand Prix I (1.2),166.0
2019-06-30,25,National Championships Slovenia - Road Race (NC),149.8
2019-06-23,97,Stage 5 - Trebnje › Novo mesto,167.5
2019-06-22,68,Stage 4 - Nova Gorica › Ajdovščina,153.9
2019-06-21,103,Stage 3 - Žalec › Idrija,169.8
2019-06-20,60,Stage 2 - Maribor › Celje,146.3
2019-06-19,90,Stage 1 - Ljubljana › Rogaška Slatina,171.0
2019-06-16,91,Stage 3 - Traun  › Ternber,147.2
2019-06-15,80,Stage 2 - Eferding › Oberneukirchen,142.9
2019-06-14,70,Stage 1 - Wels › Reichersberg,184.8
2019-06-13,63,Prologue - Linz › Linz,0.7
2019-04-21,76,Stage 4 - Prnjavor › Banjaluka,175.0
2019-04-20,139,Stage 3 - Brčko › Teslić,174.0
2019-04-19,148,Stage 2 - Vlasenica › Brčko,151.0
2019-04-18,94,Stage 1 - Beograd › Vlasenica,193.5
2019-03-17,24,Stage 3 - Pazin › Umag,156.0
2019-03-16,135,Stage 2 - Vrsar › Oprtalj,161.0
2019-03-15,98,Stage 1 - Poreč › Labin,161.0
2019-03-14,81,Prologue - Umag › Umag,2.0
2019-03-09,111,Trofej Poreč - Poreč Trophy (1.2),147.0
2019-03-06,17,Trofej Umag - Umag Trophy (1.2),161.0
2019-02-24,13,GP Slovenian Istria (1.2),156.5
2018-09-16,DNF,Int. RAIFFEISEN Grand Prix Judendorf-Straßengel (1.2),185.4
2018-08-26,DNF,Croatia-Slovenia (1.2),181.6
2018-08-12,DNF,Gran Premio Sportivi di Poggiana - Trofeo Bonin Costruzioni - Gran Premio Pasta Zara (1.2U),169.6
2018-07-29,74,GP Kranj (1.2),157.3
2018-07-08,DNF,Giro del Medio Brenta (1.2),176.0
2018-06-24,DNF,National Championships Slovenia - Road Race (NC),178.5
2018-06-17,134,Stage 5 (ITT) - Trebnje › Novo Mesto,21.5
2018-06-16,119,Stage 4 - Ljubljana › Kamnik,155.2
2018-06-15,139,Stage 3 - Slovenske Konjice › Celje,175.7
2018-06-14,115,Stage 2 - Maribor › Rogaska Slatina,152.7
2018-06-13,113,Stage 1 - Lendava › Murska Sobota,159.0
2018-06-08,20,National Championships Slovenia - ITT (NC),44.0
2018-05-13,DNF,Gran Premio Industrie del Marmo (1.2U),174.7
2018-05-06,17,Circuito del Porto - Trofeo Arvedi (1.2),179.9
2018-05-03,DNF,Stage 6 - Tuchow › Tarnow - Moscice,170.3
2018-05-02,82,Stage 5 - Szczawnica › Nowy Sacz,119.0
2018-05-01,86,Stage 4 - Stara Lubovna › Stara Lubovna,154.9
2018-04-30,89,Stage 3 (ITT) - Stary Smokovec › Hrebienok,2.5
2018-04-29,16,Stage 2a - Trstena › Jablonka,72.4
2018-04-29,75,Stage 2b - Jablonka › Oswiecim,106.0
2018-04-28,103,Stage 1 - Veszprem › Papa,150.0
2018-04-22,DNF,Tr. Città di S. Vendemiano - 58th GP Industria & Commercio (1.2U),171.8
2018-04-14,70,ZLM tour (1.Ncup),178.0
2018-04-03,DNF,G.P. Palio del Recioto (1.2U),156.6
2018-04-02,DNF,Giro del Belvedere (1.2U),166.6
2018-04-01,DNF,GP Adria Mobil (1.2),183.8
2018-03-10,OTL,Stage 2 - Vrsar › Oprtalj,161.0
2018-03-09,142,Stage 1 - Porec › Labin,161.0
2018-03-08,82,Prologue - Umag › Umag,2.0
2018-03-03,40,Trofej Porec - Porec Trophy (1.2),156.0
2018-02-28,50,Trofej Umag - Umag Trophy (1.2),144.4
2018-02-25,36,GP Izola (1.2),106.5
2018-02-18,DNF,GP Laguna Porec (1.2),161.0
2017-09-10,DNF,Int. Raiffeisen Grand Prix Judendorf/Straßengel (1.2),185.4
2017-08-27,2,Croatia-Slovenia (1.2),177.8
2017-08-13,DNF,Gran Premio Sportivi di Poggiana - Trofeo Bonin Costruzioni - Gran premio Pasta Zara (1.2U),169.8
2017-08-05,101,European Continental Championships U23 - Road Race (CC),160.8
2017-07-30,10,GP Kranj (1.2),157.3
2017-07-09,DNF,Giro del Medio Brenta (1.2),175.0
2017-06-18,28,Stage 4 - Rogaska Slatina › Novo Mesto,160.0
2017-06-17,94,Stage 3 - Celje › Rogla,167.7
2017-06-16,31,Stage 2 - Ljubljana › Ljubljana,169.9
2017-06-15,43,Stage 1 - Koper › Kocevje,159.4
2017-06-11,65,Stage 4 - Traun › Ternberg,136.9
2017-06-10,80,Stage 3 - Eferding › Aigen-Schlägl,132.4
2017-06-09,3,Stage 2 - Wels › Obernberg/Inn,192.1
