date,result ranking,race name,distance
2022-06-24,75,National Championships Netherlands U23 - Road Race (NC) ,126.2
2022-06-12,77,Ronde van Limburg (NAT) ,196.2
2022-05-15,20,Simac Omloop der Kempen (NAT) ,188.5
2022-05-08,DNF,Ton Dolmans Trofee (NAT) ,199.0
2022-04-09,DNF,Omloop van de Braakman (NAT) ,177.1
2022-04-09,DNF,Omloop van de Braakman (NAT),177.1
2021-10-03,DNF,Il Piccolo Lombardia (1.2U),169.8
2021-09-28,DNF,Ruota d'Oro - GP Festa del Perdono (1.2U),173.0
2021-08-31,27,Stage 2 - Muszyna › Niedzica-Zamek,130.0
2021-08-30,14,Stage 1 - Tarnów › Ciężkowice,137.0
2021-08-29,10,Stage 0 - Połaniec › Połaniec,4.0
2021-06-19,27,National Championships Netherlands U23 - Road Race (NC),124.1
2021-06-02,21,Trofeo Alcide Degasperi (1.2),159.9
2021-04-25,DNF,Gran Premio della Liberazione (1.2U),138.0
2021-04-18,34,Tr. Città di S. Vendemiano - 61° GP Industria & Commercio (1.2U),179.6
2020-10-11,30,Stage 4 - Percoto › Martignacco,175.4
2020-10-10,36,Stage 3 - San Vito al Tagliamento  › Buja,148.0
2020-10-09,39,Stage 2 - Variano › San Marco di Mereto di Tomba,164.5
2020-10-08,10,Stage 1 (TTT) - Aquileia › Grado,23.7
2020-09-20,DNF,Tr. Città di S. Vendemiano - 60° GP Industria & Commercio (1.2U),175.8
2020-09-12,23,Stage 4 - Kielce › Łódź,200.0
2020-09-11,24,Stage 3 - Sucha Beskidzka › Jaworzno,156.6
2020-09-10,30,Stage 2 - Krosno › Nowy Sącz,154.7
2020-09-09,74,Stage 1 - Nisko › Sędziszów Małopolski,176.0
2020-08-21,47,National Championships Netherlands U23 - Road Race (NC),124.0
2020-03-08,DNF,Dorpenomloop Rucphen (1.2),201.4
2020-02-29,DNF,Craft Ster van Zwolle (1.2),179.1
2019-10-06,DNF,Il Piccolo Lombardia (1.2U),176.0
2019-09-07,26,Stage 4 - Forgaria nel Friuli › San Daniele del Friuli,144.5
2019-09-06,104,Stage 3 - Pordenone › Gorizia ,177.5
2019-09-05,31,Stage 2 - Gemona del Friuli › Lignano,160.0
2019-09-04,21,Stage 1 (TTT) - Torreano di Martignacco › Martignacco,16.1
2019-06-29,27,National Championships Netherlands U23 - Road Race (NC),147.8
2019-06-26,36,National Championships Netherlands U23 - ITT (NC),31.8
2019-04-23,DNF,G.P. Palio del Recioto - Trofeo C&F Resinatura Blocchi (1.2U),159.7
2019-04-22,59,Giro del Belvedere (1.2U),163.0
2019-04-21,DNF,Tr. Città di S. Vendemiano - 59° GP Industria (1.2U),175.0
2018-09-02,34,Stage 4 - Steinmaur › Steinmaur,114.0
2018-09-01,24,Stage 3 (ITT) - Möhlin › Möhlin,9.6
2018-09-01,9,Stage 2 - Möhlin › Möhlin,83.2
2018-08-31,33,Stage 1 - Wittnau › Wittnau,93.6
2018-07-22,14,Stage 3 - Bad Wimsbach-Neydhartin › Gmundnerberg,94.7
2018-07-21,30,Stage 2 - Rohrbach › Rohrbach,109.9
2018-07-20,87,Stage 1 - Ansfelden › Marchtren,96.5
2018-07-11,29,Menen-Kemmel-Menen (1.1),131.7
2018-07-08,34,Stage 2 - Munshausen › Munshausen,93.8
2018-07-07,25,Stage 1 - Ettelbruck › Troisvierges,102.0
2018-06-23,DNF,National Championships Netherlands MJ - Road Race (NC),124.8
2018-04-22,19,EPZ Omloop van Borsele (1.1),130.0
2018-03-18,DNF,Guido Reybrouck Classic (1.1),133.4
2017-09-03,26,Stage 4 - Wohlen › Wohlen,119.4
2017-09-02,35,Stage 3 (ITT) - Möhlin › Möhlin,9.6
2017-09-02,81,Stage 2 - Möhlin › Möhlin,83.2
2017-09-01,51,Stage 1 - Schöftland › Schöftland,107.8
2017-08-27,88,La route des Géants (1.1),122.0
2017-07-11,64,Menen-Kemmel-Menen (1.1),127.0
2017-05-21,30,Stage 4 - Velzeke › Velzeke,96.0
2017-05-20,140,Stage 3 - Sluiskil › Sluiskil,102.8
2017-05-20,67,Stage 2 (ITT) - Axel › Axel,11.1
2017-05-19,148,Stage 1 - Axel › Axel,101.7
2017-04-17,12,Ronde van Gelderland (1.1),128.1
2017-04-09,4,Stage 3 - Dissen › Dissen,120.0
2017-04-08,8,Stage 2b - Cottbus › Cottbus,60.0
2017-04-08,26,Stage 2a (ITT) - Drachhausen › Drachhausen,11.0
2017-04-07,5,Stage 1 - Drebkau › Drebkau,77.2
