date,result ranking,race name,distance
2022-05-08,41,Gran Premio Industrie del Marmo (1.2U) ,174.7
2022-05-03,25,Stage 4 (ITT) - Vysoké Tatry › Vysoké Tatry ,3.0
2022-05-02,16,Stage 2 - Piwniczna-Zdrój › Niedzica Zapora ,149.0
2022-05-01,16,Stage 1 - Stará Ľubovňa › Stará Ľubovňa ,138.4
2022-04-29,18,Prologue - Budapest › Budapest ,2.05
2022-04-25,24,Gran Premio della Liberazione (1.2U) ,138.0
2022-04-19,DNF,G.P. Palio del Recioto - Trofeo C (1.2U) ,147.2
2022-04-03,37,Trofeo Piva (1.2U) ,179.2
2022-03-27,DNF,Trofeo Città di San Vendemiano - Gran Premio Industria e Commercio (1.2U) ,179.6
2022-04-25,24,Gran Premio della Liberazione (1.2U),138.0
2022-04-19,DNF,G.P. Palio del Recioto - Trofeo C (1.2U),147.2
2022-04-03,37,Trofeo Piva (1.2U),179.2
2022-03-27,DNF,Trofeo Città di San Vendemiano - Gran Premio Industria e Commercio (1.2U),179.6
2021-10-11,DNF,Coppa Agostoni - Giro delle Brianze (1.1),180.0
2021-10-01,DNF,Stage 4 - Sant'Agata di Militello › Mascali,180.0
2021-09-30,73,Stage 3 - Termini Imerese › Caronia,180.0
2021-09-29,32,Stage 2 - Selinunte › Mondello,173.0
2021-09-28,42,Stage 1 - Avola › Licata,179.0
2021-09-24,25,World Championships U23 - Road Race (WC),161.1
2021-09-19,DNF,Trofeo Matteotti (1.1),195.0
2021-09-18,DNF,Memorial Marco Pantani (1.1),190.7
2021-09-16,DNF,Coppa Sabatini - Gran Premio città di Peccioli (1.Pro),210.8
2021-09-15,DNF,Giro della Toscana - Memorial Alfredo Martini (1.1),191.6
2021-09-11,60,European Continental Championships U23 - Road Race (CC),133.6
2021-09-05,34,Stage 5 - Bucharest › Bucharest,98.6
2021-09-04,17,Stage 4 - Brasov › Bucharest,159.3
2021-09-03,14,Stage 3 - Sibiu › Poiana Brașov,187.0
2021-09-02,9,Stage 2 - Deva › Păltiniș,154.9
2021-09-01,16,Stage 1 - Timișoara › Deva,201.5
2021-08-31,19,Prologue - Timișoara › Timișoara,4.0
2021-08-22,44,Stage 9 - La Toussuire › Col du Petit Saint-Bernard,151.6
2021-08-21,50,Stage 8 - La Tour-en-Maurienne › Saint Jean d’Arves,71.3
2021-08-20,38,Stage 7 - Saint-Vulbas › Grand Colombier,97.9
2021-08-19,69,Stage 6 - Champagnole › Septmoncel,111.0
2021-08-18,18,Stage 5 - Tomblaine › Bar-sur-Aube,150.7
2021-08-17,43,Stage 4 - Provins › Bar-le-Duc,183.9
2021-08-16,66,Stage 3 - Château-Thierry › Donnemarie-Dontilly,153.4
2021-08-15,21,Stage 2 (TTT) - Laon › Laon,26.8
2021-08-14,38,Stage 1 - Charleville-Mézières › Soissons,161.2
2021-08-13,135,Prologue - Charleville-Mézières › Charleville-Mézières,5.0
2021-08-08,DNF,Gran Premio Sportivi di Poggiana - Trofeo Bonin Costruzioni (1.2U),164.2
2021-07-25,33,GP Kranj (1.2),157.3
2021-07-18,12,Grand Prix Develi ME (1.2),130.8
2021-07-17,24,Grand Prix Velo Erciyes ME (1.2),139.9
2021-07-11,22,Grand Prix Kayseri ME (1.2),136.7
2021-07-10,13,Grand Prix Erciyes - Mimar Sinan ME (1.2),149.3
2021-07-04,33,Kahramanmaraş Grand Prix Road Race ME (1.2),124.5
2021-07-03,15,Germenica Grand Prix Road Race ME (1.2),153.8
2021-06-20,9,National Championships Ukraine - Road Race (NC),227.0
2021-06-19,1,National Championships Ukraine U23 - Road Race (NC),
2021-06-17,6,National Championships Ukraine U23 - ITT (NC),
2021-06-06,27,Stage 3 - Jabłonka › Stary Sącz Przehyba,123.0
2021-06-05,34,Stage 2 - Niepołomice › Nowy Targ ,142.0
2021-06-04,38,Stage 1 - Wieliczka › Myślenice Góra Chełm,124.0
2021-06-03,61,Prologue - Cracow  › Cracow ,1.4
2021-05-30,58,Stage 2 - Białystok › Białystok,124.6
2021-05-29,26,Stage 1 - Białystok › Białystok,143.2
2021-05-02,67,Circuito del Porto - Trofeo Arvedi (1.2),179.9
2021-04-25,DNF,Gran Premio della Liberazione (1.2U),138.0
2021-04-18,DNS,Tr. Città di S. Vendemiano - 61° GP Industria & Commercio (1.2U),179.6
2021-04-05,96,Giro del Belvedere (1.2U),166.8
2021-04-04,37,Trofeo Piva (1.2U),171.08
2021-03-28,DNF,GP Adria Mobil (1.2),181.5
2021-03-07,37,Grand Prix Gündoğmuş ME (1.2),104.5
2021-03-06,65,Grand Prix Mediterrennean ME (1.2),157.4
2021-02-21,25,Grand Prix Velo Alanya ME (1.2),104.5
2021-02-20,77,Grand Prix Velo Manavgat ME (1.2),147.5
2021-02-07,57,Grand Prix Gazipasa (1.2),157.6
2021-02-06,39,Grand Prix Alanya (1.2),147.8
2020-10-11,72,Stage 4 - Percoto › Martignacco,175.4
2020-10-10,101,Stage 3 - San Vito al Tagliamento  › Buja,148.0
2020-10-09,122,Stage 2 - Variano › San Marco di Mereto di Tomba,164.5
2020-10-08,23,Stage 1 (TTT) - Aquileia › Grado,23.7
2020-09-20,DNF,Tr. Città di S. Vendemiano - 60° GP Industria & Commercio (1.2U),175.8
2020-09-19,107,Giro dell'Appennino (1.1),191.5
2020-08-27,89,European Continental Championships U23 - Road Race (CC),136.5
2020-08-24,31,European Continental Championships U23 - ITT (CC),25.6
2020-08-09,DNF,National Championships Ukraine - Road Race (NC),
2020-08-08,2,National Championships Ukraine U23 - Road Race (NC),
2020-08-06,2,National Championships Ukraine U23 - ITT (NC),
2020-02-23,70,Stage 4 - Side › Antalya,136.8
2020-02-22,131,Stage 3 - Aspendos › Termessos,101.6
2020-02-21,122,Stage 2 - Kemer › Antalya,165.3
2020-02-20,133,Stage 1 - Antalya › Antalya,149.2
2020-02-16,50,GP Antalya (1.2),119.0
2020-02-14,30,Grand Prix Gazipasa (1.2),160.2
2020-02-13,OTL,Grand Prix Alanya (1.2),147.8
2020-02-09,31,GP Manavgat (1.2),110.3
2019-09-26,46,World Championships MJ - Road Race (WC),148.1
2019-09-23,31,World Championships MJ - ITT (WC),27.6
2019-09-15,15,Trofeo Buffoni (1.1),135.4
2019-09-01,36,Stage 4 - Ameglia › Luni,107.7
2019-08-31,24,Stage 3 - Casette › Casette,113.6
2019-08-30,44,Stage 2a - Aulla › Castelnuovo Magra,70.6
2019-08-30,52,Stage 2b (ITT) - Bocca di Magra › Montemarcello,4.5
2019-08-29,29,Stage 1 - Lerici › La Specia,100.0
2019-08-09,69,European Continental Championships MJ - Road Race (CC),115.0
2019-08-07,30,European Continental Championships MJ - ITT (CC),22.4
2019-06-28,2,National Championships Ukraine MJ - Road Race (NC),122.0
2019-06-25,2,National Championships Ukraine MJ - ITT (NC),25.0
2019-06-23,DNF,Stage 4 - Walsheim › Walsheim,118.0
2019-06-22,34,Stage 3a - Homburg › Homburg,81.0
2019-06-22,7,Stage 3b (TTT) - Bitche › Reinheim,31.6
2019-06-21,43,Stage 2 - Neunkirchen  › Münchwies,111.0
2019-06-20,40,Stage 1 - Aßweiler  › Erfweiler-Ehlingen,113.0
2019-05-26,27,Stage 3 - Moustoir-Ac › Locminé,107.6
2019-05-26,16,Stage 2 (ITT) - Réguiny › Naizin,7.0
2019-05-25,44,Stage 1 - Plumelin › Plumelin,122.8
2019-05-12,73,Stage 4 - Terezín › Terezín,96.4
2019-05-11,41,Stage 3 - Teplice › Altenberg,99.8
2019-05-10,63,Stage 2b - Roudnice nad Labem › Roudnice nad Labem,80.4
2019-05-10,36,Stage 2a (ITT) - Třebenice › Třebenice,11.2
2019-05-09,58,Stage 1 - Litoměřice › Litoměřice,100.7
2019-05-02,DNF,Stage 2 - Lisewo › Płużnica,86.2
2019-05-01,4,Stage 1a - Gruta › Łasin,58.0
2019-05-01,77,Stage 1b - Jabłonowo Pomorskie › Jabłonowo Pomorskie ,58.8
2018-09-27,66,World Championships MJ - Road Race (WC),131.8
2018-09-25,33,World Championships MJ - ITT (WC),27.7
2018-09-16,DNF,Trofeo Buffoni (1.1),135.4
2018-06-10,56,Stage 4 - Niedergailbach › Bliesdalheim,120.3
2018-06-09,13,Stage 3a - Homburg › Homburg,79.1
2018-06-09,93,Stage 3b (ITT) - Medelsheim › Medelsheim,13.9
2018-06-08,51,Stage 2 - Ormesheim › Altheim,99.5
2018-06-07,85,Stage 1 - Neunkirchen › Münchwies ,110.6
