date,result ranking,race name,distance
2000-08-20,96.0,Dwars door Gendringen (1.4) ,197.4
2000-07-30,57.0,Luk-Cup Bühl (1.3) ,194.0
2000-08-20,96.0,Dwars door Gendringen (1.4) ,197.4
2000-07-30,57.0,Luk-Cup Bühl (1.3) ,194.0
1998-10-04,111.0,Paris - Tours (CDM) ,254.5
1995-04-02,47.0,GP de la Ville de Rennes () ,190.0
1995-04-01,4.0,Stage 1 - Thorigné-sur-Dué  › Thorigné-sur-Dué  ,146.0
1994-05-12,6.0,Grand Prix de Wallonie () ,194.0
1993-09-15,29.0,Paris-Bruxelles () ,251.2
1993-09-12,27.0,GP de Fourmies / La Voix du Nord () ,212.0
1993-07-25,1.0,Liège-Bastogne-Liège U23 (1.2U23) ,
1992-09-13,38.0,GP de Fourmies / La Voix du Nord () ,210.0
1991-09-26,21.0,Omloop van het Houtland Lichtervelde () ,165.0
