date,result ranking,race name,distance
2007-08-15,61,Stage 10 (ITT) - Viseu › Viseu ,38.8
2007-08-14,70,Stage 9 - Oliveira do Bairro › Alto da Torre ,154.2
2007-08-13,97,Stage 8 - Aveiro › São João da Madeira ,157.1
2007-08-12,104,Stage 7 - Lixa › Gondomar ,168.0
2007-08-11,70,Stage 6 - Celorico de Basto › Mondim de Basto (Senhora da Graça) ,143.0
2007-08-09,69,Stage 5 - Felgueiras › Fafe ,167.7
2007-08-08,77,Stage 4 - Guarda › Santo Tirso ,222.1
2007-08-07,87,Stage 3 - Idanha-a-Nova › Gouveia ,176.3
2007-08-06,120,Stage 2 - Vila Viçosa › Castelo Branco ,169.3
2007-08-05,155,Stage 1 - Portimão › Beja ,196.4
2007-08-04,136,Prologue - Portimão › Portimão ,6.8
2007-06-10,38,Stage 3 - ETB (Lurreta) › Arrate (Eibar) ,152.5
2007-06-09,49,Stage 2a - Tolosa › Abadiño ,92.4
2007-06-09,93,Stage 2b (ITT) - Abadiño › Abadiño ,20.5
2007-06-08,25,Stage 1 - Eibar › Tolosa ,172.2
2007-05-27,15,Stage 7 - Lloret de Mar › Barcelona ,119.3
2007-05-26,55,Stage 6 - Lli­via › Lloret de Mar ,177.1
2007-05-25,15,Stage 5 (ITT) - Sornas › Vallnord-Arcalís ,17.1
2007-05-24,10,Stage 4 - Tàrrega › Vallnord-Arinsal ,201.1
2007-05-23,64,Stage 3 - Perafort › Tàrrega ,182.1
2007-05-22,49,Stage 2 - Salou › Perafort ,170.0
2007-05-21,11,Stage 1 (TTT) - Salou › Salou ,15.0
2007-05-07,10,Stage 5 - Gijón › Oviedo ,180.2
2007-05-06,45,Stage 4 - Cangas del Narcea › Gijón ,158.0
2007-05-05,13,Stage 3 - Cafés Toscaf › Alto del Acebo ,180.2
2007-05-04,39,Stage 2 - Llanes › Avilés ,168.0
2007-05-03,17,Stage 1 - Oviedo › Llanes ,150.6
2007-05-01,6,Subida al Naranco (1.1) ,165.9
2007-04-29,40,Stage 3 - Logroño › Logroño ,140.8
2007-04-28,34,Stage 2 - Casalarreina › Casalarreina ,168.0
2007-04-27,52,Stage 1 - Lardero › Calahorra ,150.4
2007-04-14,85,Stage 6 (ITT) - Oiartzun › Oiartzun ,14.0
2007-04-13,80,Stage 5 - Lekunberri › Oiartzun ,169.0
2007-04-12,112,Stage 4 - Vitoria-Gasteiz › Lekunberri ,176.0
2007-04-11,148,Stage 3 - Karrantza › Vitoria-Gasteiz ,173.0
2007-04-10,102,Stage 2 - Urretxu › Karrantza ,191.5
2007-04-09,158,Stage 1 - Urretxu › Urretxu ,139.0
2007-04-07,40,Gran Premio Miguel Indurain (1.HC) ,198.6
2007-03-11,87,Stage 5 ,151.0
2007-03-10,63,Stage 4 (ITT) ,23.0
2007-03-09,86,Stage 3 ,146.0
2007-03-07,75,Stage 1 ,166.0
2007-02-22,27,Stage 5 - Écija › Antequera ,171.0
2007-02-21,39,Stage 4 - Cabra › Córdoba ,179.0
2007-02-20,30,Stage 3 - La Guardia de Jaén ›  ,171.0
2007-02-19,32,Stage 2 - Vegas del Genil ›  ,157.0
2007-02-18,46,Stage 1 - Otura › La Zubia ,147.0
2007-08-15,61,Stage 10 (ITT) - Viseu › Viseu ,38.8
2007-08-14,70,Stage 9 - Oliveira do Bairro › Alto da Torre ,154.2
2007-08-13,97,Stage 8 - Aveiro › São João da Madeira ,157.1
2007-08-12,104,Stage 7 - Lixa › Gondomar ,168.0
2007-08-11,70,Stage 6 - Celorico de Basto › Mondim de Basto (Senhora da Graça) ,143.0
2007-08-09,69,Stage 5 - Felgueiras › Fafe ,167.7
2007-08-08,77,Stage 4 - Guarda › Santo Tirso ,222.1
2007-08-07,87,Stage 3 - Idanha-a-Nova › Gouveia ,176.3
2007-08-06,120,Stage 2 - Vila Viçosa › Castelo Branco ,169.3
2007-08-05,155,Stage 1 - Portimão › Beja ,196.4
2007-08-04,136,Prologue - Portimão › Portimão ,6.8
2007-06-10,38,Stage 3 - ETB (Lurreta) › Arrate (Eibar) ,152.5
2007-06-09,49,Stage 2a - Tolosa › Abadiño ,92.4
2007-06-09,93,Stage 2b (ITT) - Abadiño › Abadiño ,20.5
2007-06-08,25,Stage 1 - Eibar › Tolosa ,172.2
2007-05-27,15,Stage 7 - Lloret de Mar › Barcelona ,119.3
2007-05-26,55,Stage 6 - Lli­via › Lloret de Mar ,177.1
2007-05-25,15,Stage 5 (ITT) - Sornas › Vallnord-Arcalís ,17.1
2007-05-24,10,Stage 4 - Tàrrega › Vallnord-Arinsal ,201.1
2007-05-23,64,Stage 3 - Perafort › Tàrrega ,182.1
2007-05-22,49,Stage 2 - Salou › Perafort ,170.0
2007-05-21,11,Stage 1 (TTT) - Salou › Salou ,15.0
2007-05-07,10,Stage 5 - Gijón › Oviedo ,180.2
2007-05-06,45,Stage 4 - Cangas del Narcea › Gijón ,158.0
2007-05-05,13,Stage 3 - Cafés Toscaf › Alto del Acebo ,180.2
2007-05-04,39,Stage 2 - Llanes › Avilés ,168.0
2007-05-03,17,Stage 1 - Oviedo › Llanes ,150.6
2007-05-01,6,Subida al Naranco (1.1) ,165.9
2007-04-29,40,Stage 3 - Logroño › Logroño ,140.8
2007-04-28,34,Stage 2 - Casalarreina › Casalarreina ,168.0
2007-04-27,52,Stage 1 - Lardero › Calahorra ,150.4
2007-04-14,85,Stage 6 (ITT) - Oiartzun › Oiartzun ,14.0
2007-04-13,80,Stage 5 - Lekunberri › Oiartzun ,169.0
2007-04-12,112,Stage 4 - Vitoria-Gasteiz › Lekunberri ,176.0
2007-04-11,148,Stage 3 - Karrantza › Vitoria-Gasteiz ,173.0
2007-04-10,102,Stage 2 - Urretxu › Karrantza ,191.5
2007-04-09,158,Stage 1 - Urretxu › Urretxu ,139.0
2007-04-07,40,Gran Premio Miguel Indurain (1.HC) ,198.6
2007-03-11,87,Stage 5 ,151.0
2007-03-10,63,Stage 4 (ITT) ,23.0
2007-03-09,86,Stage 3 ,146.0
2007-03-07,75,Stage 1 ,166.0
2007-02-22,27,Stage 5 - Écija › Antequera ,171.0
2007-02-21,39,Stage 4 - Cabra › Córdoba ,179.0
2007-02-20,30,Stage 3 - La Guardia de Jaén ›  ,171.0
2007-02-19,32,Stage 2 - Vegas del Genil ›  ,157.0
2007-02-18,46,Stage 1 - Otura › La Zubia ,147.0
2006-05-20,DNS,Stage 12 - Alessandria › La Thuile ,218.0
2006-05-19,78,Stage 11 - Livorno › Sestri Levante ,171.0
2006-05-18,156,Stage 10 (ITT) - Pontedera › Pontedera ,50.0
2006-05-16,65,Stage 9 - Termoli › Peschici ,187.0
2006-05-15,117,Stage 8 - Francavilla Al Mare › Termoli ,127.0
2006-05-14,69,Stage 7 - Civitanova Marche › Maielletta Passo Lanciano ,171.0
2006-05-13,33,Stage 6 - Cesena › Saltara ,236.0
2006-05-12,109,Stage 5 - Busseto › Forli ,227.0
2006-05-11,165,Stage 4 (TTT) - Piacenza › Cremona ,35.0
2006-05-09,87,Stage 3 - Wanze › Hotton ,193.0
2006-05-08,116,Stage 2 - Perwez › Namur ,202.0
2006-05-07,161,Stage 1 - Mons › Charleroi Marcinelle ,197.0
2006-05-06,130,Prologue - Seraing › Seraing ,6.2
2006-04-23,102,Liège - Bastogne - Liège (PT) ,262.0
2006-04-19,143,La Flèche Wallonne (PT) ,202.0
2006-04-16,97,Amstel Gold Race (PT) ,253.1
2006-03-23,39,Stage 4 - Navacerrada  › Navacerrada  ,148.0
2006-03-20,21,Stage 1 - Valladolid  › Valladolid  ,155.0
2006-03-05,69,Stage 5 - Murcia › Murcia ,138.7
2006-03-04,65,Stage 4 - Caravaca › Collado Bermejo ,146.6
2006-03-03,57,Stage 3 (ITT) - Jumilla › Jumilla ,21.3
2006-03-02,39,Stage 2 - Alcantarilla › Alhama De Murcia ,172.4
