date,result ranking,race name,distance
2003-10-18,DNF,Giro di Lombardia (CDM) ,249.0
2003-10-15,60,Milano-Torino (1.1) ,198.0
2003-09-28,36,Gran Premio Bruno Beghelli (1.2) ,200.0
2003-09-14,48,Stage 5 - Sittard-Geleen › Schijndel ,186.0
2003-09-13,39,Stage 4 - Valkenburg aan de Geul  › Verviers ,203.0
2003-09-12,18,Stage 3 - Valkenburg aan de Geul  › Valkenburg aan de Geul  ,176.0
2003-09-11,55,Stage 2 - Eindhoven › Nuth ,197.0
2003-09-10,61,Prologue - Veldhoven › Veldhoven ,4.8
2003-08-23,33,Giro del Veneto (1.1) ,199.7
2003-08-06,53,GP Città di Camaiore (1.2) ,193.7
2003-06-15,69,GP du canton d'Argovie / GP Gippingen (1.1) ,196.0
2003-06-08,46,Stage 5 - ETB (Iurreta) › Arrate (Eibar) ,147.9
2003-06-07,59,Stage 4a - Murgia › Deba-Itziar ,87.4
2003-06-07,70,Stage 4b (ITT) - Deba › Deba ,16.5
2003-06-06,62,Stage 3 - Aizarnazabal › Santuario Virgen de Oro ,187.6
2003-06-05,106,Stage 2 - Ispaster › Aizarnazabal ,167.2
2003-06-04,115,Stage 1 - Eibar › Ispaster ,146.5
2003-05-17,56,Stage 9 - Bad Elster › Erfurt ,160.5
2003-05-16,15,Stage 8 - Freyburg › Klingentahl ,187.0
2003-05-15,77,Stage 7 - Lübben › Naumburg ,213.6
2003-05-14,75,Stage 6 - Krosno › Frankfurt ,146.6
2003-05-13,74,Stage 5 - Jawor › Zielona Gora ,212.8
2003-05-12,52,Stage 4 - Kłodzko › Wałbrzych ,179.4
2003-05-11,76,Stage 3 - Krnov › Polanica-Zdroj ,191.3
2003-05-10,78,Stage 2 - Unicov › Opava ,155.4
2003-05-09,68,Stage 1 - Olomouc › Olomouc ,111.3
2003-04-27,80,Stage 4 - Caldonazzo › Arco ,156.4
2003-04-26,100,Stage 3 - Fondo › Levico Terme ,165.4
2003-04-25,88,Stage 2 - Moena › Ronzone ,166.5
2003-04-24,108,Stage 1 - Arco › Moena ,170.5
2003-04-21,46,Stage 5 - Carobbio degli Angeli › Bergamo ,157.0
2003-04-20,59,Stage 4 - Castione della Presolana › Clusone ,153.6
2003-04-19,50,Stage 3 - Roncadelle › Roncadelle ,162.0
2003-04-18,42,Stage 2 (ITT) - Almenno San Bartolomeo › Roncola San Bartolomeo ,7.6
2003-04-17,46,Stage 1 - Alzate Brianza › Alzate Brianza ,151.3
2003-03-15,DNF,Stage 2 - Riemst › Riemst ,207.5
2003-03-14,111,Stage 1 - Bladel › Bladel ,240.0
2003-10-18,DNF,Giro di Lombardia (CDM) ,249.0
2003-10-15,60,Milano-Torino (1.1) ,198.0
2003-09-28,36,Gran Premio Bruno Beghelli (1.2) ,200.0
2003-09-14,48,Stage 5 - Sittard-Geleen › Schijndel ,186.0
