date,result ranking,race name,distance
2022-06-23,2,National Championships Slovenia - ITT (NC) ,28.8
2022-06-19,2,Stage 5 - Vrhnika › Novo mesto ,155.7
2022-06-18,37,Stage 4 - Laško › Velika planina ,152.4
2022-06-17,6,Stage 3 - Žalec › Celje ,144.6
2022-06-16,85,Stage 2 - Ptuj › Rogaška Slatina ,174.2
2022-06-15,7,Stage 1 - Nova Gorica › Postojna ,164.7
2022-04-24,37,Liège-Bastogne-Liège (1.UWT) ,257.2
2022-04-17,5,Paris-Roubaix (1.UWT) ,257.2
2022-04-10,13,Amstel Gold Race (1.UWT) ,254.1
2022-04-03,21,Ronde van Vlaanderen - Tour des Flandres ME (1.UWT) ,272.5
2022-03-27,9,Gent-Wevelgem in Flanders Fields ME (1.UWT) ,248.8
2022-03-25,4,E3 Saxo Bank Classic (1.UWT)  79k,203.9
2022-03-19,1,Milano-Sanremo (1.UWT) ,293.0
2022-03-05,DNF,Strade Bianche (1.UWT) ,184.0
2022-02-27,50,Kuurne - Bruxelles - Kuurne (1.Pro) ,195.1
2022-02-26,17,Omloop Het Nieuwsblad ME (1.UWT) ,204.2
2022-02-06,34,Stage 5 - Paterna › Valencia ,92.0
2022-02-05,9,Stage 4 - Orihuela › Torrevieja  ,193.1
2022-02-04,22,Stage 3 - Alicante › Antenas del Maigmó ,155.1
2022-02-03,4,Stage 2 - Bétera › Torrent ,171.5
2022-02-02,9,Stage 1 - Les Alqueries › Torralba del Pinar ,166.7
2022-04-24,37,Liège-Bastogne-Liège (1.UWT),257.2
2022-04-17,5,Paris-Roubaix (1.UWT),257.2
2022-04-10,13,Amstel Gold Race (1.UWT),254.1
2022-04-03,21,Ronde van Vlaanderen - Tour des Flandres ME (1.UWT),272.5
2022-03-27,9,Gent-Wevelgem in Flanders Fields ME (1.UWT),248.8
2022-03-25,4,E3 Saxo Bank Classic (1.UWT),203.9
2022-03-19,1,Milano-Sanremo (1.UWT),293.0
2022-03-05,DNF,Strade Bianche (1.UWT),184.0
2022-02-27,50,Kuurne - Bruxelles - Kuurne (1.Pro),195.1
2022-02-26,17,Omloop Het Nieuwsblad ME (1.UWT),204.2
2022-02-06,34,Stage 5 - Paterna › Valencia,92.0
2022-02-05,9,Stage 4 - Orihuela › Torrevieja ,193.1
2022-02-04,22,Stage 3 - Alicante › Antenas del Maigmó,155.1
2022-02-03,4,Stage 2 - Bétera › Torrent,171.5
2022-02-02,9,Stage 1 - Les Alqueries › Torralba del Pinar,166.7
2021-10-09,DNF,Il Lombardia (1.UWT),239.0
2021-10-03,DNF,Paris-Roubaix (1.UWT),257.7
2021-09-26,14,World Championships - Road Race (WC),268.3
2021-09-12,13,European Continental Championships - Road Race (CC),179.2
2021-09-05,1,Stage 7 - Namur › Geraardsbergen,177.9
2021-09-04,2,Stage 6 - Ottignies-Louvain-la-Neuve › Houffalize,207.6
2021-09-03,8,Stage 5 - Riemst › Bilzen,192.0
2021-09-02,45,Stage 4 - Aalter › Ardooie,166.1
2021-09-01,17,Stage 3 - Essen › Hoogerheide,168.3
2021-08-31,19,Stage 2 (ITT) - Lelystad › Lelystad,11.1
2021-08-30,14,Stage 1 - Surhuisterveen › Dokkum,169.6
2021-08-15,28,Stage 7 - Zabrze › Kraków,144.9
2021-08-14,9,Stage 6 (ITT) - Katowice › Katowice,19.1
2021-08-13,2,Stage 5 - Chochołów › Bielsko-Biała,172.8
2021-08-12,2,Stage 4 - Tarnów › Bukovina Resort,159.9
2021-08-11,38,Stage 3 - Sanok › Rzeszów,226.4
2021-08-10,3,Stage 2 - Zamość › Przemyśl,200.8
2021-08-09,9,Stage 1 - Lublin › Chełm,216.4
2021-08-01,41,Circuito de Getxo - Memorial Hermanos Otxoa (1.1),193.5
2021-07-31,2,Donostia San Sebastian Klasikoa (1.UWT),223.5
2021-07-18,111,Stage 21 - Chatou › Paris Champs-Élysées,108.4
2021-07-17,140,Stage 20 (ITT) - Libourne › Saint-Émilion,30.8
