date,result ranking,race name,distance
2004-05-01,70.0,Ronde van Overijssel (1.5) ,194.9
2004-05-01,70.0,Ronde van Overijssel (1.5) ,194.9
2003-05-03,58.0,Ronde van Overijssel (1.5) ,198.0
2002-08-31,30.0,Tour Beneden-Maas (1.3) ,188.0
2002-08-18,73.0,Dwars door Gendringen (1.3) ,197.4
2002-07-19,46.0,Henk Vos Memorial (1.3) ,180.0
2002-06-29,5.0,National Championships Netherlands U23 - Road Race (NC) ,152.0
2002-05-21,99.0,Stage 3 - Rockanje › Ossendrecht ,156.0
2002-05-20,98.0,Stage 2 - Almere › Rockanje ,190.6
2002-05-19,89.0,Stage 1 - Almere › Almere ,161.2
2002-05-18,39.0,Prologue - Almere › Almere ,4.8
2002-05-09,3.0,Hasselt - Spa - Hasselt (1.5) ,175.0
2002-05-04,18.0,Ronde van Overijssel (1.5) ,199.0
2002-04-28,34.0,GP Stad Vilvoorde (1.5) ,172.0
2002-04-07,61.0,Ronde van Noord-Holland (1.3) ,200.0
2001-05-24,90.0,Hasselt - Spa - Hasselt (1.5) ,179.0
2001-04-08,43.0,Ronde van Noord-Holland (1.4) ,201.0
2000-08-19,49.0,OZ Tour Beneden-Maas (1.5) ,193.0
2000-06-24,11.0,National Championships Netherlands U23 - Road Race (NC) ,156.8
2000-05-06,36.0,Ronde van Overijssel (1.5) ,202.0
2000-04-09,68.0,Ronde van Noord-Holland (1.4) ,202.0
1999-06-26,31.0,National Championships Netherlands U23 - Road Race (NC) ,174.0
1998-10-11,56.0,World Championships MJ - Road Race (WC) ,137.6
