date,result ranking,race name,distance
2022-06-09,DNF,Stage 5 - Thizy-les-Bourgs › Chaintré ,162.3
2022-06-08,136,Stage 4 (ITT) - Montbrison › La Bâtie d’Urfé ,31.9
2022-06-07,148,Stage 3 - Saint-Paulien › Chastreix-Sancy ,169.0
2022-06-06,142,Stage 2 - Saint-Péray › Brives-Charensac ,169.8
2022-06-05,142,Stage 1 - La Voulte-sur-Rhône › Beauchastel ,191.8
2022-05-15,120,Stage 5 - Miskolc › Gyöngyös-Kékestető ,184.0
2022-05-14,13,Stage 4 - Kazincbarcika › Kazincbarcika ,177.0
2022-05-13,6,Stage 3 - Sárospatak › Nyíregyháza ,154.0
2022-05-12,11,Stage 2 - Karcag › Hajdúszoboszló ,192.0
2022-05-11,3,Stage 1 - Csákvár › Székesfehérvár ,197.5
2022-04-16,75,Stage 7 - Gelibolu › Tekirdağ ,131.3
2022-04-15,79,Stage 6 - Edremit (Akçay) › Eceabat (57.Alay Şehitliği) ,201.5
2022-04-14,111,Stage 5 - Manisa › Ayvalık ,186.1
2022-04-13,155,Stage 4 - İzmir (Konak) › Manisa (Spil Milli Park) ,146.2
2022-04-12,135,Stage 3 - Çeşme › İzmir (Karşıyaka) ,117.9
2022-04-11,130,Stage 2 - Selçuk (Efes) › Alaçatı ,156.4
2022-04-10,105,Stage 1 - Bodrum › Kuşadası ,202.0
2022-03-27,DNF,GP Industria  (1.Pro) ,192.2
2022-03-26,83,Stage 5 - Casalguidi › Cantagrillo ,160.0
2022-03-25,105,Stage 4 - Montecatini › Montecatini ,158.7
2022-03-24,104,Stage 3 - San Marino › San Marino ,147.0
2022-03-23,104,Stage 2 - Riccione › Longiano ,165.9
2022-03-22,148,Stage 1 - Riccione › Riccione ,164.6
2022-03-20,DNF,Per Sempre Alfredo (1.1) ,172.7
2022-03-18,84,Bredene Koksijde Classic (1.Pro) ,200.9
2022-03-17,DNF,Grand Prix de Denain - Porte du Hainaut (1.Pro) ,200.3
2022-03-16,DNF,Danilith Nokere Koerse (1.Pro) ,189.8
2022-02-04,DNF,Stage 3 - Alicante › Antenas del Maigmó ,155.1
2022-02-03,55,Stage 2 - Bétera › Torrent ,171.5
2022-02-02,154,Stage 1 - Les Alqueries › Torralba del Pinar ,166.7
2022-01-30,20,Trofeo Playa de Palma - Palma (1.1) ,169.1
2022-04-16,75,Stage 7 - Gelibolu › Tekirdağ,131.3
2022-04-15,79,Stage 6 - Edremit (Akçay) › Eceabat (57.Alay Şehitliği),201.5
2022-04-14,111,Stage 5 - Manisa › Ayvalık,186.1
2022-04-13,155,Stage 4 - İzmir (Konak) › Manisa (Spil Milli Park),146.2
2022-04-12,135,Stage 3 - Çeşme › İzmir (Karşıyaka),117.9
2022-04-11,130,Stage 2 - Selçuk (Efes) › Alaçatı,156.4
2022-04-10,105,Stage 1 - Bodrum › Kuşadası,202.0
2022-03-27,DNF,GP Industria  (1.Pro),192.2
2022-03-26,83,Stage 5 - Casalguidi › Cantagrillo,160.0
2022-03-25,105,Stage 4 - Montecatini › Montecatini,158.7
2022-03-24,104,Stage 3 - San Marino › San Marino,147.0
2022-03-23,104,Stage 2 - Riccione › Longiano,165.9
2022-03-22,148,Stage 1 - Riccione › Riccione,164.6
2022-03-20,DNF,Per Sempre Alfredo (1.1),172.7
2022-03-18,84,Bredene Koksijde Classic (1.Pro),200.9
2022-03-17,DNF,Grand Prix de Denain - Porte du Hainaut (1.Pro),200.3
2022-03-16,DNF,Danilith Nokere Koerse (1.Pro),189.8
2022-02-04,DNF,Stage 3 - Alicante › Antenas del Maigmó,155.1
2022-02-03,55,Stage 2 - Bétera › Torrent,171.5
2022-02-02,154,Stage 1 - Les Alqueries › Torralba del Pinar,166.7
2022-01-30,20,Trofeo Playa de Palma - Palma (1.1),169.1
2021-10-17,DNF,National Championships Great Britain - Road Race (NC),166.0
2021-10-07,1,Gran Piemonte (1.Pro),168.0
2021-10-06,DNF,Milano - Torino (1.Pro),190.0
2021-10-04,14,Coppa Bernocchi - GP BPM (1.Pro),197.15
2021-10-02,DNF,Giro dell'Emilia (1.Pro),195.3
2021-09-21,DNF,Grand Prix de Denain - Porte du Hainaut (1.Pro),200.3
2021-09-19,86,Gooikse Pijl (1.1),199.0
2021-09-18,DNF,Primus Classic (1.Pro),197.7
2021-09-17,109,Kampioenschap van Vlaanderen (1.1),195.3
2021-09-12,DNF,GP de Fourmies / La Voix du Nord (1.Pro),197.6
2021-08-29,DNF,Bretagne Classic - Ouest-France (1.UWT),251.0
2021-08-22,1,Stage 4 - Hinna Park › Stavanger,156.5
2021-08-21,100,Stage 3 - Jørpeland › Jørpeland,159.9
2021-08-20,86,Stage 2 - Sirdal (Tjørhomfjellet) › Sirdal (Fidjeland),185.3
2021-08-19,93,Stage 1 - Egersund › Sokndal (Kroheia),150.8
2021-07-06,3,Stage 3 - Sibiu › Sibiu,205.3
2021-07-05,145,Stage 2 - Sibiu › Bâlea Lac,187.5
2021-07-04,125,Stage 1 - Sibiu › Paltinis,177.9
2021-07-03,4,Prologue - Sibiu › Sibiu,2.5
2021-06-13,121,Stage 8 - Andermatt › Andermatt,159.5
2021-06-12,121,Stage 7 (ITT) - Disentis Sedrun › Andermatt,23.2
2021-06-11,134,Stage 6 - Fiesch › Disentis Sedrun,130.1
2021-06-10,130,Stage 5 - Gstaad › Leukerbad,175.2
2021-06-09,134,Stage 4 - Sankt Urban › Gstaad,171.0
2021-06-08,144,Stage 3 - Lachen › Pfaffnau,182.1
2021-06-07,119,Stage 2 - Neuhausen am Rheinfall › Lachen,178.0
2021-06-06,63,Stage 1 (ITT) - Frauenfeld › Frauenfeld,10.9
2021-03-26,DNS,E3 Saxo Bank Classic (1.UWT),203.9
2021-03-19,54,Bredene Koksijde Classic (1.Pro),199.9
2021-03-17,DNF,Danilith Nokere Koerse ME (1.Pro),195.0
2021-03-07,102,GP Industria & Artigianato (1.Pro),193.4
2021-02-14,7,Stage 4 - Avignon › Salon-de-Provence,163.2
2021-02-13,110,Stage 3 - Istres › Mont Ventoux/Chalet Reynard,153.9
2021-02-12,32,Stage 2 - Cassis › Manosque,174.7
2021-02-11,5,Stage 1 - Aubagne › Six-Fours-les-Plages,182.3
2020-08-26,DNF,European Continental Championships - Road Race (CC),177.45
2019-10-10,OTL,Gran Piemonte (1.HC),183.0
2019-10-06,95,Gran Premio Bruno Beghelli (1.HC),199.3
2019-09-27,71,World Championships U23 - Road Race (WC),171.6
2019-09-22,DNF,Trofeo Matteotti (1.1),195.0
2019-09-21,DNF,Memorial Marco Pantani (1.1),194.7
2019-09-14,61,Stage 8 - Altrincham › Manchester,166.0
2019-09-13,42,Stage 7 - Warwick › Burton Dassett Country Park ,188.7
2019-09-12,92,Stage 6 (ITT) - Pershore › Pershore,14.4
2019-09-11,2,Stage 5 - Birkenhead › Birkenhead,174.1
2019-09-10,71,Stage 4 - Gateshead › Kendal,173.2
2019-09-09,7,Stage 3 - Berwick-upon-Tweed › Newcastle-upon-Tyne,183.2
2019-09-08,79,Stage 2 - Kelso › Kelso,165.9
2019-09-07,11,Stage 1 - Glasgow › Kirkcudbright ,201.5
2019-08-10,10,European Continental Championships U23 - Road Race (CC),138.0
2019-08-04,13,Prudential RideLondon-Surrey Classic (1.UWT),167.0
2019-06-30,16,National Championships Great Britain - Road Race (NC),190.0
2019-06-27,35,National Championships Great Britain U23 - ITT (NC),27.4
2019-06-23,121,Stage 9 - Agordo › Passo Fedaia,39.9
2019-06-22,98,Stage 8 - Rosa › Falcade,133.6
2019-06-21,27,Stage 7 - Dimaro › Levico Terme,131.5
2019-06-20,141,Stage 6 - Aprica › Aprica,94.3
2019-06-19,120,Stage 5 - Sorbolo Mezzani › Passo Maniva,158.3
2019-06-17,75,Stage 4 - Buonconvento › Monte Amiata,140.2
2019-06-16,117,Stage 3 - Sesto Fiorentino › Gaiole in Chianti,145.5
2019-06-15,1,Stage 2 - Bagno di Romagna › Pescia,185.8
2019-06-14,6,Stage 1 - Riccione › Santa Sofia,138.8
2019-06-13,17,Prologue - Riccione › Riccione,3.3
2019-06-02,17,Paris-Roubaix Espoirs (1.2U),170.5
2019-05-26,1,Stage 3 - Petite-Forêt  › Pecquencourt,188.5
2019-05-25,8,Stage 2 - Seclin › Bonningues-lès-Calais,197.8
2019-05-24,2,Stage 1 - Gavrelle › Épinoy,125.7
2019-05-05,3,Entre Brenne et Montmorillonnais (1.2),183.3
2019-05-04,DNF,L'Etoile d'Or (1.Ncup),180.0
2019-05-01,85,Eschborn-Frankfurt (1.2U),119.0
2019-04-20,2,Arno Wallaard Memorial (1.2),183.9
2018-07-01,DNF,National Championships Great Britain - Road Race (NC),185.6
2018-06-28,39,National Championships Great Britain U23 - ITT (NC),28.6
2018-06-10,11,Stage 4 - Lacroix-Saint-Ouen › Beauvais ,181.7
2018-06-09,13,Stage 3 - Morienval › Nanteuil-le-Haudouin ,174.7
2018-06-08,78,Stage 2 - Andeville › Ribécourt-Dreslincourt ,208.2
2018-06-07,82,Stage 1 - Breteuil  › Liancourt,131.1
2018-05-20,1,Stage 3 - Hermies › Arras,192.6
