date,result ranking,race name,distance
2022-06-24,7,National Championships Netherlands - Road Race (NC) ,193.8
2022-06-16,DNS,Stage 5 - Ambri › Novazzano ,190.1
2022-06-15,83,Stage 4 - Grenchen › Brunnen ,190.8
2022-06-14,9,Stage 3 - Aesch › Grenchen ,176.9
2022-06-13,106,Stage 2 - Küsnacht › Aesch ,198.0
2022-06-12,76,Stage 1 - Küsnacht › Küsnacht  ,177.6
2022-05-29,7,Stage 6 - Stavanger › Stavanger ,149.3
2022-05-28,9,Stage 5 - Flekkefjord › Sandnes ,181.7
2022-05-27,5,Stage 4 - Hovden › Kristiansand ,232.1
2022-05-26,45,Stage 3 - Gol › Stavsro/Gaustatoppen ,175.8
2022-05-25,2,Stage 2 - Ulvik › Geilo ,123.8
2022-05-24,8,Stage 1 - Bergen › Voss ,173.6
2022-04-17,20,Paris-Roubaix (1.UWT) ,257.2
2022-04-10,45,Amstel Gold Race (1.UWT) ,254.1
2022-04-03,19,Ronde van Vlaanderen - Tour des Flandres ME (1.UWT) ,272.5
2022-03-30,28,Dwars door Vlaanderen - A travers la Flandre ME (1.UWT) ,183.7
2022-03-27,51,Gent-Wevelgem in Flanders Fields ME (1.UWT) ,248.8
2022-03-25,12,E3 Saxo Bank Classic (1.UWT) ,203.9
2022-03-12,DNF,Stage 7 - Nice › Col de Turini ,155.2
2022-03-11,107,Stage 6 - Courthézon › Aubagne ,213.6
2022-03-10,102,Stage 5 - Saint-Just-Saint-Rambert › Saint-Sauveur-de-Montagut ,188.8
2022-03-09,80,Stage 4 (ITT) - Domérat › Montluçon ,13.4
2022-03-08,81,Stage 3 - Vierzon › Dun-le-Palestel ,190.8
2022-03-07,56,Stage 2 - Auffargis › Orléans ,159.2
2022-03-06,104,Stage 1 - Mantes-la-Ville › Mantes-la-Ville ,159.8
2022-02-27,14,Kuurne - Bruxelles - Kuurne (1.Pro) ,195.1
2022-02-26,24,Omloop Het Nieuwsblad ME (1.UWT) ,204.2
2022-04-17,20,Paris-Roubaix (1.UWT),257.2
2022-04-10,45,Amstel Gold Race (1.UWT),254.1
2022-04-03,19,Ronde van Vlaanderen - Tour des Flandres ME (1.UWT),272.5
2022-03-30,28,Dwars door Vlaanderen - A travers la Flandre ME (1.UWT),183.7
2022-03-27,51,Gent-Wevelgem in Flanders Fields ME (1.UWT),248.8
2022-03-25,12,E3 Saxo Bank Classic (1.UWT),203.9
2022-03-12,DNF,Stage 7 - Nice › Col de Turini,155.2
2022-03-11,107,Stage 6 - Courthézon › Aubagne,213.6
