date,result ranking,race name,distance
2022-06-26,13,National Championships Japan - Road Race (NC) ,184.5
2022-06-24,10,National Championships Japan - ITT (NC) ,36.0
2022-05-29,14,Stage 3 - Taiji › Taiji ,104.3
2022-05-28,7,Stage 2 - Kushiyacho › Kushiyacho ,104.5
2022-05-27,23,Stage 1 - Shingu › Shingu ,114.0
2022-05-22,27,Stage 4 - Tokyo › Tokyo ,112.0
2022-05-21,42,Stage 3 - Sagamihara › Sagamihara ,107.7
2022-05-20,5,Stage 2 - Fuji International Speedway › Mount Fuji ,78.8
2022-05-19,3,Stage 1 - Iida › Iida ,119.5
2022-03-29,2,Asian Cycling Championships - Road Race (CC) ,175.0
2022-03-27,2,Asian Cycling Championships - ITT (CC) ,24.0
2022-03-29,2,Asian Cycling Championships - Road Race (CC),175.0
2022-03-27,2,Asian Cycling Championships - ITT (CC),24.0
2021-10-24,2,National Championships Japan - Road Race (NC),184.5
2021-10-22,1,National Championships Japan - ITT (NC),36.0
2021-10-10,22,Oita Urban Classic (1.2),150.6
2021-07-24,84,Olympic Games Road Race (Olympics),234.0
2021-05-30,27,Stage 3 - Tokyo › Tokyo,112.0
2021-05-29,26,Stage 2 - Sagamihara › Sagamihara,108.5
2021-05-28,1,Stage 1 - Fuji International Speedway › Mount Fuji,78.8
2020-10-12,20,Prueba Villafranca-Ordiziako Klasika (1.1),165.7
2020-03-05,22,Stage 5 - Kaohsiung City › Kaohsiung City,128.47
2020-03-04,40,Stage 4 - Pingtung City › Dapeng Bay National Scenic Area,174.3
2020-03-03,23,Stage 3 - Hsinchu › Shigang,156.5
2020-03-02,5,Stage 2 - Taoyuan ›  Jiaobanshan Park,118.88
2020-03-01,51,Stage 1 - Taipei › Taipei,83.2
2020-02-15,12,Malaysian International Classic Race (1.1),159.0
2020-02-14,55,Stage 8 - Dataran Lang › Kuah,108.5
2020-02-13,78,Stage 7 - Bagan › Alor Setar,130.4
2020-02-12,46,Stage 6 - Taiping › Penang Island,150.9
2020-02-11,69,Stage 5 - Kuala Kubu Baru › Ipoh,165.8
2020-02-10,29,Stage 4 - Putrajaya › Genting Highlands,156.1
2020-02-09,65,Stage 3 - Temerloh › Kuala Lumpur,162.5
2020-02-08,122,Stage 2 - Kuala Terengganu › Kerteh,175.5
2020-02-07,99,Stage 1 - Kuching › Kuching,85.6
2019-11-10,1,Tour de Okinawa (1.2),210.0
2019-10-20,14,Japan Cup Cycle Road Race (1.HC),144.2
2019-09-08,33,Stage 3 - Kitami › Tohma,179.9
2019-09-07,5,Stage 2 - Obihiro › Kitami,171.8
2019-09-06,24,Stage 1 - Asahikawa › Shintoku,181.6
2019-08-17,DNF,Stage 3 - Olomouc › Uničov,175.3
2019-08-16,60,Stage 2 - Olomouc › Frýdek-Místek,186.6
2019-08-15,17,Stage 1 (TTT) - Ostrava › Ostrava,16.0
2019-08-04,73,Stage 4 - Ottmarsheim › Dannemarie,143.0
2019-08-03,37,Stage 3 - Ribeauvillé › Station du Lac Blanc,161.3
2019-08-02,56,Stage 2 - Vesoul › La Planche des Belles Filles,141.1
2019-08-01,32,Stage 1 - Sélestat › Sélestat,153.4
2019-07-31,50,Prologue - Sausheim › Sausheim,4.3
2019-07-25,68,Prueba Villafranca-Ordiziako Klasika (1.1),165.7
2019-07-21,21,Tokyo 2020 Test Event (1.2),180.2
2019-06-30,8,National Championships Japan - Road Race (NC),227.0
2019-06-27,1,National Championships Japan - ITT (NC),39.0
2019-05-26,35,Stage 8 - Tokyo › Tokyo,112.0
2019-05-25,25,Stage 7 - Izu › Izu,122.0
2019-05-24,4,Stage 6 - Fuji › Fuji,36.0
2019-05-23,21,Stage 5 - Minamishinshu › Minamishinshu,123.6
2019-05-22,25,Stage 4 - Mino › Mino,139.4
2019-05-21,15,Stage 3 - Inabe › Inabe,127.0
