date,result ranking,race name,distance
2017-06-25,DNF,National Championships Norway - Road Race (NC) ,200.0
2017-05-27,10,Stage 2 - Tartu › Tartu ,172.8
2017-05-26,33,Stage 1 - Tallinn › Tartu ,211.2
2017-05-13,46,Scandinavian Race in Uppsala 1909-2017 (1.2) ,193.5
2017-05-07,DNF,Ringerike GP (1.2) ,166.8
2017-05-06,DNF,Sundvolden GP (1.2) ,155.2
2017-03-28,DNF,Stage 3 - Taoyuan  › Taoyuan  ,118.9
2017-03-27,104,Stage 2 - Taipei › Taipei ,114.7
2017-03-26,105,Stage 1 - Taipei › Taipei ,83.2
2017-03-12,77,Stage 3 - Rhodos › Rhodos ,175.0
2017-03-11,106,Stage 2 - Rhodos › Rhodos ,172.0
2017-03-10,68,Stage 1 - Rhodos › Rhodos ,156.0
2017-03-05,114,International Rhodes Grand Prix (1.2) ,191.0
2017-06-25,DNF,National Championships Norway - Road Race (NC) ,200.0
2017-05-27,10,Stage 2 - Tartu › Tartu ,172.8
2017-05-26,33,Stage 1 - Tallinn › Tartu ,211.2
2017-05-13,46,Scandinavian Race in Uppsala 1909-2017 (1.2) ,193.5
2017-05-07,DNF,Ringerike GP (1.2) ,166.8
2017-05-06,DNF,Sundvolden GP (1.2) ,155.2
2017-03-28,DNF,Stage 3 - Taoyuan  › Taoyuan  ,118.9
2017-03-27,104,Stage 2 - Taipei › Taipei ,114.7
2017-03-26,105,Stage 1 - Taipei › Taipei ,83.2
2017-03-12,77,Stage 3 - Rhodos › Rhodos ,175.0
2017-03-11,106,Stage 2 - Rhodos › Rhodos ,172.0
2017-03-10,68,Stage 1 - Rhodos › Rhodos ,156.0
2017-03-05,114,International Rhodes Grand Prix (1.2) ,191.0
2016-09-04,DNF,Stage 5 - Hinna Park › Stavanger ,183.8
2016-09-03,94,Stage 4 - Stavanger › Sandnes ,165.6
2016-09-02,102,Stage 3 - Ulvik › Suldalsosen  ,221.0
2016-09-01,64,Stage 2 - Stord › Odda ,212.5
2016-08-31,109,Stage 1 - Os › Bergen ,146.9
2016-08-13,7,Stage 3b - Miercurea Ciuc › Miercurea Ciuc ,123.0
2016-08-13,42,Stage 3a (ITT) - Baile Harhita › Baile Harhita ,6.1
2016-08-12,63,Stage 2 - Odorheiu Secuiesc › Baile Harghita ,163.0
2016-08-11,105,Stage 1 - Miercurea Ciuc › Miercurea Ciuc ,184.0
2016-08-07,DNF,Odessa Grand Prix (1.2) ,141.7
2016-08-06,DNF,Tour de Ribas (1.2) ,154.1
2016-07-30,60,Stage 3 - Nowy Dwor Mazowiecki › Nowy Dwor Mazowiecki ,187.0
2016-07-29,109,Stage 2 - Teresin › Teresin ,168.0
2016-07-28,37,Stage 1 - Kozienice › Kozienice ,165.0
2016-07-27,140,Prologue - Warszawa › Warszawa ,2.5
2016-06-26,56,National Championships Norway - Road Race (NC) ,189.0
2016-06-19,10,National Championships Norway U23 - Road Race (NC) ,142.0
2016-05-28,20,Stage 2 -  Tartu ›  Tartu ,144.0
