date,result ranking,race name,distance
2022-03-19,DNF,Stage 3 - Leek › Leek ,182.6
2022-03-18,121,Stage 2 - Westerbork › Wijster ,173.1
2022-03-17,107,Stage 1b - Hardenberg › Hardenberg ,74.6
2022-03-17,18,Stage 1a (TTT) - Hardenberg › Hardenberg ,7.2
2022-03-19,DNF,Stage 3 - Leek › Leek,182.6
2022-03-18,121,Stage 2 - Westerbork › Wijster,173.1
2022-03-17,107,Stage 1b - Hardenberg › Hardenberg,74.6
2022-03-17,18,Stage 1a (TTT) - Hardenberg › Hardenberg,7.2
2019-11-03,71,Stage 10 - Kombissiri › Ouagadougou,100.6
2019-11-02,35,Stage 9 - Bobo Dioulasso › Diebougou,133.3
2019-11-01,73,Stage 8 - Bobo Dioulasso › Sindou,137.5
2019-10-31,25,Stage 7 - Dedougou › Bobo Dioulasso,182.5
2019-10-30,53,Stage 6 - Ouagadougou › Koudougou,118.3
2019-10-29,62,Stage 5 - Bousse › Ouahigouya,135.5
2019-10-28,54,Stage 4 - Bittou › Koupela,101.8
2019-10-27,37,Stage 3 - Tenkodogo › Dapong,145.0
2019-10-26,69,Stage 2 - Ouagadougou › Tenkodogo,150.5
2019-10-25,4,Stage 1 (TTT) - Ouagadougou › Ouagadougou,7.0
2014-05-25,DNF,Simac Omloop der Kempen (1.2),200.0
