date,result ranking,race name,distance
2004-06-27,1,National Championships Ukraine - Road Race (NC) ,
2004-06-22,15,Stage 7 - Potes › Santander ,152.0
2004-06-21,22,Stage 6 - Torrelavega › Potes ,196.7
2004-06-20,21,Stage 5a - Polanco › Santander ,134.0
2004-06-20,20,Stage 5b (ITT) - Maliaño  › Alto de Churi ,9.0
2004-06-19,14,Stage 4 - Agua de Solares › Torrelavega ,157.5
2004-06-18,1,Stage 3 - Laredo › Renedo ,156.0
2004-06-17,3,Stage 2 - Los Corrales de Buelna › Laredo ,167.0
2004-06-16,23,Stage 1 - Santander › El Astillero ,153.8
2004-04-24,4,Stage 5 - Palma › Castillo de Bellver ,93.8
2004-04-24,36,Stage 4 - Santa Margarita › Santa Margarita ,144.0
2004-04-23,13,Stage 3 - Son Ferriol › Son Ferriol ,141.7
2004-04-22,23,Stage 2 - Port de Pollença › Port de Pollença ,137.4
2004-04-21,26,Stage 1 (ITT) - El Arenal › Playa de Palma ,7.1
2004-06-27,1,National Championships Ukraine - Road Race (NC) ,
2004-06-22,15,Stage 7 - Potes › Santander ,152.0
2004-06-21,22,Stage 6 - Torrelavega › Potes ,196.7
2004-06-20,21,Stage 5a - Polanco › Santander ,134.0
2004-06-20,20,Stage 5b (ITT) - Maliaño  › Alto de Churi ,9.0
2004-06-19,14,Stage 4 - Agua de Solares › Torrelavega ,157.5
2004-06-18,1,Stage 3 - Laredo › Renedo ,156.0
2004-06-17,3,Stage 2 - Los Corrales de Buelna › Laredo ,167.0
2004-06-16,23,Stage 1 - Santander › El Astillero ,153.8
2004-04-24,4,Stage 5 - Palma › Castillo de Bellver ,93.8
2004-04-24,36,Stage 4 - Santa Margarita › Santa Margarita ,144.0
2004-04-23,13,Stage 3 - Son Ferriol › Son Ferriol ,141.7
2004-04-22,23,Stage 2 - Port de Pollença › Port de Pollença ,137.4
2004-04-21,26,Stage 1 (ITT) - El Arenal › Playa de Palma ,7.1
1998-09-12,DNF,Stage 9 - La Terrasse  › Courchevel  ,149.0
1998-09-11,67,Stage 8 - Chambéry  › Saint-Pierre-de-Chartreuse  ,177.0
1998-09-10,58,Stage 7 - Bellegarde-sur-Valserine  › Chambéry  ,172.0
1998-09-09,92,Stage 6 (ITT) - Malbuisson  › Pontarlier  ,28.0
1998-09-07,70,Stage 4 - Salbris  › Château-Chinon  ,209.0
1998-09-06,42,Stage 3 - Bonneval  › Salbris  ,156.0
1998-09-05,31,Stage 2 - Vimoutiers  › Bonneval ,162.5
1998-09-04,87,Stage 1 - Argentré-du-Plessis  › Vimoutiers  ,189.0
1998-09-03,110,Prologue - Argentré-du-Plessis  › Argentré-du-Plessis  ,8.0
