date,result ranking,race name,distance
2004-08-07,39,Clasica Ciclista San Sebastian (CDM) ,227.0
2004-08-01,16,HEW Cyclassics (CDM) ,250.3
2004-07-04,3,Trofeo Matteotti (1.2) ,188.5
2004-06-27,3,National Championships Switzerland - Road Race (NC) ,203.0
2004-06-20,33,"Stage 9 (ITT) - 
Lugano › Lugano ",25.6
2004-06-19,16,"Stage 8 - 
Buchs › Bellinzone ",91.0
2004-06-18,18,"Stage 7 - 
Linthal › Malbun ",133.0
2004-06-17,12,"Stage 6 - 
Frutigen › Linthal ",185.4
2004-06-16,17,"Stage 5 - 
Bätterkinden › Adelboden ",161.7
2004-06-15,35,"Stage 4 - 
Vallée de Joux › Bätterkinden ",211.6
2004-06-14,14,"Stage 3 - 
Rheinfelden › Juraparc-Vallorbe ",185.0
2004-06-13,11,"Stage 2 - 
Dürrenroth › Rheinfelden ",169.9
2004-06-12,2,Stage 1 - Sursee › Beromünster ,176.0
2004-05-23,DNF,Stage 5 - Florac › Sète (Mont Saint-Clair) ,203.0
2004-05-22,41,Stage 4 - Pont-du-Gard › Mende (Côte de la Croix-Neuve) ,161.0
2004-05-21,84,Stage 3 - Ganges › Aigues-Mortes ,162.0
2004-05-20,56,Stage 2 - Port Leucate › Narbonne ,188.0
2004-05-19,93,Stage 1 - Maury › Port-Vendres ,167.0
2004-05-02,20,Stage 5 (ITT) - Lausanne › Lausanne ,20.4
2004-05-01,53,Stage 4 - Sion › Sion ,127.7
2004-04-30,85,Stage 3 - Romont › Morgins ,145.7
2004-04-29,58,Stage 2 - Romont › Romont ,156.2
2004-04-28,85,Stage 1 - Yverdon-les-Bains › Yverdon-les-Bains ,175.2
2004-04-27,23,Prologue - Genève › Genève ,3.4
2004-04-25,54,Liège - Bastogne - Liège (CDM) ,258.5
2004-04-21,92,La Flèche Wallonne (1.HC) ,199.5
2004-04-18,11,Amstel Gold Race (CDM) ,251.1
2004-04-04,83,Ronde van Vlaanderen / Tour des Flandres ME (CDM) ,257.0
2004-04-01,55,Stage 4 (ITT) - De Panne › De Panne ,13.7
2004-04-01,105,Stage 3 - De Panne › De Panne ,116.0
2004-03-31,76,Stage 2 - Zottegem › Koksijde/Oostduinkerke ,237.0
2004-03-30,98,Stage 1 - Middelkerke › Zottegem ,196.0
2004-03-20,26,Milano-Sanremo (CDM) ,294.0
2004-03-16,23,Stage 7 - San Benedetto del Tronto › San Benedetto del Tronto ,162.0
2004-03-15,49,Stage 6 - Monte San Pietrangeli › Torre San Patrizio ,185.0
2004-03-14,12,Stage 5 - Paglieta › Torricella Sicura ,215.0
2004-03-13,7,Stage 4 - Isernia › Paglieta ,179.0
2004-03-12,19,Stage 3 - Maddaloni › Isernia ,168.0
2004-03-11,48,Stage 2 - Latina › Maddaloni ,164.0
2004-03-10,57,Stage 1 - Sabaudia › Sabaudia ,172.0
2004-02-29,79,Kuurne-Bruxelles-Kuurne (1.2) ,193.0
2004-02-22,51,Classic Haribo (1.3) ,204.0
2004-02-21,15,Tour du Haut Var (1.2) ,180.0
2004-02-15,26,Stage 5 (ITT) - La Garde › Toulon (Mt. Faron) ,26.0
2004-02-14,73,Stage 4 - Greasque › Marignane ,147.0
2004-02-13,65,Stage 3 - Rousset › Berre l'Etang ,122.0
2004-02-12,4,Stage 2 - La Londe-les-Maures  › Hyères ,130.0
2004-02-11,45,Stage 1 - Le Cannet › Menton ,111.0
2004-02-03,51,Trofeo Sóller (1.3) ,151.0
2004-02-02,101,Trofeo Alcudia (1.3) ,159.0
2004-08-07,39,Clasica Ciclista San Sebastian (CDM) ,227.0
2004-08-01,16,HEW Cyclassics (CDM) ,250.3
2004-07-04,3,Trofeo Matteotti (1.2) ,188.5
2004-06-27,3,National Championships Switzerland - Road Race (NC) ,203.0
2004-06-20,33,"Stage 9 (ITT) - 
Lugano › Lugano ",25.6
2004-06-19,16,"Stage 8 - 
Buchs › Bellinzone ",91.0
2004-06-18,18,"Stage 7 - 
Linthal › Malbun ",133.0
2004-06-17,12,"Stage 6 - 
Frutigen › Linthal ",185.4
2004-06-16,17,"Stage 5 - 
Bätterkinden › Adelboden ",161.7
2004-06-15,35,"Stage 4 - 
Vallée de Joux › Bätterkinden ",211.6
2004-06-14,14,"Stage 3 - 
Rheinfelden › Juraparc-Vallorbe ",185.0
2004-06-13,11,"Stage 2 - 
Dürrenroth › Rheinfelden ",169.9
2004-06-12,2,Stage 1 - Sursee › Beromünster ,176.0
2004-05-23,DNF,Stage 5 - Florac › Sète (Mont Saint-Clair) ,203.0
2004-05-22,41,Stage 4 - Pont-du-Gard › Mende (Côte de la Croix-Neuve) ,161.0
2004-05-21,84,Stage 3 - Ganges › Aigues-Mortes ,162.0
2004-05-20,56,Stage 2 - Port Leucate › Narbonne ,188.0
2004-05-19,93,Stage 1 - Maury › Port-Vendres ,167.0
2004-05-02,20,Stage 5 (ITT) - Lausanne › Lausanne ,20.4
2004-05-01,53,Stage 4 - Sion › Sion ,127.7
2004-04-30,85,Stage 3 - Romont › Morgins ,145.7
2004-04-29,58,Stage 2 - Romont › Romont ,156.2
2004-04-28,85,Stage 1 - Yverdon-les-Bains › Yverdon-les-Bains ,175.2
2004-04-27,23,Prologue - Genève › Genève ,3.4
2004-04-25,54,Liège - Bastogne - Liège (CDM) ,258.5
2004-04-21,92,La Flèche Wallonne (1.HC) ,199.5
2004-04-18,11,Amstel Gold Race (CDM) ,251.1
2004-04-04,83,Ronde van Vlaanderen / Tour des Flandres ME (CDM) ,257.0
2004-04-01,55,Stage 4 (ITT) - De Panne › De Panne ,13.7
2004-04-01,105,Stage 3 - De Panne › De Panne ,116.0
2004-03-31,76,Stage 2 - Zottegem › Koksijde/Oostduinkerke ,237.0
2004-03-30,98,Stage 1 - Middelkerke › Zottegem ,196.0
2004-03-20,26,Milano-Sanremo (CDM) ,294.0
2004-03-16,23,Stage 7 - San Benedetto del Tronto › San Benedetto del Tronto ,162.0
2004-03-15,49,Stage 6 - Monte San Pietrangeli › Torre San Patrizio ,185.0
2004-03-14,12,Stage 5 - Paglieta › Torricella Sicura ,215.0
2004-03-13,7,Stage 4 - Isernia › Paglieta ,179.0
2004-03-12,19,Stage 3 - Maddaloni › Isernia ,168.0
2004-03-11,48,Stage 2 - Latina › Maddaloni ,164.0
2004-03-10,57,Stage 1 - Sabaudia › Sabaudia ,172.0
2004-02-29,79,Kuurne-Bruxelles-Kuurne (1.2) ,193.0
2004-02-22,51,Classic Haribo (1.3) ,204.0
2004-02-21,15,Tour du Haut Var (1.2) ,180.0
2004-02-15,26,Stage 5 (ITT) - La Garde › Toulon (Mt. Faron) ,26.0
2004-02-14,73,Stage 4 - Greasque › Marignane ,147.0
2004-02-13,65,Stage 3 - Rousset › Berre l'Etang ,122.0
2004-02-12,4,Stage 2 - La Londe-les-Maures  › Hyères ,130.0
2004-02-11,45,Stage 1 - Le Cannet › Menton ,111.0
2004-02-03,51,Trofeo Sóller (1.3) ,151.0
2004-02-02,101,Trofeo Alcudia (1.3) ,159.0
2003-10-18,DNF,Giro di Lombardia (CDM) ,249.0
2003-10-15,34,Milano-Torino (1.1) ,198.0
2003-10-12,70,World Championships - Road Race (WC) ,260.4
2003-09-28,16,Gran Premio Bruno Beghelli (1.2) ,200.0
2003-09-27,9,Giro dell'Emilia (1.1) ,196.6
2003-09-25,42,Coppa Sabatini (1.2) ,197.7
2003-09-21,3,GP Industria & Commercio di Prato (1.1) ,200.0
2003-09-20,31,Giro del Lazio (1.HC) ,196.0
2003-09-06,3,Coppa Placci (1.1) ,199.9
2003-08-23,4,Giro del Veneto (1.1) ,199.7
2003-08-21,30,Coppa Bernocchi (1.3) ,199.0
2003-08-19,4,Tre Valli Varesine (1.1) ,193.2
2003-08-17,7,Züri Metzgete (CDM) ,236.6
2003-08-09,29,Clasica Ciclista San Sebastian (CDM) ,227.0
2003-08-03,40,HEW Cyclassics (CDM) ,250.3
2003-07-27,97,Stage 5 - Dresden › Dresden ,160.0
2003-07-26,44,Stage 4 - Leipzig › Meissen ,187.0
2003-07-25,1,Stage 3 - Chemnitz › Leipzig ,185.0
2003-07-24,69,Stage 2 - Werdau › Chemnitz ,202.0
2003-07-23,32,Stage 1b - Dresden › Crimmitschau ,123.0
2003-07-23,2,Prologue - Dresden › Dresden ,2.8
2003-07-06,7,Trofeo Matteotti (1.2) ,150.0
2003-06-29,4,National Championships Switzerland - Road Race (NC) ,188.8
2003-06-25,49,"Stage 9 - 
Stäfa › Aarau ",152.0
2003-06-24,21,"Stage 8 (ITT) - 
Gossau › Gossau ",32.5
2003-06-23,8,"Stage 7 - 
Savognin › Oberstaufen(D) ",231.0
2003-06-22,28,"Stage 6 - 
Silvaplana › Silvaplana ",135.0
2003-06-21,20,"Stage 5 - 
Ascona › La Punt ",177.8
2003-06-20,26,"Stage 4 - 
Visp › Losone ",168.0
2003-06-19,22,"Stage 3 - 
Nyon › Saas Fee ",205.0
2003-06-18,69,"Stage 2 - 
Murten › Nyon ",175.0
2003-06-17,54,"Stage 1 - 
Egerkingen › Le Locle ",163.0
2003-06-16,19,Prologue - Egerkingen › Egerkingen ,6.5
2003-04-06,DNF,Ronde van Vlaanderen / Tour des Flandres (CDM) ,254.0
2003-03-22,36,Milano-Sanremo (CDM) ,297.0
2003-03-16,27,Stage 7 - Nice › Nice ,160.0
2003-03-15,10,Stage 6 - Toulon › Cannes ,194.5
2003-03-14,18,Stage 5 - Aix-en-Provence › Toulon (Mont Faron) ,152.5
2003-03-13,42,Stage 4 (ITT) - Source Perrier › Source Perrier ,16.5
2003-03-11,31,Stage 2 - La Clayette › Saint-Etienne ,182.5
2003-03-10,38,Stage 1 - Auxerre › Paray-le-Monial ,191.0
2003-03-09,12,Prologue - Issy-les-Moulineaux › Issy-les-Moulineaux ,4.8
2003-02-23,51,Classic Haribo (1.3) ,196.7
2003-02-22,21,Tour du Haut Var (1.2) ,180.0
2003-02-16,14,Stage 6 (TTT) - Gemenos › Marseille ,42.0
2003-02-15,33,Stage 5 - La Garde › Berre l'Etang ,114.0
2003-02-14,12,Stage 4 - La Motte › Toulon Mont Faron ,110.0
2003-02-14,40,Stage 3 - Seillans › La Motte ,60.0
2003-02-13,7,Stage 2 - Menton › Le Cannet ,109.0
2003-02-12,48,Stage 1 - Arma Di Taggia › Arma Di Taggia ,106.6
2003-02-03,14,Trofeo Cala: Cala Bona - Cala Rajada (1.3) ,164.5
2003-02-02,178,Trofeo Mallorca (1.3) ,80.0
2002-10-19,3,Giro di Lombardia (CDM) ,251.0
2002-10-16,2,Milano-Torino (1.1) ,199.0
2002-10-13,46,World Championships - Road Race (WC) ,256.0
2002-09-22,42,Stage 15 - Gijón › Alto l'Angliru  ,176.7
2002-09-21,24,Stage 14 - Santander › Gijón ,190.2
2002-09-19,31,Stage 12 - Segovia › Burgos ,210.5
2002-09-18,21,Stage 11 - Alcobendas › Collado Villalba ,166.1
2002-09-16,46,Stage 10 (ITT) - Córdoba › Córdoba ,36.5
2002-09-15,8,Stage 9 - Córdoba › Córdoba ,130.2
2002-09-14,15,Stage 8 - Málaga › Ubrique ,173.5
2002-09-13,71,Stage 7 - Jaén › Málaga ,196.8
2002-09-12,9,Stage 6 - Granada › Sierra de la Pandera ,153.1
2002-09-11,23,Stage 5 - El Ejido  ›  Sierra Nevada  ,198.0
2002-09-10,50,Stage 4 - Águilas › Roquetas de Mar ,149.5
2002-09-09,40,Stage 3 - San Vicente del Raspeig › Murcia ,134.2
2002-09-08,3,Stage 2 - Valencia › Alcoy ,144.7
2002-08-18,8,Züri Metzgete (CDM) ,236.6
2002-08-16,DNS,Stage 5 - Castrojeriz › Burgos ,172.0
2002-08-15,50,Stage 4 - Huerta del Rey › Lagnuas de Nellas ,165.0
2002-08-13,106,Stage 2 - Frias › Miranda de Ebro ,172.0
2002-08-12,6,Stage 1 - Burgos › Medina de Pomar ,155.0
2002-08-10,14,Clasica Ciclista San Sebastian (CDM) ,227.0
2002-08-04,43,HEW Cyclassics (CDM) ,253.2
2002-07-28,39,Stage 6 - Dresden › Dresden ,156.3
2002-07-27,17,Stage 5 - Bautzen › Grossenhain ,108.1
2002-07-27,8,Stage 4 (ITT) - Bautzen › Bautzen ,30.5
2002-07-26,7,Stage 3 - Auerbach › Meissen ,203.0
2002-07-25,1,Stage 2 - Oschatz › Klingenthal ,188.1
2002-07-24,19,Stage 1 - Leipzig › Leipzig ,179.5
2002-06-30,6,National Championships Switzerland - Road Race (NC) ,206.0
2002-03-20,52,Stage 7 - San Benedetto › San Benedetto ,162.0
2002-03-19,9,Stage 6 - Rapagnano › Montegranaro ,208.0
2002-03-18,8,Stage 5 - Rieti › Torricella Sicura ,150.0
2002-03-17,21,Stage 4 (ITT) - Rieti › Rieti ,12.7
2002-03-16,8,Stage 3 - Anagni › Rocca di Cambio ,180.0
2002-03-15,48,Stage 2 - Sorrento › Frosinone ,212.0
2002-03-14,63,Stage 1 - Massa Lubrense › Sorrento ,124.0
2002-03-10,8,Stage 5 (ITT) - Murcia › Murcia ,12.9
2002-03-09,3,Stage 4 - Ceuti › Alhama ,173.6
2002-03-08,34,Stage 3 - Molina › Alguazas ,180.3
2002-03-07,17,Stage 2 - Beniel › San Javier ,160.3
2002-03-06,32,Stage 1 - Murcia › Fortuna ,176.8
2002-02-17,13,Stage 5 - Rousset › Marseille ,120.0
2002-02-16,9,Stage 4 - La Londe-les-Maures › Toulon Mont-Faron ,147.0
2002-02-15,99,Stage 3 - Villeneuve-Loubet › Hyères ,142.0
